Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Number of Positions","Package Accepted","Specifications"
https://abracon.com/Sockets/3.2x2.5/AXS-3225-04-12.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/MFG_AXS-3225-04-12.JPG,535-10128-ND,AXS-3225-04-12,Abracon LLC,SOCKET 4PAD 3.2X2.5 CRYSTAL,12,0,"32.84000","0","1","-","Active","Socket, Test and Burn In","Crystals","4","3.20mm x 2.50mm x 0.70mm","-"
https://abracon.com/Sockets/2x1.6/AXS-2016-04-04.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/MFG_AXS-2016-04-04.JPG,535-10108-ND,AXS-2016-04-04,Abracon LLC,SOCKET 4PAD 2.0X1.6 OSCILLATOR,24,0,"46.75000","0","1","-","Active","Socket, Test and Burn In","Crystal Oscillators","4","2.05mm x 1.65mm x 0.70mm","-"
//media.digikey.com/pdf/Data%20Sheets/Cardinal%20Components%20PDFs/SC2000_DS.pdf,//media.digikey.com/Photos/Cardinal%20Components%20Photos/SC2000_View-1.jpg,370-1194-ND,SC2000,Cardinal Components Inc.,PROG SOCKET SMD CPPX7 5X7 PKG,21,0,"43.75000","0","1","SC2000","Active","Socket, Test and Burn In","Crystal Oscillators","4","7.20mm x 5.20mm x 1.30mm","-"
https://abracon.com/Sockets/3.2x2.5/AXS-3225-04-02.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/MFG_AXS-3225-04-02.JPG,535-10121-ND,AXS-3225-04-02,Abracon LLC,SOCKET 4PAD 3.2X2.5 XTAL OR OSC,17,0,"32.84000","0","1","-","Active","Socket, Test and Burn In","Crystal Oscillators","4","3.20mm x 2.50mm x 0.80mm","-"
https://abracon.com/Sockets/3.2x2.5/AXS-3225-04-01.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/MFG_AXS-3225-04-01.JPG,535-10120-ND,AXS-3225-04-01,Abracon LLC,SOCKET 4PAD 3.2X2.5 CRYSTAL,11,0,"32.84000","0","1","-","Active","Socket, Test and Burn In","Crystals","4","3.20mm x 2.50mm x 0.55mm","-"
http://www.discera.com/datasheets/Timeflash_Datasheet.pdf,//media.digikey.com/Photos/Micrel%20Photos/DSC-PROG-8123-2520.jpg,576-4750-ND,DSC-PROG-8123-2520,Microchip Technology,KIT 4POS 2.5X2.0 SOCKET DSC8123,10,0,"50.00000","0","1","DSC8123","Discontinued at Digi-Key","Socket Card","Oscillators","4","2.50mm x 2.00mm x 0.90mm","-"
https://www.arieselec.com/products/data/14005-oscillator-socket.pdf,//media.digikey.com/photos/Aries/1107741.jpg,A462-ND,1107741,Aries Electronics,OSCILLATOR SOCKET FULL SIZE 4PIN,0,0,"0.99000","0","1","-","Active","Socket, Full Size","Oscillators","14","14-DIP, 4 Lead (Full Size)","-"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en586715,//media.digikey.com/Photos/Microchip%20Tech%20Photos/DSC-PROG-1612.jpg,DSC-PROG-2520-ND,DSC-PROG-2520,Microchip Technology,2520 SOCKET CARD WITH 10 BLANK D,5,0,"39.99000","0","1","TimeFlash","Active","Socket Card","Oscillators","-","-","-"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en586715,//media.digikey.com/Photos/Microchip%20Tech%20Photos/DSC-PROG-1612.jpg,DSC-PROG-3225-ND,DSC-PROG-3225,Microchip Technology,3225 SOCKET CARD WITH 10 BLANK D,5,0,"39.99000","0","1","TimeFlash","Active","Socket Card","Oscillators","-","-","-"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en586715,//media.digikey.com/Photos/Microchip%20Tech%20Photos/DSC-PROG-1612.jpg,DSC-PROG-1612-ND,DSC-PROG-1612,Microchip Technology,1612 SOCKET CARD WITH 10 BLANK D,4,0,"39.99000","0","1","TimeFlash","Active","Socket Card","Oscillators","-","-","-"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en586715,//media.digikey.com/Photos/Microchip%20Tech%20Photos/DSC-PROG-7050.jpg,DSC-PROG-7050-ND,DSC-PROG-7050,Microchip Technology,7050 SOCKET CARD WITH 10 BLANK D,4,0,"39.99000","0","1","TimeFlash","Active","Socket Card","Oscillators","-","-","-"
https://abracon.com/Sockets/2.5x2/AXS-2520-04-01.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/MFG_AXS-2520-04-01.JPG,535-10109-ND,AXS-2520-04-01,Abracon LLC,SOCKET 4PAD 2.5X2.0 OSCILLATOR,3,0,"32.84000","0","1","-","Active","Socket, Test and Burn In","Crystal Oscillators","4","2.50mm x 2.00mm x 0.80mm","-"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en586715,//media.digikey.com/Photos/Microchip%20Tech%20Photos/DSC-PROG-1612.jpg,DSC-PROG-2016-ND,DSC-PROG-2016,Microchip Technology,2016 SOCKET CARD WITH 10 BLANK D,5,0,"39.99000","0","1","TimeFlash","Active","Socket Card","Oscillators","-","-","-"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1597-ND,M050570,Taitien,CRYSTAL OVEN MINI 5V 70C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","5V, 95°F (35°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1598-ND,M050960,Taitien,CRYSTAL OVEN MINI 9V 60C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","9V, 140°F (60°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1599-ND,M051260,Taitien,CRYSTAL OVEN MINI 12V 60C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","12V, 140°F (60°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1600-ND,M051266,Taitien,CRYSTAL OVEN MINI 12V 66C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","12V, 150.8°F (66°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1601-ND,M051270,Taitien,CRYSTAL OVEN MINI 12V 70C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","12V, 158°F (70°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1602-ND,M051275,Taitien,CRYSTAL OVEN MINI 12V 75C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","12V, 167°F (75°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1603-ND,M051280,Taitien,CRYSTAL OVEN MINI 12V 80C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","12V, 176°F (80°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1604-ND,M051285,Taitien,CRYSTAL OVEN MINI 12V 85C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","12V, 185°F (85°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1605-ND,M051295,Taitien,CRYSTAL OVEN MINI 12V 95C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","12V, 203°F (95°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1606-ND,M051288,Taitien,CRYSTAL OVEN MINI 12V 88C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","12V, 190.4°F (88°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1607-ND,M051565,Taitien,CRYSTAL OVEN MINI 15V 65C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","15V, 149°F (65°C)"
https://www.taitien.com/wp-content/uploads/2018/12/M05VVTT.pdf,//media.digikey.com/Photos/Taitien/MFG_M05.jpg,1664-1608-ND,M051566,Taitien,CRYSTAL OVEN MINI 15V 66C,0,0,"41.63000","0","1","M05","Active","Oven, Miniature","Crystals","-","HC-35/U, TO-05, TO-39","15V, 150.8°F (66°C)"
