Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Frequency Stability","Frequency Tolerance","Features","Capacitance","Impedance","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,//media.digikey.com/photos/Murata%20Photos/CSTLS-G%20SERIES.jpg,490-6009-1-ND,CSTLS8M00G56Z-A0,Murata Electronics North America,CER RES 8.0000MHZ 47PF T/H,1948,0,"0.28000","0","1","Cut Tape (CT)","CERALOCK® CSTLS","Active","Ceramic","8MHz","-0.4, +0.2%","±0.5%","Built in Capacitor","47pF","25 Ohms","-20°C ~ 80°C","Through Hole","Radial - 3 Lead, 2.50mm Pitch","0.315"" L x 0.118"" W (8.00mm x 3.00mm)","0.236"" (6.00mm)"
https://www.murata.com/en/products/productdata/8801162231838/SPEC-CSTNE16M0V530000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17948-2-ND,CSTNE16M0V530000R0,Murata Electronics North America,CER RES 16.0000MHZ 15PF SMD,0,0,"0.13245","0","3000","Tape & Reel (TR)","CERALOCK® CSTNE","Active","Ceramic","16MHz","±0.3%","±0.5%","Built in Capacitor","15pF","40 Ohms","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)"
https://www.murata.com/en/products/productdata/8801162231838/SPEC-CSTNE16M0V530000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17948-1-ND,CSTNE16M0V530000R0,Murata Electronics North America,CER RES 16.0000MHZ 15PF SMD,2206,0,"0.29000","0","1","Cut Tape (CT)","CERALOCK® CSTNE","Active","Ceramic","16MHz","±0.3%","±0.5%","Built in Capacitor","15pF","40 Ohms","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)"
https://www.murata.com/en/products/productdata/8801162231838/SPEC-CSTNE16M0V530000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17948-6-ND,CSTNE16M0V530000R0,Murata Electronics North America,CER RES 16.0000MHZ 15PF SMD,2206,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTNE","Active","Ceramic","16MHz","±0.3%","±0.5%","Built in Capacitor","15pF","40 Ohms","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)"
https://www.murata.com/en/products/productdata/8801161707550/SPEC-CSTNE8M00G55Z000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17960-2-ND,CSTNE8M00G55Z000R0,Murata Electronics North America,CER RES 8.0000MHZ 33PF SMD WIDE,0,0,"0.13620","0","3000","Tape & Reel (TR)","CERALOCK® CSTNE","Active","Ceramic","8MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161707550/SPEC-CSTNE8M00G55Z000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17960-1-ND,CSTNE8M00G55Z000R0,Murata Electronics North America,CER RES 8.0000MHZ 33PF SMD WIDE,1112,0,"0.30000","0","1","Cut Tape (CT)","CERALOCK® CSTNE","Active","Ceramic","8MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161707550/SPEC-CSTNE8M00G55Z000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17960-6-ND,CSTNE8M00G55Z000R0,Murata Electronics North America,CER RES 8.0000MHZ 33PF SMD WIDE,1112,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTNE","Active","Ceramic","8MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161871390/SPEC-CSTNE10M0G55Z000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17940-2-ND,CSTNE10M0G55Z000R0,Murata Electronics North America,CER RES 10.0000MHZ 33PF SMD WIDE,0,0,"0.13620","0","3000","Tape & Reel (TR)","CERALOCK® CSTNE","Active","Ceramic","10MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161871390/SPEC-CSTNE10M0G55Z000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17940-1-ND,CSTNE10M0G55Z000R0,Murata Electronics North America,CER RES 10.0000MHZ 33PF SMD WIDE,1045,0,"0.30000","0","1","Cut Tape (CT)","CERALOCK® CSTNE","Active","Ceramic","10MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161871390/SPEC-CSTNE10M0G55Z000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17940-6-ND,CSTNE10M0G55Z000R0,Murata Electronics North America,CER RES 10.0000MHZ 33PF SMD WIDE,1045,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTNE","Active","Ceramic","10MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
