Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Frequency Stability","Frequency Tolerance","Features","Capacitance","Impedance","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height"
//media.digikey.com/pdf/Data%20Sheets/AVX%20PDFs/PRQC20.00SR1010V00L_Prelim.pdf,//media.digikey.com/Renders/AVX%20Renders/PRQC%20Series.jpg,1253-1340-2-ND,PRQC20.00SR1010V00L,Kyocera International Inc. Electronic Components,CER RES 20.0000MHZ 10PF SMD,3000,0,"0.33750","0","3000","Tape & Reel (TR)","PRQC, Kyocera","Last Time Buy","Ceramic","20MHz","±0.02%","±0.1%","Built in Capacitor","10pF","100 Ohms","0°C ~ 70°C","Surface Mount","3-SMD, No Lead","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)"
//media.digikey.com/pdf/Data%20Sheets/AVX%20PDFs/PRQC20.00SR1010V00L_Prelim.pdf,//media.digikey.com/Renders/AVX%20Renders/PRQC%20Series.jpg,1253-1340-1-ND,PRQC20.00SR1010V00L,Kyocera International Inc. Electronic Components,CER RES 20.0000MHZ 10PF SMD,1330,0,"0.74000","0","1","Cut Tape (CT)","PRQC, Kyocera","Discontinued at Digi-Key","Ceramic","20MHz","±0.02%","±0.1%","Built in Capacitor","10pF","100 Ohms","0°C ~ 70°C","Surface Mount","3-SMD, No Lead","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)"
//media.digikey.com/pdf/Data%20Sheets/AVX%20PDFs/PRQC20.00SR1010V00L_Prelim.pdf,//media.digikey.com/Renders/AVX%20Renders/PRQC%20Series.jpg,1253-1340-6-ND,PRQC20.00SR1010V00L,Kyocera International Inc. Electronic Components,CER RES 20.0000MHZ 10PF SMD,0,0,"Digi-Reel","0","1","Digi-Reel®","PRQC, Kyocera","Discontinued at Digi-Key","Ceramic","20MHz","±0.02%","±0.1%","Built in Capacitor","10pF","100 Ohms","0°C ~ 70°C","Surface Mount","3-SMD, No Lead","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,//media.digikey.com/photos/Murata%20Photos/CSTCC-G%20SERIES.jpg,490-7843-2-ND,CSTCC2M45G53-R0,Murata Electronics North America,CER RES 2.4500MHZ 15PF SMD,2000,0,"0.34848","0","2000","Tape & Reel (TR)","CERALOCK® CSTCC","Not For New Designs","Ceramic","2.45MHz","±0.3%","±0.5%","Built in Capacitor","15pF","-","-20°C ~ 80°C","Surface Mount","3-SMD, Non-Standard","0.283"" L x 0.118"" W (7.20mm x 3.00mm)","-"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,//media.digikey.com/photos/Murata%20Photos/CSTCC-G%20SERIES.jpg,490-7843-1-ND,CSTCC2M45G53-R0,Murata Electronics North America,CER RES 2.4500MHZ 15PF SMD,520,0,"0.72000","0","1","Cut Tape (CT)","CERALOCK® CSTCC","Discontinued at Digi-Key","Ceramic","2.45MHz","±0.3%","±0.5%","Built in Capacitor","15pF","-","-20°C ~ 80°C","Surface Mount","3-SMD, Non-Standard","0.283"" L x 0.118"" W (7.20mm x 3.00mm)","-"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,//media.digikey.com/photos/Murata%20Photos/CSTCC-G%20SERIES.jpg,490-7843-6-ND,CSTCC2M45G53-R0,Murata Electronics North America,CER RES 2.4500MHZ 15PF SMD,0,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTCC","Discontinued at Digi-Key","Ceramic","2.45MHz","±0.3%","±0.5%","Built in Capacitor","15pF","-","-20°C ~ 80°C","Surface Mount","3-SMD, Non-Standard","0.283"" L x 0.118"" W (7.20mm x 3.00mm)","-"
http://www.murata.com/products/productdata/8801160691742/SPEC-CSTNE12M0GH5L000R0.pdf,//media.digikey.com/Renders/Murata%20Renders/Murata-CSTNE12M5G55Z000R0.jpg,490-18265-2-ND,CSTNE12M5G55Z000R0,Murata Electronics North America,3.2X1.3X0.7MM 12.5MHZ CERAMIC RE,0,0,"0.16230","0","3000","Tape & Reel (TR)","CERALOCK® CSTNE","Active","Ceramic","12.5MHz","±0.2%","±0.5%","Built in Capacitor","33pF","-","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)"
http://www.murata.com/products/productdata/8801160691742/SPEC-CSTNE12M0GH5L000R0.pdf,//media.digikey.com/Renders/Murata%20Renders/Murata-CSTNE12M5G55Z000R0.jpg,490-18265-1-ND,CSTNE12M5G55Z000R0,Murata Electronics North America,3.2X1.3X0.7MM 12.5MHZ CERAMIC RE,2970,0,"0.36000","0","1","Cut Tape (CT)","CERALOCK® CSTNE","Active","Ceramic","12.5MHz","±0.2%","±0.5%","Built in Capacitor","33pF","-","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)"
http://www.murata.com/products/productdata/8801160691742/SPEC-CSTNE12M0GH5L000R0.pdf,//media.digikey.com/Renders/Murata%20Renders/Murata-CSTNE12M5G55Z000R0.jpg,490-18265-6-ND,CSTNE12M5G55Z000R0,Murata Electronics North America,3.2X1.3X0.7MM 12.5MHZ CERAMIC RE,2970,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTNE","Active","Ceramic","12.5MHz","±0.2%","±0.5%","Built in Capacitor","33pF","-","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161773086/SPEC-CSTNE8M00GH5C000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17961-2-ND,CSTNE8M00GH5C000R0,Murata Electronics North America,CER RES 8.0000MHZ 33PF SMD AUTOM,0,0,"0.16485","0","3000","Tape & Reel (TR)","CERALOCK® CSTNE","Active","Ceramic","8MHz","±0.13%","±0.07%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161773086/SPEC-CSTNE8M00GH5C000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17961-1-ND,CSTNE8M00GH5C000R0,Murata Electronics North America,CER RES 8.0000MHZ 33PF SMD AUTOM,2478,0,"0.36000","0","1","Cut Tape (CT)","CERALOCK® CSTNE","Active","Ceramic","8MHz","±0.13%","±0.07%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
