Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_311-1254.jpg,3M158864-ND,311-1254,3M,3M E-A-RSOFT SUPERFIT 1=1PAIR,6000,0,"0.33000","0","1","*","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_311-1251.jpg,3M158862-ND,311-1251,3M,3M E-A-RSOFT YELLOW NEON 1=1PAIR,4000,0,"0.33000","0","1","*","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_311-1101.jpg,3M158852-ND,311-1101,3M,3M E-A-R CLASSIC COR 1=1PAIR,10000,0,"0.34000","0","1","E-A-R™ Classic™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_312-1223.jpg,3M158879-ND,312-1223,3M,3M E-A-R TAPERFIT 2 1=1PAIR,8000,0,"0.34000","0","1","E-A-R™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_318-1002.jpg,3M158897-ND,318-1002,3M,3M E-A-R PUSH-INS UN 1=1PAIR,5350,0,"0.34000","0","1","*","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_312-1222.jpg,3M158878-ND,312-1222,3M,3M E-A-R E-Z-FIT COR 1=1PAIR,6000,0,"0.35000","0","1","E-A-R™","Active","Earplugs"
-,//media.digikey.com/Photos/3M%20Photos/MFG_311-1105.jpg,3M158854-ND,311-1106,3M,3M CLASSIC SMALL CORDED 1=1PAIR,2000,0,"0.36000","0","1","E-A-R™ Classic™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_312-1260.jpg,3M158887-ND,312-1274,3M,3M E-A-RSOFT FX CORD 1=1PAIR,1995,0,"0.36000","0","1","*","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_311-1105.jpg,3M158853-ND,311-1105,3M,3M E-A-R CLASSIC PLU 1=1PAIR,5985,0,"0.37000","0","1","E-A-R™ Classic™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_312-1223.jpg,3M158880-ND,312-1224,3M,3M E-A-R TAPERFIT 2 1=1PAIR,4000,0,"0.37000","0","1","E-A-R™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_311-112x.jpg,3M158859-ND,311-1126,3M,3M E-A-R CLASSIC SUP 1=1PAIR,1990,0,"0.39000","0","1","E-A-R™ Classic™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_311-112x.jpg,3M158858-ND,311-1125,3M,3M E-A-R CLASSIC SUP 1=1PAIR,6000,0,"0.40000","0","1","E-A-R™ Classic™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_318-1002.jpg,3M158895-ND,318-1000,3M,3M E-A-R PUSH-INS UN 1=1PAIR,1400,0,"0.40000","0","1","*","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_318-4000.jpg,3M158903-ND,318-4000,3M,3M E-A-R PUSH-INS SO 1=1PAIR,1945,0,"0.43000","0","1","*","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_318-1008.jpg,3M158901-ND,318-1008,3M,3M E-A-R PUSH-INS WI 1=1PAIR,4000,0,"0.45000","0","1","*","Active","Earplugs"
