Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products"
http://www.panduit.com/ccurl/368/689/Fincantieri_CS_ENG.pdf,-,ST3MT-ND,ST3MT,Panduit Corp,METAL TIE HAND TOOL,0,0,"Obsolete","0","1","Pan-Steel®","Obsolete","Gun","Automatic Tie Cutter","Pan-Steel®"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/RT1HT.pdf,-,RT1HT-ND,RT1HT,Panduit Corp,HIGH TENSION MLT CONTROLED TOOL,0,0,"Obsolete","0","1","Pan-Steel®","Obsolete","Gun","Lever Cut-Off","-"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/BT1HT_Dwg.pdf,-,BT1HT-ND,BT1HT,Panduit Corp,PAN-STEEL CLMP INSTLION TENSIN,0,0,"Obsolete","0","1","Pan-Steel®","Obsolete","Strapping Tool","Automatic Tie Cutter, Ratcheting","Pan-Steel®"
-,-,PAL45300-ND,45300,Greenlee Communications,GUN-CABLE TY HEAVY DUTY,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Gun","Adjustable Tension, Automatic Tie Cutter","Heavy Duty Ties; 0.080"" ~ 0.250"" (2.03mm ~ 6.35mm) Width"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/45306.pdf,-,45306-ND,45306,Greenlee Communications,GUN CABLE TIE STANDARD,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Gun","Adjustable Tension, Automatic Tie Cutter","Standard Ties; 0.080"" ~ 0.190"" (2.03mm ~ 4.83mm) Width"
//media.digikey.com/pdf/Data%20Sheets/HellermannTyton%20PDFs/Mechanica_Cable_Tie_Tools.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/T150.jpg,1436-1232-ND,T150,HellermannTyton,TYTON TWYSTER-TWIST TOOL T150,0,0,"Obsolete","0","1","TytonTwyster","Obsolete","Twist Tool","Twist Cut-Off","T150, CTT175 Series"
http://wpc.AC62.edgecastcdn.net/00AC62/documents/productpdfs/MK9HT.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MK9HT.jpg,1436-1443-ND,MK9HT,HellermannTyton,MARK 9 HIGH TENSION TOOL,0,0,"Obsolete","0","1","Mark 9","Obsolete","Gun","Ergonomic, Adjustable Tension, Tie Cutter","T30-T250, CTT20-CTT60, EL-TY"
http://wpc.AC62.edgecastcdn.net/00AC62/documents/productpdfs/MK9.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MK9.jpg,1436-1477-ND,MK9,HellermannTyton,MARK 9 T18-T250 CTT20-CTT60,0,0,"Obsolete","0","1","Mark 9","Obsolete","Gun","Ergonomic, Adjustable Tension, Tie Cutter","T18-T250, CTT20-CTT60, EL-TY"
-,-,0192940001-ND,0192940001,Molex,CABLE TIE TOOL (ETC-1),0,0,"Obsolete","0","1","-","Obsolete","Gun","-","Cable Ties"
-,-,MK7-ND,MK7,HellermannTyton,MARK 7 TENSION/CUT-OFF TOOL,0,0,"Obsolete","0","20","Mark 7","Obsolete","Gun","Ergonomic, Adjustable Tension, Flush Cut","Cable Ties Up to 0.189"" (4.80mm) Width"
http://wpc.AC62.edgecastcdn.net/00AC62/documents/productpdfs/MK9SS-114.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_MK9SS-114.jpg,MK9SS-114-ND,MK9SS-114,HellermannTyton,REPLACEMENT BLADE MARK 9,0,0,"Obsolete","0","1","Mark 9","Obsolete","Accessory, Blade","-","Straps Up to 0.630"" (16.00mm) Width"
-,-,MKPCOKIT-ND,MKPCOKIT,HellermannTyton,MK7P-MK9P COMPLETE KIT,0,0,"Obsolete","0","1","MKP","Obsolete","Accessory, Kit","Belt, CO2 Fittings, Holster, Hose, Pouch, Tank","MK7P, MK9P"
-,-,MK7PR/L-ND,MK7PR/L,HellermannTyton,MK7P PNEUMATIC TOOL UPDATE VERSI,0,0,"Active","0","0","-","Active","-","-","-"
-,-,32.235-ND,32.235,Aven Tools,TOOL CABLE TIE GUN,0,0,"Obsolete","0","1","-","Obsolete","Gun","-","-"
