Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Tip - Type","Size","Length - Overall","Features"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HexKeyWrenches.pdf,"//media.digikey.com/Photos/Klein-Tools/MFG_LLMx,LLMxx.jpg",LLM5-ND,LLM5,"Klein Tools, Inc.",HEX KEY L-SHAPE 5MM 4.88"",30,0,"1.41000","0","1","-","Active","L-Key","Hex","5mm","4.88"" (124.0mm)","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/09990000365_100090807DRW002A.pdf,//media.digikey.com/Photos/Harting/09990000365.JPG,1195-8548-ND,09990000365,HARTING,HEX KEY T-HANDLE SW8,30,0,"17.88000","0","1","-","Active","T-Handle","Hex","SW8","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/09990000364_100174722DRW003A.pdf,//media.digikey.com/Photos/Harting/09990000363.jpg,1195-8547-ND,09990000364,HARTING,HEX KEY T-HANDLE SW5,30,0,"18.72000","0","1","-","Active","T-Handle","Hex","SW5","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/MagicRing%20Ball%20End%20Hex%20Keys.pdf,//media.digikey.com/photos/Wiha/mfg669%20magic%20ring%20series.jpg,431-2406-ND,66945,Wiha,HEX KEY L SHAPE 0.05"" 2.8"",49,0,"1.72000","0","1","-","Active","L-Key","Hex","0.05""","2.80"" (71.0mm)","Ball End, Chrome Finish, Extra Long, Screw Holding"
https://cdn.wihatoolsus.com/pdfs/WihaHexCatalog.pdf,//media.digikey.com/Photos/Wiha/36954W.jpg,431-2007-ND,66918,Wiha,HEX KEY L SHAPE 3MM 4.92"",42,0,"1.80000","0","1","-","Active","L-Key","Hex","3mm","4.92"" (125.0mm)","Ball End, Chamfered End, Chrome Finish"
https://cdn.wihatoolsus.com/pdfs/WihaHexCatalog.pdf,-,431-2404-ND,66922,Wiha,HEX KEY L SHAPE 4MM 5.43"",47,0,"2.22000","0","1","-","Active","L-Key","Hex","4mm","5.43"" (138.0mm)","Ball End, Chamfered End, Chrome Finish"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20T-handle,Short%20Arm%20L-Keys.pdf",//media.digikey.com/photos/Wiha/mfg363%20torx%20L-Key%20series.jpg,431-1930-ND,36325,Wiha,TORX KEY L SHAPE T25 2.48"",45,0,"2.40000","0","1","-","Active","L-Key","Torx®","T25","2.48"" (63.0mm)","Black Finish"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20T-handle,Short%20Arm%20L-Keys.pdf",//media.digikey.com/photos/Wiha/mfg363%20torx%20L-Key%20series.jpg,431-1928-ND,36307,Wiha,TORX KEY L SHAPE T7 1.7"",34,0,"2.48000","0","1","-","Active","L-Key","Torx®","T7","1.65"" (42.0mm)","Black Finish"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORXPlus%20L-Keys.pdf,//media.digikey.com/Photos/Wiha/MFG_36115.jpg,431-1704-ND,36115,Wiha,TORXPLUS KEY L SHAPE IP15 2.17"",100,0,"3.08000","0","1","-","Active","L-Key","TorxPlus®","IP15","2.17"" (55.0mm)","Black Finish"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORXPlus%20L-Keys.pdf,//media.digikey.com/Photos/Wiha/MFG_36125.jpg,431-1705-ND,36125,Wiha,TORXPLUS KEY L SHAPE IP25 2.48"",100,0,"3.08000","0","1","-","Active","L-Key","TorxPlus®","IP25","2.48"" (63.0mm)","Black Finish"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20Long%20Arm,Tamper%20Resistant%20L-keys.pdf",//media.digikey.com/photos/Wiha/mfg363%20torx%20L-Key%20series.jpg,431-1929-ND,36323,Wiha,TORX TR KEY L SHAPE T8S 1.77"",44,0,"3.20000","0","1","-","Active","L-Key","Torx® TR (Security)","T8s","1.77"" (45.0mm)","Black Finish"
