Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Handle Type","Face Type"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Dead%20Blow,%20Sledge%20Hammers.pdf",//media.digikey.com/photos/Wiha/mfg80290.jpg,431-1764-ND,80290,Wiha,HAMMERS DEAD BLOW STEEL TUBE 3PC,2,0,"172.80000","0","1","-","Active","Hammer, Dead Blow Set","Steel Tube, Cushioned Grip","Medium-Hard, 30mm, 40mm, 50mm Dia"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Dead%20Blow,%20Sledge%20Hammers.pdf","//media.digikey.com/photos/Wiha/80025,30,35,40,45,50,60,70.jpg",431-1340-ND,80050,Wiha,HAMMER DEAD BLOW HICKORY,3,0,"59.66000","0","1","-","Active","Hammer, Dead Blow","Wood, Hickory","Medium-Hard, 50mm Dia"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_803-8.jpg,803-8-ND,803-8,"Klein Tools, Inc.",HAMMER BALL PEEN WOOD HICKORY,1,0,"34.51000","0","1","-","Active","Hammer, Ball Peen","Wood, Hickory","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_803-8.jpg,803-12-ND,803-12,"Klein Tools, Inc.",HAMMER BALL PEEN WOOD HICKORY,2,0,"35.12000","0","1","-","Active","Hammer, Ball Peen","Wood, Hickory","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_803-8.jpg,803-16-ND,803-16,"Klein Tools, Inc.",HAMMER BALL PEEN WOOD HICKORY,2,0,"36.68000","0","1","-","Active","Hammer, Ball Peen","Wood, Hickory","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HVAC.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_820-16.jpg,820-16-ND,820-16,"Klein Tools, Inc.",HAMMER SETTNG FIBRGLSS CUSHN GRP,2,0,"40.54000","0","1","-","Active","Hammer, Setting","Fiberglass, Cushioned Grip","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HVAC.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_811-16.jpg,811-16-ND,811-16,"Klein Tools, Inc.",HAMMER DEAD BLOW,2,0,"42.10000","0","1","-","Active","Hammer, Dead Blow","-","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_803-8.jpg,803-32-ND,803-32,"Klein Tools, Inc.",HAMMER BALL PEEN WOOD HICKORY,2,0,"42.16000","0","1","-","Active","Hammer, Ball Peen","Wood, Hickory","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_818-16.jpg,818-16-ND,818-16,"Klein Tools, Inc.",HAMMER CLAW FIBRGLSS CUSHION GRP,2,0,"43.29000","0","1","-","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_823-48.jpg,823-48-ND,823-48,"Klein Tools, Inc.",HAMMER DRILLING WOOD HICKORY,2,0,"45.71000","0","1","-","Active","Hammer, Drilling","Wood, Hickory","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_818-20.jpg,818-20-ND,818-20,"Klein Tools, Inc.",HAMMER CLAW FIBRGLSS CUSHION GRP,2,0,"46.67000","0","1","-","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_807-18.jpg,808-20-ND,808-20,"Klein Tools, Inc.",HAMMER CLAW FIBRGLSS CUSHION GRP,2,0,"46.67000","0","1","-","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HVAC.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_811-32.jpg,811-32-ND,811-32,"Klein Tools, Inc.",HAMMER DEAD BLOW,2,0,"46.77000","0","1","-","Active","Hammer, Dead Blow","-","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_807-18.jpg,807-18-ND,807-18,"Klein Tools, Inc.",HAMMER CLAW FIBRGLSS CUSHION GRP,1,0,"49.69000","0","1","-","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_809-36.jpg,809-36-ND,809-36,"Klein Tools, Inc.",HAMMER LINEMAN'S,2,0,"55.05000","0","1","-","Active","Hammer, Lineman's","-","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_809-36MF.jpg,809-36MF-ND,809-36MF,"Klein Tools, Inc.",HAMMER LINEMAN'S,2,0,"62.32000","0","1","-","Active","Hammer, Lineman's","-","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_832-32.jpg,832-32-ND,832-32,"Klein Tools, Inc.",HAMMER CLAW WOOD HICKORY,2,0,"63.33000","0","1","-","Active","Hammer, Claw","Wood, Hickory","-"
-,-,11494-ND,11494,Apex Tool Group,0369 4OZ HICK HDL BALL PEIN,0,0,"20.62000","0","6","-","Active","Hammer, Ball Peen","Wood, Hickory","-"
-,-,11496-ND,11496,Apex Tool Group,0371 80Z HICK HDL BALL PEIN,0,0,"23.14000","0","6","-","Active","Hammer, Ball Peen","Wood, Hickory","-"
-,-,11497-ND,11497,Apex Tool Group,0372 12OZ HICK HDL BALL PEIN,0,0,"23.96000","0","6","-","Active","Hammer, Ball Peen","Wood, Hickory","-"
-,-,82259-ND,82259,Apex Tool Group,MALL RBR HICKORY HNDL 16OZ,0,0,"27.74000","0","1","-","Active","Hammer, Dead Blow","Wood, Hickory","-"
-,-,11522-ND,11522,Apex Tool Group,0379 40OZ HICK HDL BALL PEIN,0,0,"28.91000","0","6","*","Active","-","-","-"
-,-,11438-ND,11438,Apex Tool Group,"HAMMER,HICKORY,PREM,CRV,13 OZ",0,0,"29.72000","0","6","-","Active","Hammer, Claw","Wood, Hickory","-"
-,-,69-003G-ND,69-003G,Apex Tool Group,HMR SFT FACE W/O TIP 1D 8OZ,0,0,"29.95000","0","1","-","Active","Hammer, Dead Blow","Fiberglass, Cushioned Grip","-"
-,-,11419-ND,11419,Apex Tool Group,"HAMMER,FIBERGLASS,REG,RIP,16 OZ",0,0,"30.04000","0","4","-","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,11419C-ND,11419C,Apex Tool Group,"HAMMER,FIBERGLASS,REG,RIP,16 OZ",0,0,"30.04000","0","4","-","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,11436-ND,11436,Apex Tool Group,"HAMMER,HICKORY,PREM,CRV,16 OZ",0,0,"30.56000","0","6","-","Active","Hammer, Claw","Wood, Hickory","-"
-,-,11426-ND,11426,Apex Tool Group,FAM16 16OZ FBR HDL BALL PEIN,0,0,"30.96000","0","4","-","Active","Hammer, Ball Peen","Fiberglass, Cushioned Grip","-"
-,-,11403N-ND,11403N,Apex Tool Group,"HAMMER,FIBERGLASS,13OZ,PRO SERIE",0,0,"31.78000","0","4","PRO","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,11435-ND,11435,Apex Tool Group,HAMMER CURVD CLW HICKORY 11435,0,0,"32.20000","0","6","-","Active","Hammer, Claw","Wood, Hickory","-"
-,-,11530-ND,11530,Apex Tool Group,"HAMMER,HICKORY,SCALING,16 OZ",0,0,"32.20000","0","6","-","Active","Hammer, Chipping","Wood, Hickory","-"
-,-,11402N-ND,11402N,Apex Tool Group,"HAMMER,FIBERGLASS,16OZ,PRO SERIE",0,0,"33.43000","0","4","PRO","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,11415N-ND,11415N,Apex Tool Group,"HAMMER,FIBERGLASS,16OZ,PRO SERIE",0,0,"33.43000","0","4","PRO","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,11524-ND,11524,Apex Tool Group,11524 2.5LB. BLACKSMITH HAMMER,0,0,"33.66000","0","6","-","Not For New Designs","Socket","-","-"
-,-,11429-ND,11429,Apex Tool Group,"HAMMER,FIBERGLASS,BALL PEIN,32",0,0,"34.45000","0","4","*","Not For New Designs","-","-","-"
-,-,11492-ND,11492,Apex Tool Group,"HAMMER,HICKORY,BRICK,15 OZ",0,0,"34.45000","0","6","-","Active","Hammer, Brick","Wood, Hickory","-"
-,-,82250-ND,82250,Apex Tool Group,HMR BLL PEIN FGL 8OZ,0,0,"35.13000","0","1","-","Active","Hammer, Ball Peen","Fiberglass, Cushioned Grip","-"
-,-,81-110G-ND,81-110G,Apex Tool Group,HMR BRS HICKORY HNDL 8OZ L,0,0,"35.33000","0","1","-","Active","Hammer, Non-Sparking","Wood, Hickory","-"
-,-,69-009G-ND,69-009G,Apex Tool Group,HMR SFT FACE W/O TIP 1-1/2D 12,0,0,"35.40000","0","1","-","Active","Hammer, Dead Blow","Fiberglass, Cushioned Grip","-"
-,-,82240-ND,82240,Apex Tool Group,HMR PU DEAD BLOW 18OZ,0,0,"35.48000","0","12","-","Active","Hammer, Dead Blow","Rubber","-"
-,-,11439-ND,11439,Apex Tool Group,"HAMMER,HICKORY,PREM,RIP,22 OZ.L",0,0,"35.49000","0","6","-","Active","Hammer, Claw","Wood, Hickory","-"
-,-,11525P-ND,11525P,Apex Tool Group,11525 3LB. BLACKSMITH HAMMER,0,0,"35.49000","0","6","-","Active","Hammer, Blacksmith","Wood, Hickory","-"
-,-,11529NN-ND,11529NN,Apex Tool Group,"HAMMER,HICKORY,ENG,DBL.FACE,64",0,0,"35.61000","0","6","-","Active","Hammer, Club","Wood, Hickory","-"
-,-,11400N-ND,11400N,Apex Tool Group,"HAMMER,FIBERGLASS,20OZ,PRO SERIE",0,0,"35.92000","0","4","PRO","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,11420N-ND,11420N,Apex Tool Group,"HAMMER,FIBERGLASS,20OZ,PRO SERIE",0,0,"35.92000","0","4","PRO","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,11493-ND,11493,Apex Tool Group,"HAMMER,HICKORY,PROSPECT PICK",0,0,"36.33000","0","6","-","Active","Hammer, Prospector","Wood, Hickory","-"
-,-,82251-ND,82251,Apex Tool Group,HMR BLL PEIN FGL 16OZ,0,0,"36.97000","0","1","-","Active","Hammer, Ball Peen","Fiberglass, Cushioned Grip","-"
-,-,82254-ND,82254,Apex Tool Group,HMR CLW CURV FGL 16OZ,0,0,"36.97000","0","1","-","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,11491P-ND,11491P,Apex Tool Group,"HAMMER,HICKORY,BRICK,24 OZ",0,0,"37.17000","0","6","-","Active","Hammer, Brick","Wood, Hickory","-"
