Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_50179.jpg,50179-ND,50179,Master Appliance Co,"MOTOR, 120V, WITH MOUNTING BRACK",0,0,"44.94000","0","1","Master-Mite® ESD","Active","-","Motor","-","120V","-","-","-","-","-","-","-","-","-","-","-"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=34,-,110049588-ND,110049588,Steinel America,MAGNET HEAT GUN ARM FOR XX10 HG,0,0,"45.97000","0","1","-","Active","-","Arm","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2310BB, HG2510ESD, HL1810S, HL1910E, HL2010E","-","-","-","-","-","Black"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_HeatBlower_Manual.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_30313.jpg,30313-ND,30313,Master Appliance Co,REPL HEATING ELEMENT FOR AH-752,0,0,"46.27000","0","1","Masterflow®","Active","-","Heating Element","750°F (399°C)","220/240V","-","-","-","-","AH-752","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Proheat_Heat_Gun_Br.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/MFG_35004.jpg,MA35004-ND,35004,Master Appliance Co,HEAT ELEMENT KIT 120V,0,0,"46.67000","0","1","Proheat® Dualtemp™ PH, Quick-Touch™ PH","Active","-","Heating Element Kit","-","120V","-","-","-","-","PH-1000, PH-1100","-","-","-","-","-","-"
-,-,1-2280624-4-ND,1-2280624-4,TE Connectivity AMP Connectors,"PROCESS READY LIGHT, 220VAC",0,0,"46.80000","0","1","Model 17","Active","-","LED","-","220V","-","-","-","2280355","Model 17 Belt Heaters","-","-","-","-","-","Green"
-,-,MA35007-ND,35007,Master Appliance Co,"CORDSET , 230V, BRITISH, WITH TE",0,0,"47.48000","0","1","Proheat® Varitemp® PH","Active","-","Cordset","-","230V","-","-","-","-","-","3-Wire Grounded","-","United Kingdom","-","-","Black"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_50217.jpg,50217-ND,50217,Master Appliance Co,"MOTOR, 230V, WITH MOUNTING BRACK",0,0,"47.94000","0","1","Master-Mite® ESD","Active","-","Motor","-","220V","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_Appliance_Full_Cat.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_GT-70.jpg,GT-70-ND,GT-70,Master Appliance Co,GEN IND TORCH BUTANE PWR,0,0,"48.36667","0","6","GT","Active","Butane Torch, Bench Top","-","2500°F (1371°C)","-","-","-","Torch","-","-","80ml Refillable Fuel Tank, Child Resistant (CPSC Compliant), Removable Base, Safety Lock, Self-Igniting","CSAus, GS","Germany, United States","-","-","Black"
http://www.steinel.net/customized/uploads/PDFs/HG4000E_Owner_Manual.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_09201.jpg,110049712-ND,110049712,Steinel America,NOZZLE FLATHEAD 40MM 2300/4000,0,0,"48.76000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG2300EM, HG4000E","-","-","-","Flat - 1.57"" (40.0mm)","-","Silver"
//media.digikey.com/pdf/Data%20Sheets/Steinel%20America%20Inc/Heat_Tools_Catalog.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_07511.jpg,110048748-ND,110048748,Steinel America,SLIT NOZZLE LAP WELD ANGLE,0,0,"49.76000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2510ESD, HL1910E, HL2010E","-","-","-","Flat - 1.57"" (40.0mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=35,//media.digikey.com/photos/Steinel%20Photos/MFG_07531.jpg,110048747-ND,110048747,Steinel America,TIP WELDING FOR 09231,0,0,"49.76000","0","1","-","Active","-","Nozzle, Welding Tip","-","-","-","-","-","10mm Reducer Nozzle (09231)","HG2310LCD, HG2510ESD, HL1910E, HL2010E","-","-","-","-","-","Silver"
