Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773447-9_SEC2_APPL_EQUIPMENT&DocType=CS&DocLang=English,-,TG-13/A-170-HG-RFL-LARGE-ND,TG-13/A-170-HG-RFL-LARGE,TE Connectivity Raychem Cable Protection,ATTACHMENT REFLECTOR LARGE,0,0,"94.20000","0","16","ThermoGun HG","Active","-","Nozzle, Reflector","-","-","-","-","-","Heat Shrink Tubing from 0.75"" up to 2"" in Dia","HG-501A, HG-502A, HG-752A","-","-","-","-","-","Silver"
-,-,HG/HAS-011K-ELMT-KT/501A-ND,HG/HAS-011K-ELMT-KT/501A,TE Connectivity Raychem Cable Protection,HG/HAS-011K-ELMT-KT/501A,0,0,"94.62750","0","8","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_35036.jpg,MA35036-ND,35036,Master Appliance Co,"CIRCUIT BOARD KIT (PH-1200, PH-2",0,0,"96.86000","0","1","Proheat® Varitemp® PH","Active","-","Circuit Board","-","-","-","-","-","-","PH-1200, PH-2200","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773447-9_SEC2_APPL_EQUIPMENT&DocType=CS&DocLang=English,-,9-1197672-5-ND,9-1197672-5,TE Connectivity AMP Connectors,PR-13C-REFLECTOR,0,0,"97.33500","0","16","PR","Active","-","Nozzle, Reflector","-","-","-","-","-","Large SolderSleeve Products","CV-1981, CV-1983, HL1910E, HL2010E","-","-","-","-","-","-"
-,-,CLTEQ-INDICATOR-LAMP-ND,CLTEQ-INDICATOR-LAMP,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"103.95000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1481262&DocType=Customer+Drawing&DocLang=English,-,IR-1900-RELAY-3CR/4CR-ND,IR-1900-RELAY-3CR/4CR,TE Connectivity AMP Connectors,RELAY DPDT 220VAC,0,0,"105.44000","0","1","-","Active","-","Relay","-","220V","10A","-","-","-","Model 19 Belt Heaters, Model 105 Tunnel Oven","120 VAC 50/60Hz Coil, DPDT","VDE","Germany","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773447-9_SEC2_APPL_EQUIPMENT&DocType=CS&DocLang=English,-,CJ2085-000-ND,CJ2085-000,TE Connectivity Raychem Cable Protection,"STAND FOR HL1910E, HL2010E",0,0,"106.76400","0","5","-","Active","-","Stand","-","-","-","-","-","-","HL1910E, HL2010E","-","-","-","-","-","-"
-,-,CLTEQ-METAL-COVER-ND,CLTEQ-METAL-COVER,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"108.90000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,CLTEQ-BUSHING-LONG-ND,CLTEQ-BUSHING-LONG,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"110.55000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1481262&DocType=Customer+Drawing&DocLang=English,-,IR-1900-RELAY-CRM/CRF-ND,IR-1900-RELAY-CRM/CRF,TE Connectivity AMP Connectors,RELAY 4PDT 220VAC,0,0,"111.38000","0","1","-","Active","-","Relay","-","220V","10A","-","-","-","Model 19 Belt Heaters, Model 105 Tunnel Oven","120 VAC 50/60Hz Coil, 4PDT","VDE","Germany","-","-","-"
-,-,CV-1981-S-HANDLE-ND,CV-1981-S-HANDLE,TE Connectivity Raychem Cable Protection,CV-1981-S-HANDLE,0,0,"112.41000","0","18","-","Active","-","-","-","-","-","-","-","-","CV-1981","-","-","-","-","-","-"
-,-,CLTEQ-81-TSTR-GAUGE-ND,CLTEQ-81-TSTR-GAUGE,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"113.85000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/Accessories_Tools_Cat.pdf,-,AD-1434-ACD30FT-LPG-HOSE-ND,AD-1434-ACD30FT-LPG-HOSE,TE Connectivity Raychem Cable Protection,LPG HOSE 30FT,0,0,"118.40000","0","1","-","Active","-","LPG Hose","-","-","-","-","-","Torches","-","30' Length","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master-Mite_Brochure.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_10010.jpg,10010-ND,10010,Master Appliance Co,HEAT GUN MASTER-MITE 450W,0,0,"120.12000","0","1","Master-Mite®","Active","Heat Gun","-","800°F (427°C)","240V","1.9A","450W","Heat Gun, Stand, Nozzle","-","-","7' Cord","-","-","Circular - 1.00"" (25.40mm)","3.8 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master-Mite_Brochure.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_10009.jpg,MA10009-ND,10009,Master Appliance Co,HEAT GUN MASTER-MITE 450W 220V,0,0,"120.12000","0","1","Master-Mite®","Active","Heat Gun","-","650°F (343°C)","220V","2A","450W","Heat Gun, Stand, Nozzle","-","-","7' Cord","cULus","Canada, United States","Circular - 1.00"" (25.40mm)","3.8 CFM","Red"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1481262&DocType=Customer+Drawing&DocLang=English,-,IR-1900-RELAY-1CR/2CR-ND,IR-1900-RELAY-1CR/2CR,TE Connectivity AMP Connectors,RELAY DPST 220VAC,0,0,"121.77000","0","1","-","Active","-","Relay","-","220V","25A","-","-","-","Model 19 Belt Heaters, Model 105 Tunnel Oven","110 VAC 50/60Hz Coil, DPST","VDE","Germany","-","-","-"
-,-,CLTEQ-FAN-PLUG-W/CD-ND,CLTEQ-FAN-PLUG-W/CD,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"122.10000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,CLTEQ-PTEMP-SENSOR-ND,CLTEQ-PTEMP-SENSOR,TE Connectivity AMP Connectors,CLTEQ-PTEMP-SENSOR,0,0,"123.75000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AD-1560-ACDMAPP-GAS-NOZL-ND,AD-1560-ACDMAPP-GAS-NOZL,TE Connectivity Raychem Cable Protection,AD-1560-ACDMAPP-GAS-NOZL,0,0,"123.90000","0","1","-","Active","-","Nozzle","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/MA_ProheatSeriesBrochure[1].pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2100-A1.jpg,PH-2100-A1-ND,PH-2100-A1,Master Appliance Co,HEAT GUN 230V 500/1000 DEG C,0,0,"124.29000","0","1","Proheat® Dualtemp™ PH","Active","Heat Gun","-","500°F, 1000°F (260°C, 538°C)","230V","6.2A","1426W","Heat Gun","-","-","6' Cord, Built-in Base, Dual Temperature","CE","Europe, India","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/MA_ProheatSeriesBrochure[1].pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2100-A6.jpg,PH-2100-A6-ND,PH-2100-A6,Master Appliance Co,HEAT GUN 230V 500/1000 DEG C,0,0,"124.29000","0","1","Proheat® Dualtemp™ PH","Active","Heat Gun","-","500°F, 1000°F (260°C, 538°C)","230V","6.2A","1426W","Heat Gun","-","-","6' Cord, Built-in Base, Dual Temperature","CE","Hong Kong, Singapore, United Kingdom","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
-,-,CLTEQ-BRUSH-KIT-ND,CLTEQ-BRUSH-KIT,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"127.05000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AD-1455-ACDACETYLENE-NOZ-ND,AD-1455-ACDACETYLENE-NOZ,TE Connectivity Raychem Cable Protection,AD-1455-ACDACETYLENE-NOZ,0,0,"128.02000","0","1","-","Active","-","Nozzle","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654025_Sec10_AA-400&DocType=CS&DocLang=English,-,AA-400-103-LOW-FLOW-TIP-ND,AA-400-103-LOW-FLOW-TIP,"TE Connectivity Aerospace, Defense and Marine",ATTACHMENT REDUCTION NOZZLE,0,0,"128.55600","0","10","AA-400","Active","-","Nozzle, Reduction","-","-","-","-","-","-","AA-400","-","-","-","-","-","-"
-,-,3-2280624-5-ND,3-2280624-5,TE Connectivity AMP Connectors,"CONTROL RELAY, 115 VAC",0,0,"129.60000","0","1","Model 17","Active","-","Relay","-","115V","-","-","-","2280355-3, 2280355-4","Model 17 Belt Heaters","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,-,3-1197639-9-ND,3-1197639-9,TE Connectivity Raychem Cable Protection,AE-205,0,0,"134.05526","0","19","MiniRay","Active","-","Outer Reflector Mirror","-","-","-","-","-","AT-3130, AT-3131, AT-3132","IR-1759","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_European_Cat_2016.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2000.jpg,PH-2000-A1-ND,PH-2000-A1,Master Appliance Co,PROHEAT QUICK-TOUCH HEAT GUN W/M,0,0,"135.67000","0","1","Proheat® Quick-Touch™ PH","Active","Heat Gun","-","1000°F (538°C)","230V","6.2A","1426W","Heat Gun","-","-","6' Cord, Built-in Base, Momentary Switch","CE","Europe, India","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_European_Cat_2016.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2000.jpg,PH-2000-A6-ND,PH-2000-A6,Master Appliance Co,PROHEAT QUICK-TOUCH HEAT GUN W/M,0,0,"135.67000","0","1","Proheat® Quick-Touch™ PH","Active","Heat Gun","-","1000°F (538°C)","230V","6.2A","1426W","Heat Gun","-","-","6' Cord, Built-in Base, Momentary Switch","CE","Hong Kong, Singapore, United Kingdom","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
-,-,CLTEQ-81-TSTR-RDSWT-ND,CLTEQ-81-TSTR-RDSWT,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"138.60000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AES-IR550J140-CNCTR-RECP-ND,AES-IR550J140-CNCTR-RECP,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"138.60000","0","1","IR-550","Active","-","-","-","-","-","-","-","-","IR-550 Infrared Heaters","-","-","-","-","-","-"
-,-,CLTEQ-P-TEMP-SNSR-ND,CLTEQ-P-TEMP-SNSR,TE Connectivity AMP Connectors,CLTEQ-P-TEMP-SNSR,0,0,"138.60000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AA-400-42-FITTING-ASSY-ND,AA-400-42-FITTING-ASSY,"TE Connectivity Aerospace, Defense and Marine",AA-400-42-FITTING-ASSY,0,0,"138.95333","0","3","AA-400","Active","-","-","-","-","-","-","-","-","AA-400","-","-","-","-","-","-"
http://www.steinel.net/Customized/uploads/PDFs/HB_1750_Data.pdf,-,110049973-ND,110049973,Steinel America,HEAT BLOWER HB1750 B 200-300DEG,0,0,"139.24000","0","1","-","Active","Heat Gun","-","200°F ~ 300°F (93°C ~ 150°C)","120V","14.6A","1750W","Heat Gun, Adjustable Stand, Blue Temperature Key","-","-","6' Cord, Adjustable Storage Stand, Color Coded Lock-in Temperature Key, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.70"" (43.20mm)","23.0 CFM","Blue"
http://www.steinel.net/Customized/uploads/PDFs/HB_1750_Data.pdf,-,110049974-ND,110049974,Steinel America,HEAT BLOWER HB1750 G 300-500DEG,0,0,"139.24000","0","1","-","Active","Heat Gun","-","300°F ~ 500°F (149°C ~ 260°C)","120V","14.6A","1750W","Heat Gun, Adjustable Stand, Gray Temperature Key","-","-","6' Cord, Adjustable Storage Stand, Color Coded Lock-in Temperature Key, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.70"" (43.20mm)","23.0 CFM","Blue"
http://www.steinel.net/Customized/uploads/PDFs/HB_1750_Data.pdf,-,110049975-ND,110049975,Steinel America,HEAT BLOWER HB1750 Y 500-750DEG,0,0,"139.24000","0","1","-","Active","Heat Gun","-","500°F ~ 750°F (260°C ~ 371°C)","120V","14.6A","1750W","Heat Gun, Adjustable Stand, Yellow Temperature Key","-","-","6' Cord, Adjustable Storage Stand, Color Coded Lock-in Temperature Key, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.70"" (43.20mm)","23.0 CFM","Blue"
http://www.steinel.net/Customized/uploads/PDFs/HB_1750_Data.pdf,-,110049976-ND,110049976,Steinel America,HEAT BLOWER HB1750 O 750-1000DEG,0,0,"139.24000","0","1","-","Active","Heat Gun","-","750°F ~ 1000°F (400°C ~ 540°C)","120V","14.6A","1750W","Heat Gun, Adjustable Stand, Orange Temperature Key","-","-","6' Cord, Adjustable Storage Stand, Color Coded Lock-in Temperature Key, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.70"" (43.20mm)","23.0 CFM","Blue"
http://www.steinel.net/Customized/uploads/PDFs/HB_1750_Data.pdf,-,110049977-ND,110049977,Steinel America,HEAT BLWR HB1750 R 1000-1200DEG,0,0,"139.24000","0","1","-","Active","Heat Gun","-","1000°F ~ 1200°F (538°C ~ 649°C)","120V","14.6A","1750W","Heat Gun, Adjustable Stand, Red Temperature Key","-","-","6' Cord, Adjustable Storage Stand, Color Coded Lock-in Temperature Key, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.70"" (43.20mm)","23.0 CFM","Blue"
-,-,IR-550-236-ACC-STAND-KIT-ND,IR-550-236-ACC-STAND-KIT,TE Connectivity Raychem Cable Protection,IR-550-236-ACC-STAND-KIT,0,0,"145.06400","0","5","IR-550","Active","-","-","-","-","-","-","-","-","IR-550 Infrared Heaters","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654025_Sec10_AA-400&DocType=CS&DocLang=English,-,7-1197567-4-ND,7-1197567-4,"TE Connectivity Aerospace, Defense and Marine",HEAT TOOL STAND ASSEMBLY,0,0,"145.10364","0","11","AA-400","Active","-","Stand","-","-","-","-","-","-","AA-400","-","-","-","-","-","-"
-,-,CLTEQ-NO.35CHAIN-SET-ND,CLTEQ-NO.35CHAIN-SET,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"145.20000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Proheat_Series_Br.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/PH-1100K.jpg,MA1010-ND,PH-1100K,Master Appliance Co,HEAT GUN KIT 120V 500/1000 DEG F,0,0,"146.52000","0","1","Proheat® Dualtemp™ PH","Active","Heat Gun Kit","-","500°F, 1000°F (260°C, 538°C)","120V","11A","1300W","Heat Gun, Case, 2 Nozzles","-","-","6' Cord, Built-in Base, Dual Temperature","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
-,-,CLTEQ-BUSHING-SHORT-ND,CLTEQ-BUSHING-SHORT,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"146.85000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,1-2280624-5-ND,1-2280624-5,TE Connectivity AMP Connectors,"COOLING FAN, 220 VAC",0,0,"147.00000","0","1","Model 17","Active","-","Fan","-","220V","-","-","-","2280355-1, 2280355-2","Model 17 Belt Heaters","-","-","-","-","-","-"
-,-,3-2280624-1-ND,3-2280624-1,TE Connectivity AMP Connectors,"COOLING FAN, 115 VAC",0,0,"147.00000","0","1","Model 17","Active","-","Fan","-","115V","-","-","-","2280355-3, 2280355-4","Model 17 Belt Heaters","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=H50008&DocType=SS&DocLang=EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC.jpg,AA400-101-STAINLESS-BOOT-ND,AA400-101-STAINLESS-BOOT,"TE Connectivity Aerospace, Defense and Marine",ATTACHMENT SPREADER,0,0,"148.70444","0","9","-","Active","-","Nozzle, Spreader","-","-","-","-","-","-","AA-400, HT-900","-","-","-","-","-","Silver"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=412-94301&DocType=SS&DocLang=EN,-,CLTEQ-M105-MTR-BRUSH-SET-ND,CLTEQ-M105-MTR-BRUSH-SET,TE Connectivity AMP Connectors,MOTOR BRUSH SET,0,0,"149.99000","0","1","Model 105","Active","-","Motor Brush Set","-","-","-","-","-","-","Model 105 Tunnel Oven","-","-","-","-","-","-"
-,-,CLTEQ-UPR-TIMING-BELT-ND,CLTEQ-UPR-TIMING-BELT,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"150.15000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/Accessories_Tools_Cat.pdf,-,AD-1358-LPG-REG-W/GAGE-ND,AD-1358-LPG-REG-W/GAGE,TE Connectivity Raychem Cable Protection,PROPANE TANK REGULATOR,0,0,"150.97400","0","10","-","Active","-","Propane Tank Regulator","-","-","-","-","-","Torches","-","0-30 psi Gauge","-","-","-","-","-"
-,-,133-HG-502D-03-ND,HG-502D-03,Master Appliance Co,HEAT GUN 1200�F 230V EURO PLUG,0,0,"155.90667","0","3","HG","Active","Heat Gun","-","1200°F (649°C)","220V","9A","1980W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-302D-03-ND,HG-302D-03,Master Appliance Co,HEAT GUN 800�F 230V EURO PLUG,0,0,"155.90667","0","3","HG","Active","Heat Gun","-","800°F (427°C)","220V","6A","1320W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-302D-02-ND,HG-302D-02,Master Appliance Co,HEAT GUN 800�F. 220V,0,0,"155.90667","0","3","HG","Active","Heat Gun","-","800°F (427°C)","220V","6A","1320W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-502D-04-ND,HG-502D-04,Master Appliance Co,HEAT GUN 1200�F 230V UK PLUG,0,0,"155.90667","0","3","HG","Active","Heat Gun","-","1200°F (649°C)","220V","9A","1980W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-302D-04-ND,HG-302D-04,Master Appliance Co,HEAT GUN 800�F 230V UK PLUG,0,0,"155.90667","0","3","HG","Active","Heat Gun","-","800°F (427°C)","220V","6A","1320W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-502D-02-ND,HG-502D-02,Master Appliance Co,HEAT GUN 1200�F 220V,0,0,"155.90667","0","3","HG","Active","Heat Gun","-","1200°F (649°C)","220V","9A","1980W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,CLTEQ-40-MOD-SPROCKET-ND,CLTEQ-40-MOD-SPROCKET,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"156.55000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG-201AK.jpg,HG-302A-ND,HG-302A,Master Appliance Co,"MASTER HEAT GUN, 300 - 500F, 220",0,0,"158.13000","0","1","HG","Active","Heat Gun Kit","-","300°F ~ 500°F (149°C ~ 260°C)","220V","6A","1440W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","-","-","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG-201AK.jpg,HG-502A-ND,HG-502A,Master Appliance Co,"MASTER HEAT GUN, 500 - 750F, 220",0,0,"158.13000","0","1","HG","Active","Heat Gun Kit","-","500°F ~ 750°F (260°C ~ 399°C)","220V","7A","1680W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","-","-","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
-,-,CLTEQ-MOD-CH-SPKT-ND,CLTEQ-MOD-CH-SPKT,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"158.40000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AES-HT-900B-INDCTR-LAMP-ND,AES-HT-900B-INDCTR-LAMP,TE Connectivity Raychem Cable Protection,AES-HT-900B-INDCTR-LAMP,0,0,"158.55000","0","3","HT-900","Active","-","-","-","-","-","-","-","-","HT-900B Compressed Air Nitrogen Heater","-","-","-","-","-","-"
-,-,CLTEQ-3-1/8-FAN-SU2A5-ND,CLTEQ-3-1/8-FAN-SU2A5,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"159.65000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/MA_ProheatSeriesBrochure[1].pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2100K-A1.jpg,PH-2100K-A1-ND,PH-2100K-A1,Master Appliance Co,HEAT GUN KIT 230V 500/1000 DEG C,0,0,"160.52000","0","1","Proheat® Dualtemp™ PH","Active","Heat Gun Kit","-","500°F, 1000°F (260°C, 538°C)","230V","6.2A","1426W","Heat Gun, Case, 2 Nozzles","-","-","6' Cord, Built-in Base, Dual Temperature","CE","Europe, India","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/MA_ProheatSeriesBrochure[1].pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2100K-A6.jpg,PH-2100K-A6-ND,PH-2100K-A6,Master Appliance Co,PROHEAT DUAL TEMP. HEAT GUN KIT,0,0,"160.52000","0","1","Proheat® Dualtemp™ PH","Active","Heat Gun Kit","-","500°F, 1000°F (260°C, 538°C)","230V","6.2A","1426W","Heat Gun, Case, 2 Nozzles","-","-","6' Cord, Built-in Base, Dual Temperature","CE","Hong Kong, Singapore, United Kingdom","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1481262&DocType=Customer+Drawing&DocLang=English,-,CLTEQ-M19SS-FLAT-BELTS-ND,CLTEQ-M19SS-FLAT-BELTS,TE Connectivity AMP Connectors,FLAT BELTS FOR MODEL 19 NARROW,0,0,"161.87000","0","1","Model 19","Active","-","Flat Belts","-","-","-","-","-","-","Model 19 Belt Heater (Narrow)","-","-","-","-","-","-"
-,-,35449-ND,35449,Master Appliance Co,SENSOR CARTRIDGE ASSEMBLY (NEW S,0,0,"161.92000","0","1","Proheat® STC PH","Active","-","Sensor Cartridge Assembly","-","-","-","-","-","-","-","-","-","-","-","-","Black"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,-,AE-770-ND,AE-770,TE Connectivity Raychem Cable Protection,AE-770,0,0,"163.12000","0","1","MiniRay","Active","-","Optic Block","-","-","-","-","-","-","IR-1759","-","-","-","-","-","-"
-,-,CLTEQ-BLDR-MTR-BRUSH-SET-ND,CLTEQ-BLDR-MTR-BRUSH-SET,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"163.35000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,133-HG-202D-03-ND,HG-202D-03,Master Appliance Co,HEAT GUN 400�F. 230V EURO PLUG,0,0,"164.12667","0","3","HG","Active","Heat Gun","-","400°F (204°C)","220V","3A","660W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-202D-02-ND,HG-202D-02,Master Appliance Co,HEAT GUN 400�F 220V,0,0,"164.12667","0","3","HG","Active","Heat Gun","-","400°F (204°C)","220V","3A","660W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-202D-04-ND,HG-202D-04,Master Appliance Co,HEAT GUN 400�F 230V UK PLUG,0,0,"164.12667","0","3","HG","Active","Heat Gun","-","400°F (204°C)","220V","3A","660W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,CLTEQ-LWR-TIMING-BELT-ND,CLTEQ-LWR-TIMING-BELT,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"165.85000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Steinel%20America%20Inc/HL_1620_S.pdf,-,110023455-ND,110023455,Steinel America,HL1620S HEATGUN 2-STAGE PROF,0,0,"166.60250","0","8","-","Active","Heat Gun","-","575°F, 950°F (302°C, 510°C)","120V","10.8A","1300W","Heat Gun","Heat Shrink Tubing, Plastic Welding, Soldering","-","2-Stage Air Control, 6' Cord","cULus","-","Circular - 1.30"" (33.02mm)","8.0 CFM, 13.0 CFM","Gray"
-,-,CLTEQ-M16A13MTRDRVKT-ND,CLTEQ-M16A13MTRDRVKT,TE Connectivity AMP Connectors,CLTEQ-M16A13MTRDRVKT,0,0,"167.40000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
