Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","For Use With/Related Products"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1212708,//media.digikey.com/Photos/Phoenix%20Photos/1212708.JPG,277-12774-ND,1212708,Phoenix Contact,CF CRIMPHANDY 1 5/SERVICE-TOOL,2,0,"109.80000","0","1","CF-CRIMPHANDY","Active","Service Tool","1212466"
//media.digikey.com/pdf/Data%20Sheets/TPI%20PDFs/3M301R-NB.PDF,//media.digikey.com/Photos/TPI%20Photos/MFG_3M301R-NB.jpg,290-1959-ND,3M301R-NB,TPI (Test Products Int),1""/25MM ELECT DGTL MICRO W/USB,3,80,"179.63000","0","1","-","Active","Micrometer","Measurements"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=65911&DocType=DS&DocLang=English,//media.digikey.com/Photos/Tyco%20Amp%20Photos/122562-1.jpg,122562-1-ND,122562-1,TE Application Tooling,SEATING TOOL,5,0,"575.58000","0","1","Z-PACK","Active","Seating Tool","Hard Metric Connectors"
https://www.panduit.com/content/dam/panduit/en/products/assets/0/0c/0cj/0cjt/cjtx/media/C-COCJT--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CJT-X.JPG,298-16095-ND,CJT-X,Panduit Corp,TERMINATION TOOL,116,0,"1.87000","0","1","-","Active","Termination Tool","Modular Connectors"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1971903&DocType=Customer+Drawing&DocLang=English,-,A128348-ND,1971903-1,TE Connectivity AMP Connectors,"OPEN TOOL, PV4 CONNECTOR",250,0,"2.17000","0","1","-","Active","Wrench","Photovoltaic (Solar Panel) Connectors"
http://www.panduit.com/heiler/PartDrawings/C-COCGJT--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CGJT.JPG,298-12210-ND,CGJT,Panduit Corp,TERMINATION TOOL,39,0,"3.50000","0","1","-","Active","Termination Tool","Modular Connectors"
-,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TGSJT.JPG,298-13076-ND,TGSJT,Panduit Corp,45 DEGREE TG JACK TERMINATION TO,91,0,"3.98000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/70020_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_70020.JPG,1890-1058-ND,70020,"Makeblock Co., LTD.",SMALL FOURWAY SOCKET WRENCH,29,0,"4.99000","0","1","-","Active","Cabinet Key","Screw and Nut Drivers"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-0342-101-CSU.pdf,-,1436-2483-ND,HT-PT,HellermannTyton,POCKET TERMINATION TOOL FOR GST,65,0,"5.00000","0","1","-","Active","Termination Tool","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/0/0w/0wp/0wpt/wpt8/media/C-COWPT-8--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_WPT-8.jpg,298-16579-ND,WPT-8,Panduit Corp,WIRE PREP TOOL FOR MOD PLUG TERM,33,0,"5.20000","0","1","Pan-Plug®","Active","Termination Tool","MP588"
