Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip Diameter","Shaft Diameter","Length"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_5BD19.jpg,5BD33-ND,5BD33,"Klein Tools, Inc.",BARREL DRIFT - 1-19/64'' (33 MM),0,0,"Obsolete","0","1","-","Obsolete","Drift Pin","0.16""  (4.0mm)","1.30"" (32.9mm)","7.87"" (200.0mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_5BD19.jpg,5BD30-ND,5BD30,"Klein Tools, Inc.",BARREL DRIFT - 1-3/16'' (30 MM),0,0,"Obsolete","0","1","-","Obsolete","Drift Pin","0.58"" (14.7mm)","1.19"" (30.2mm)","7.87"" (200.0mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_5BD19.jpg,5BD20-ND,5BD20,"Klein Tools, Inc.",BARREL DRIFT - 25/32'' (20 MM),0,0,"Obsolete","0","1","-","Obsolete","Drift Pin","0.37"" (9.5mm)","0.78"" (19.8mm)","7.08"" (179.8mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_5BD19.jpg,5BD19-ND,5BD19,"Klein Tools, Inc.",BARREL DRIFT - 3/4'' (19 MM),0,0,"Obsolete","0","1","-","Obsolete","Drift Pin","0.36"" (9.1mm)","0.75"" (19.1mm)","6.28"" (159.5mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4BP10.jpg,4BP25-ND,4BP25,"Klein Tools, Inc.",BRASS PUNCH - 1'',0,0,"Obsolete","0","1","-","Obsolete","Brass Punch","1.00"" (25.4mm)","1.00"" (25.4mm)","8.00"" (203.2mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_7BP29219.jpg,7BP29225-ND,7BP29225,"Klein Tools, Inc.",BRASS PUNCH - 1'',0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","1.00"" (25.4mm)","1.00"" (25.4mm)","11.50"" (292.10mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4BP10.jpg,4BP12-ND,4BP12,"Klein Tools, Inc.",BRASS PUNCH - 1/2'' (13 MM),0,0,"Obsolete","0","1","-","Obsolete","Brass Punch","0.50"" (12.7mm)","0.50"" (12.7mm)","7.00"" (177.8mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_7BP29219.jpg,7BP29232-ND,7BP29232,"Klein Tools, Inc.",BRASS PUNCH - 1-1/4'' (32 MM),0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","1.25"" (31.8mm)","1.25"" (31.8mm)","11.50"" (292.10mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4BP10.jpg,4BP19-ND,4BP19,"Klein Tools, Inc.",BRASS PUNCH - 3/4'' (19 MM),0,0,"Obsolete","0","1","-","Obsolete","Brass Punch","0.75"" (19.1mm)","0.75"" (19.1mm)","8.00"" (203.2mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_7BP29219.jpg,7BP29219-ND,7BP29219,"Klein Tools, Inc.",BRASS PUNCH - 3/4'' (19 MM),0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","0.75"" (19.1mm)","0.75"" (19.1mm)","11.50"" (292.10mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4BP10.jpg,4BP10-ND,4BP10,"Klein Tools, Inc.",BRASS PUNCH - 3/8'',0,0,"Obsolete","0","1","-","Obsolete","Brass Punch","0.37"" (9.5mm)","0.37"" (9.5mm)","6.00"" (152.4mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4BP10.jpg,4BP16-ND,4BP16,"Klein Tools, Inc.",BRASS PUNCH - 5/8'',0,0,"Obsolete","0","1","-","Obsolete","Brass Punch","0.63"" (15.9mm)","0.63"" (15.9mm)","7.00"" (177.8mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4PPL03.jpg,4PPL06.5-ND,4PPL06.5,"Klein Tools, Inc.",PIN PUNCH - LONG - 1/4'' (6 MM),0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","0.25"" (6.4mm)","0.25"" (6.4mm)","2.55"" (64.7mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4PPL03.jpg,4PPL06-ND,4PPL06,"Klein Tools, Inc.",PIN PUNCH - LONG - 15/64'' (6 MM,0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","0.24"" (6.0mm)","0.24"" (6.0mm)","2.55"" (64.7mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4PPL03.jpg,4PPL10-ND,4PPL10,"Klein Tools, Inc.",PIN PUNCH - LONG - 25/64'',0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","0.39"" (9.9mm)","0.39"" (9.9mm)","2.75"" (69.9mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4PPL03.jpg,4PPL05-ND,4PPL05,"Klein Tools, Inc.",PIN PUNCH - LONG - 3/16'' (5 MM),0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","0.19"" (4.8mm)","0.19"" (4.8mm)","2.55"" (64.7mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4PPL03.jpg,4PPL02.5-ND,4PPL02.5,"Klein Tools, Inc.",PIN PUNCH - LONG - 3/32'' (2 MM),0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","0.09"" (2.4mm)","0.09"" (2.4mm)","2.16"" (54.8mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4PPL03.jpg,4PPL08-ND,4PPL08,"Klein Tools, Inc.",PIN PUNCH - LONG - 5/16'' (8 MM),0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","0.31"" (7.9mm)","0.31"" (7.9mm)","2.75"" (69.9mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4PPL03.jpg,4PPL04-ND,4PPL04,"Klein Tools, Inc.",PIN PUNCH - LONG - 5/32'' (4 MM),0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","0.16"" (4.0mm)","0.16"" (4.0mm)","2.36"" (59.9mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4PPL03.jpg,4PPL03-ND,4PPL03,"Klein Tools, Inc.",PIN PUNCH - LONG - 7/64'' (3 MM),0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch","0.11"" (2.8mm)","0.11"" (2.8mm)","2.16"" (54.8mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_5SDL45025.jpg,5SDL45025-ND,5SDL45025,"Klein Tools, Inc.",STARTER DRIFT - LARGE BODY,0,0,"Obsolete","0","1","-","Obsolete","Tapered Punch","0.50"" (12.7mm)","1.09"" (27.8mm)","18.00"" (457.2mm)"
-,-,70-103-ND,70-103,Apex Tool Group,PNCH PIN 3/32 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-107-ND,70-107,Apex Tool Group,PNCH PIN 5/32 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-129-ND,70-129,Apex Tool Group,PNCH PIN 7/32 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-131-ND,70-131,Apex Tool Group,PNCH PIN 1/4 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-133-ND,70-133,Apex Tool Group,PNCH PIN 5/16 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-153-ND,70-153,Apex Tool Group,PNCH SLD 1/16 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-161-ND,70-161,Apex Tool Group,PNCH SLD 3/16 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-187-ND,70-187,Apex Tool Group,PNCH DRFT 3/32 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-191-ND,70-191,Apex Tool Group,PNCH DRFT 5/32 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-197-ND,70-197,Apex Tool Group,PNCH DRFT 1/4 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-221-ND,70-221,Apex Tool Group,PNCH ALGN 5/16 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-235-ND,70-235,Apex Tool Group,PNCH CNTR 3/8 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-251-ND,70-251,Apex Tool Group,PNCH PRCK 1/4 HEX BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-253-ND,70-253,Apex Tool Group,PNCH PRCK 5/16 HEX BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-257-ND,70-257,Apex Tool Group,PNCH PRCK 1/2 HEX BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-260-ND,70-260,Apex Tool Group,PNCH ROLL PIN 1/16 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-481-ND,70-481,Apex Tool Group,RVT BSTR 3/4X12 BLK,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-545-ND,70-545,Apex Tool Group,SET PNCH BRS DRFT 3PC,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-546-ND,70-546,Apex Tool Group,SET PNCH PIN BRS 3PC,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-553-ND,70-553,Apex Tool Group,7PC PNCH PIN TL STEEL SET,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-554-ND,70-554,Apex Tool Group,SET PNCH PIN 7PC,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-557-ND,70-557,Apex Tool Group,SET PNCH ROLL PIN 7PC,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,70-559-ND,70-559,Apex Tool Group,5PC PNCH DRIFT SET,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_12411.jpg,12411-ND,12411,Wiha,PUNCH PIN TAPER 1MM X 120MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.04"" (1.0mm)","0.39"" (10.0mm)","4.72"" (120.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12412-ND,12412,Wiha,PUNCH PIN TAPER 2MM X 120MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.08"" (2.0mm)","0.39"" (10.0mm)","4.72"" (120.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12413-ND,12413,Wiha,PUNCH PIN TAPER 3MM X 120MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.12"" (3.0mm)","0.39"" (10.0mm)","4.72"" (120.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12414-ND,12414,Wiha,PUNCH PIN TAPER 4MM X 120MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.16"" (4.0mm)","0.39"" (10.0mm)","4.72"" (120.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/12415.jpg,12415-ND,12415,Wiha,PUNCH PIN TAPER 5MM X 120MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.20"" (5.0mm)","0.39"" (10.0mm)","4.72"" (120.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_12416.jpg,12416-ND,12416,Wiha,PUNCH PIN TAPER 6MM X 120MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.24"" (6.0mm)","0.39"" (10.0mm)","4.72"" (120.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12419-ND,12419,Wiha,PUNCH PIN TAPER 7MM X 150MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.28"" (7.0mm)","0.47"" (12.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12420-ND,12420,Wiha,PUNCH PIN TAPER 8MM X 150MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.32"" (8.0mm)","0.47"" (12.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12421-ND,12421,Wiha,PUNCH PIN TAPER 9MM X 150MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.35"" (9.0mm)","0.47"" (12.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12422-ND,12422,Wiha,PUNCH PIN TAPER 10MM X 150MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.39"" (10.0mm)","0.47"" (12.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12423-ND,12423,Wiha,PUNCH PIN TAPER 12MM X 150MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.47"" (12.0mm)","0.55"" (14.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_12411.jpg,12424-ND,12424,Wiha,PUNCH PIN TAPER 14MM X 175MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.55"" (14.0mm)","0.63"" (16.0mm)","6.89"" (175.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12425-ND,12425,Wiha,PUNCH PIN TAPER 16MM X 175MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.63"" (16.0mm)","0.71"" (18.0mm)","6.89"" (175.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12426-ND,12426,Wiha,PUNCH PIN TAPER 18MM X 200MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.71"" (18.0mm)","0.79"" (20.0mm)","7.87"" (200.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12436-ND,12436,Wiha,PUNCH CENTER TAPER 4MM X 120MM,0,0,"Obsolete","0","1","-","Obsolete","Tapered Punch","0.16"" (4.0mm)","0.39"" (10.0mm)","4.72"" (120.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_12437.jpg,12437-ND,12437,Wiha,PUNCH CENTER TAPER 5MM X 120MM,0,0,"Obsolete","0","1","-","Obsolete","Tapered Punch","0.20"" (5.0mm)","0.47"" (12.0mm)","4.72"" (120.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12438-ND,12438,Wiha,PUNCH CENTER TAPER 5MM X 150MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.20"" (5.0mm)","0.47"" (12.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,-,12439-ND,12439,Wiha,PUNCH CENTER TAPER 6MM X 150MM,0,0,"Obsolete","0","10","-","Obsolete","Tapered Punch","0.24"" (6.0mm)","0.55"" (14.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_12490.jpg,12490-ND,12490,Wiha,PUNCH PIN TAPER 8PC SET 1MM-8MM,0,0,"Obsolete","0","1","-","Obsolete","Tapered Punch, Set of 8","Assorted","Assorted","Assorted"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_12491.jpg,12491-ND,12491,Wiha,"PUNCH CENTER 3PC SET 4,5 & 6MM",0,0,"Obsolete","0","1","-","Obsolete","Center Punch, Set of 3","Assorted","Assorted","Assorted"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_12492.jpg,12492-ND,12492,Wiha,PUNCH PIN TAPER 14PC SET 1-18MM,0,0,"Obsolete","0","1","-","Obsolete","Tapered Punch, Set of 14","Assorted","Assorted","Assorted"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23435-ND,23435,Wiha,PUNCH PIN HEAVY DUTY 14MM,0,0,"Obsolete","0","10","-","Obsolete","Parallel Pin Punch","0.55"" (14.0mm)","0.63"" (16.0mm)","6.89"" (175.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23436-ND,23436,Wiha,PUNCH PIN HEAVY DUTY 16MM,0,0,"Obsolete","0","10","-","Obsolete","Parallel Pin Punch","0.63"" (16.0mm)","0.71"" (18.0mm)","7.87"" (200.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23437-ND,23437,Wiha,PUNCH PIN HEAVY DUTY 18MM,0,0,"Obsolete","0","10","-","Obsolete","Parallel Pin Punch","0.71"" (18.0mm)","0.79"" (20.0mm)","7.87"" (200.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23438-ND,23438,Wiha,PUNCH PIN HEAVY DUTY 20MM,0,0,"Obsolete","0","10","-","Obsolete","Parallel Pin Punch","0.79"" (20.0mm)","0.87"" (22.0mm)","9.84"" (250.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_23491.jpg,23491-ND,23491,Wiha,PUNCH PIN 15PC 3MM-20MM IN/POUCH,0,0,"Obsolete","0","1","-","Obsolete","Parallel Pin Punch, Set of 15","Assorted","Assorted","Assorted"
