Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip Diameter","Shaft Diameter","Length"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4PPL03.jpg,4PPLSET8-ND,4PPLSET8,"Klein Tools, Inc.",PIN PUNCHES - LONG - 8-PC SET,2,0,"75.74000","0","1","-","Active","Parallel Pin Punch, Set of 8","Assorted","Assorted","Assorted"
-,-,82272-ND,82272,Apex Tool Group,PNCH PIN 3/32X 4-3/4X 5/16,0,0,"7.69000","0","1","*","Active","-","-","-","-"
-,-,70-233G-ND,70-233G,Apex Tool Group,PNCH CNTR 5/16 BLK,0,0,"8.68000","0","1","-","Active","Center Punch","0.16"" (4.0mm)","-","-"
-,-,70-101G-ND,70-101G,Apex Tool Group,PNCH PIN 1/16 BLK,0,0,"8.89000","0","1","-","Active","Parallel Pin Punch","0.06"" (1.6mm)","-","4.25"" (108.0mm)"
-,-,82273-ND,82273,Apex Tool Group,PNCH PIN 1/8X 5X 5/16,0,0,"8.94000","0","1","*","Active","-","-","-","-"
-,-,82276-ND,82276,Apex Tool Group,PNCH PIN 1/4X 7X 3/8,0,0,"9.11000","0","1","*","Active","-","-","-","-"
-,-,82285-ND,82285,Apex Tool Group,PNCH START 1/8X 4-1/2X 5/16,0,0,"9.11000","0","1","*","Active","-","-","-","-"
-,-,82269-ND,82269,Apex Tool Group,PNCH CNTR 1/4X 4-1/4,0,0,"9.42000","0","1","*","Active","-","-","-","-"
-,-,82270-ND,82270,Apex Tool Group,PNCH CNTR 3/8X 5,0,0,"9.42000","0","1","*","Active","-","-","-","-"
-,-,82274-ND,82274,Apex Tool Group,PNCH PIN 5/32X 5-1/4X 5/16,0,0,"9.42000","0","1","*","Active","-","-","-","-"
-,-,70-103G-ND,70-103G,Apex Tool Group,PNCH PIN 3/32 BLK,0,0,"9.43000","0","1","-","Active","Parallel Pin Punch","0.09"" (2.4mm)","-","4.75"" (120.7mm)"
-,-,70-260G-ND,70-260G,Apex Tool Group,PNCH ROLL PIN 1/16 BLK,0,0,"9.69000","0","1","-","Active","-","0.06"" (1.6mm)","-","2.75"" (69.9mm)"
-,-,70-105G-ND,70-105G,Apex Tool Group,PNCH PIN 1/8 BLK,0,0,"9.76000","0","1","-","Active","Parallel Pin Punch","0.13"" (3.2mm)","-","5.00"" (127.0mm)"
-,-,70-110G-ND,70-110G,Apex Tool Group,PNCH PIN TL STL 1/16 TIP,0,0,"9.92000","0","1","-","Active","Parallel Pin Punch","0.06"" (1.6mm)","-","4.00"" (101.6mm)"
-,-,70-155G-ND,70-155G,Apex Tool Group,PNCH SLD 3/32 BLK,0,0,"10.13000","0","1","-","Active","-","0.09"" (2.4mm)","-","4.50"" (114.3mm)"
-,-,70-157-ND,70-157,Apex Tool Group,PNCH SLD 1/8TX3/8HX5L BLK,0,0,"10.15000","0","1","*","Not For New Designs","-","-","-","-"
-,-,82282-ND,82282,Apex Tool Group,PNCH START 5/32X 5X 3/8,0,0,"10.54000","0","1","*","Active","-","-","-","-"
-,-,70-262G-ND,70-262G,Apex Tool Group,PNCH ROLL PIN 3/32 BLK,0,0,"10.56000","0","1","-","Active","-","0.09"" (2.4mm)","-","3.50"" (88.9mm)"
-,-,70-112G-ND,70-112G,Apex Tool Group,PNCH PIN TL STL 3/32 TIP,0,0,"10.98000","0","1","-","Active","Parallel Pin Punch","0.09"" (2.4mm)","-","4.50"" (114.3mm)"
-,-,70-107G-ND,70-107G,Apex Tool Group,PNCH PIN 5/32 BLK,0,0,"10.99000","0","1","-","Active","Parallel Pin Punch","0.16"" (4.0mm)","-","5.25"" (133.4mm)"
-,-,70-114G-ND,70-114G,Apex Tool Group,PNCH PIN TL STL 1/8 TIP,0,0,"11.14000","0","1","-","Active","Parallel Pin Punch","0.13"" (3.2mm)","-","4.75"" (120.7mm)"
-,-,70-109G-ND,70-109G,Apex Tool Group,PNCH PIN 3/16 BLK,0,0,"11.28000","0","1","-","Active","Parallel Pin Punch","0.19"" (4.8mm)","-","5.25"" (133.4mm)"
-,-,82277-ND,82277,Apex Tool Group,PNCH PIN 5/16X 7X 1/2,0,0,"11.45000","0","1","*","Active","-","-","-","-"
-,-,82283-ND,82283,Apex Tool Group,PNCH START 3/16X 5X 3/8,0,0,"11.45000","0","1","*","Active","-","-","-","-"
-,-,70-116G-ND,70-116G,Apex Tool Group,PNCH PIN TL STL 5/32 TIP,0,0,"11.53000","0","1","-","Active","Parallel Pin Punch","0.16"" (4.0mm)","-","5.00"" (127.0mm)"
-,-,70-235G-ND,70-235G,Apex Tool Group,PNCH CNTR 3/8 BLK,0,0,"11.53000","0","1","-","Active","Center Punch","0.16"" (4.0mm)","-","5.00"" (127.0mm)"
-,-,70-264G-ND,70-264G,Apex Tool Group,PNCH ROLL PIN 1/8 BLK,0,0,"11.53000","0","1","-","Active","-","0.13"" (3.2mm)","-","4.00"" (101.6mm)"
-,-,70-157G-ND,70-157G,Apex Tool Group,PNCH SLD 1/8TX3/8HX5L BLK,0,0,"11.76000","0","1","-","Active","-","0.13"" (3.2mm)","-","4.50"" (114.3mm)"
-,-,70-255G-ND,70-255G,Apex Tool Group,PNCH PRCK 3/8 HEX BLK,0,0,"11.76000","0","1","-","Active","-","0.11"" (2.8mm)","-","5.00"" (127.0mm)"
-,-,70-159G-ND,70-159G,Apex Tool Group,PNCH SLD 5/32 BLK,0,0,"12.04000","0","1","-","Active","-","0.16"" (4.0mm)","-","5.00"" (127.0mm)"
-,-,70-161G-ND,70-161G,Apex Tool Group,PNCH SLD 3/16 BLK,0,0,"12.33000","0","1","-","Active","-","0.19"" (4.8mm)","-","5.00"" (127.0mm)"
-,-,70-118G-ND,70-118G,Apex Tool Group,PNCH PIN TL STL 3/16 TIP,0,0,"12.41000","0","1","-","Active","Parallel Pin Punch","0.19"" (4.8mm)","-","5.25"" (133.4mm)"
-,-,70-239G-ND,70-239G,Apex Tool Group,PNCH CNTR 1/2 BLK,0,0,"12.41000","0","1","-","Active","Center Punch","0.31"" (7.9mm)","-","6.00"" (152.4mm)"
-,-,70-266G-ND,70-266G,Apex Tool Group,PNCH ROLL PIN 5/32 BLK,0,0,"12.56000","0","1","-","Active","-","0.16"" (4.0mm)","-","4.50"" (114.3mm)"
-,-,82278-ND,82278,Apex Tool Group,PNCH LNG TPR 1/8X 8X 3/8,0,0,"12.57000","0","1","*","Active","-","-","-","-"
-,-,82284-ND,82284,Apex Tool Group,PNCH START 1/4X 6X 1/2,0,0,"12.57000","0","1","*","Active","-","-","-","-"
-,-,70-167G-ND,70-167G,Apex Tool Group,PNCH SLD 5/16 BLK,0,0,"12.79000","0","1","-","Active","-","0.31"" (7.9mm)","-","6.00"" (152.4mm)"
-,-,70-165G-ND,70-165G,Apex Tool Group,PNCH SLD 1/4 BLK,0,0,"12.93000","0","1","-","Active","-","0.25"" (6.4mm)","-","6.00"" (152.4mm)"
-,-,82286-ND,82286,Apex Tool Group,PNCH START 5/16X 7X 5/8,0,0,"13.03000","0","1","*","Active","-","-","-","-"
-,-,70-129G-ND,70-129G,Apex Tool Group,PNCH PIN 7/32 BLK,0,0,"13.42000","0","1","-","Active","Parallel Pin Punch","-","-","7.00"" (177.8mm)"
-,-,82279-ND,82279,Apex Tool Group,PNCH LNG TPR 5/32X 8-1/2X 1/2,0,0,"13.52000","0","1","*","Active","-","-","-","-"
-,-,70-268G-ND,70-268G,Apex Tool Group,PNCH ROLL PIN 3/16 BLK,0,0,"13.56000","0","1","-","Active","-","0.19"" (4.8mm)","-","4.50"" (114.3mm)"
-,-,70-041G-ND,70-041G,Apex Tool Group,PNCH PIN TL STL LNG 1/8 TIP,0,0,"13.75000","0","1","-","Active","Parallel Pin Punch","0.13"" (3.2mm)","-","8.00"" (203.2mm)"
-,-,70-131G-ND,70-131G,Apex Tool Group,PNCH PIN 1/4 BLK,0,0,"13.99000","0","1","-","Active","Parallel Pin Punch","0.25"" (6.4mm)","-","7.00"" (177.8mm)"
-,-,70-120G-ND,70-120G,Apex Tool Group,PNCH PIN TL STL 7/32 TIP,0,0,"14.26000","0","1","-","Active","Parallel Pin Punch","-","-","5.50"" (139.7mm)"
-,-,70-270G-ND,70-270G,Apex Tool Group,PNCH ROLL PIN 7/32 BLK,0,0,"14.40000","0","1","-","Active","-","-","-","5.00"" (127.0mm)"
-,-,70-122G-ND,70-122G,Apex Tool Group,PNCH PIN TL STL 1/4 TIP,0,0,"14.83000","0","1","-","Active","Parallel Pin Punch","0.25"" (6.4mm)","-","5.75"" (146.1mm)"
-,-,70-124G-ND,70-124G,Apex Tool Group,PNCH PIN TL STL 9/32 TIP,0,0,"15.33000","0","1","-","Active","Parallel Pin Punch","-","-","5.75"" (146.1mm)"
-,-,70-042G-ND,70-042G,Apex Tool Group,PNCH PIN TL STL LNG 5/32 TIP,0,0,"15.35000","0","1","-","Active","Parallel Pin Punch","0.16"" (4.0mm)","-","8.00"" (203.2mm)"
-,-,70-272G-ND,70-272G,Apex Tool Group,PNCH ROLL PIN 1/4 BLK,0,0,"16.13000","0","1","-","Active","-","0.25"" (6.4mm)","-","5.50"" (139.7mm)"
-,-,70-043G-ND,70-043G,Apex Tool Group,PNCH PIN TL STL LNG 3/16 TIP,0,0,"16.47000","0","1","-","Active","Parallel Pin Punch","0.19"" (4.8mm)","-","8.00"" (203.2mm)"
-,-,70-126G-ND,70-126G,Apex Tool Group,PNCH PIN TL STL 5/16 TIP,0,0,"16.62000","0","1","-","Active","Parallel Pin Punch","0.31"" (7.9mm)","-","6.00"" (152.4mm)"
-,-,70-133G-ND,70-133G,Apex Tool Group,PNCH PIN 5/16 BLK,0,0,"16.63000","0","1","-","Active","Parallel Pin Punch","0.31"" (7.9mm)","-","7.00"" (177.8mm)"
-,-,70-274G-ND,70-274G,Apex Tool Group,PNCH ROLL PIN 5/16 BLK,0,0,"16.80000","0","1","-","Active","-","0.31"" (7.9mm)","-","6.00"" (152.4mm)"
-,-,82281-ND,82281,Apex Tool Group,PNCH LNG TPR 1/4X 11X 5/8,0,0,"17.28000","0","1","*","Active","-","-","-","-"
-,-,70-276G-ND,70-276G,Apex Tool Group,PNCH ROLL PIN 3/8 BLK,0,0,"17.41000","0","1","-","Active","-","-","-","6.00"" (152.4mm)"
-,-,70-044G-ND,70-044G,Apex Tool Group,PNCH PIN TL STL LNG 7/32 TIP,0,0,"17.90000","0","1","-","Active","Parallel Pin Punch","-","-","8.00"" (203.2mm)"
-,-,70-280G-ND,70-280G,Apex Tool Group,1NCH ROLL PIN 1/2 BLK,0,0,"17.98000","0","1","-","Active","-","0.50"" (12.7mm)","-","6.00"" (152.4mm)"
-,-,82287-ND,82287,Apex Tool Group,PNCH START 3/8X 8X 3/4,0,0,"18.54000","0","1","*","Active","-","-","-","-"
-,-,70-045G-ND,70-045G,Apex Tool Group,PNCH PIN TL STL LNG 1/4 TIP,0,0,"18.56000","0","1","-","Active","Parallel Pin Punch","0.25"" (6.4mm)","-","8.00"" (203.2mm)"
-,-,70-241G-ND,70-241G,Apex Tool Group,PNCH CNTR 5/8 BLK,0,0,"18.62000","0","1","-","Active","Center Punch","-","-","6.25"" (158.8mm)"
-,-,70-128G-ND,70-128G,Apex Tool Group,PNCH PIN TL STL 3/8 TIP,0,0,"19.47000","0","1","-","Active","Parallel Pin Punch","-","-","6.00"" (152.4mm)"
-,-,70-295G-ND,70-295G,Apex Tool Group,PNCH PIN BRS 1/4 X 4 LNGTH,0,0,"19.49000","0","1","-","Active","Brass Punch","0.50"" (12.7mm)","-","4.00"" (101.6mm)"
-,-,70-296G-ND,70-296G,Apex Tool Group,PNCH PIN BRS 3/8 X 6 LNGTH,0,0,"19.96000","0","1","-","Active","Brass Punch","-","-","6.00"" (152.4mm)"
-,-,70-297G-ND,70-297G,Apex Tool Group,PNCH SOLID BRS 1/4 X 6,0,0,"20.01000","0","1","-","Active","Brass Punch","0.25"" (6.4mm)","-","6.00"" (152.4mm)"
