Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Voltage - Supply","Includes","Features"
-,//media.digikey.com/Photos/Desco%20Photos/MFG_35844.jpg,35844-ND,35844,Desco,ELEC VAC PORTABLE 220VAC W/ACC,0,0,"442.35000","0","1","Menda® Hepa Vac","Active","Electronics Vacuum","220VAC","6ft Hose, Detachable Power Cord, HEPA Filter, Nozzles (4)","ESD Safe"
http://documents.desco.com/pdf/TB-4013.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35840.jpg,35840-ND,35840,MENDA/EasyBraid,ELECT VAC PORTABLE 120VAC W/ACC,0,0,"454.43000","0","1","Menda® Blow Vac","Active","Electronics Vacuum","120VAC","4ft Hose, Carrying Strap, Detachable Power Cord, Filter, Nozzle (2)","ESD Safe"
http://documents.desco.com/PDF/TB-4008.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_35848.jpg,35848-ND,35848,Desco,ELECT VAC PORTABLE 220VAC W/ACC,0,0,"485.59000","0","1","Menda® Omega Vac","Active","Electronics Vacuum","220VAC","6ft Hose, Brush, Filter, Nozzle (2)","ESD Safe"
http://documents.desco.com/PDF/TB-4013.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35843.jpg,35843-ND,35843,MENDA/EasyBraid,ELEC VAC PORTABLE 230VAC W/ACC,0,0,"504.26000","0","1","Menda® Blow Vac","Active","Electronics Vacuum","230VAC","4ft Hose, Filter (2), Nozzles (2), Strap","ESD Safe"
http://documents.desco.com/PDF/TB-4013.pdf,-,35842-ND,35842,Desco,ELEC VAC PORTABLE 230VAC W/ACC,0,0,"523.01000","0","1","Menda® Blow Vac","Active","Electronics Vacuum","230VAC","4ft Hose, Filter (2), Nozzles (2), Strap","ESD Safe"
http://documents.desco.com/pdf/TB-4013.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35841.jpg,35841-ND,35841,MENDA/EasyBraid,ELECT VAC PORTABLE 120VAC W/ACC,0,0,"589.60000","0","1","Menda® Blow Vac","Active","Electronics Vacuum","120VAC","4ft Hose, Carrying Strap, Detachable Power Cord, Filter, Nozzle (2)","ESD Safe"
-,"//media.digikey.com/photos/3M%20Photos/SV-497AJM,2.jpg",SCP148-ND,497AJM,SCS,ELECT VAC PORTABLE 120VAC W/ACC,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Electronics Vacuum","120VAC","10ft Hose, Brush, Detachable Power Cord, Filter, Nozzle (2)","ESD Safe"
-,//media.digikey.com/photos/3M%20Photos/SV-497ABF.jpg,SCP288-ND,497ABF,SCS,ELECT VAC PORTABLE 220VAC W/ACC,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Electronics Vacuum","220VAC","10ft Hose, Brush, Detachable Power Cord, Filter, Nozzle (2)","ESD Safe"
http://documents.desco.com/PDF/TB-4004.pdf,-,35851-ND,35851,Desco,ELECT VAC PORTABLE 110VAC W/ACC,0,0,"Obsolete","0","1","Menda® Mega Vac","Obsolete","Electronics Vacuum","110VAC","10ft Hose, Base with Rollers, Brush, Detachable Power Cord, Filter, Foot Switch, Nozzle (2)","ESD Safe"
http://documents.desco.com/PDF/TB-4003.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35846.jpg,35846-ND,35846,MENDA/EasyBraid,ELECT VAC PORTABLE 120VAC W/ACC,0,0,"Obsolete","0","1","Menda®","Obsolete","Electronics Vacuum","120VAC","6ft Hose, Bags (2), Corrugated Shell, Nozzle (2)","ESD Safe"
-,-,SV-497AJM-R-ND,SV-497AJM-R,SCS,ELECTRONICS VACUUM 120VAC W/ACC,0,0,"Obsolete","0","1","-","Obsolete","Electronics Vacuum","120VAC","7 ft Hose, 8 ft Cord, Brush (2), Filter, Nozzles (3)","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/SCS%20PDFs/497_Series_Flyer.pdf,//media.digikey.com/Photos/SCS/MFG_497AJL.jpg,SCP690-ND,497AJL,SCS,ELECTRONICS VACUUM 120VAC W/ACC,0,0,"Obsolete","0","1","-","Obsolete","Electronics Vacuum","120VAC","5 ft Hose, 8 ft Cord, Filter, Strap","ESD Safe"
