Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","For Use With/Related Products"
http://wpc.ac62.edgecastcdn.net/00AC62/documents/datasheets/LITPD242_US_DOC.pdf,-,170-03040-ND,170-03040,HellermannTyton,PORT HNDHLD HOT KNIFE 110V,0,0,"157.91000","0","1","-","Active","Hot Knife, Hand Held","Sleeving"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/170-03039.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_170-03039.jpg,170-03039-ND,170-03039,HellermannTyton,BENCHMOUNT HOT KNIFE 110V,0,0,"329.65000","0","1","-","Active","Hot Knife, Bench Mount","Sleeving"
http://www.essentracomponents.com.sg/images-line/pdfs/CAT.pdf,-,CAT-08-IX-ND,CAT-08-IX,Essentra Components,INSTALLATION TOOL GF NYL BLU 1PC,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-08 Slit Harness Wrap"
http://www.essentracomponents.com.sg/images-line/pdfs/CAT.pdf,-,CAT-15-IX-ND,CAT-15-IX,Essentra Components,INSTALLATION TOOL GF NYL BLU 1PC,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-15 Slit Harness Wrap"
http://www.essentracomponents.com.sg/images-line/pdfs/CAT.pdf,-,CAT-32-IX-ND,CAT-32-IX,Essentra Components,INSTALLATION TOOL GF NYL BLU 1PC,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-32 Slit Harness Wrap"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/CAT-15-PP-BU.jpg,CAT-38-PP-ND,CAT-38-PP,Essentra Components,INSTALLATION TOOL PP ORANGE 1PC,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-38 Slit Harness Wrap"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/CAT-15-PP-BU.jpg,CAT-38-PP-BU-ND,CAT-38-PP-BU,Essentra Components,INSTALLATION TOOL PP ORG 100PC,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-38 Slit Harness Wrap"
-,-,STKP-2-08-ABS-ND,STKP-2-08-ABS,Essentra Components,INSTALLATION TOOL BLUE ABS,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-08 Slit Harness Wrap"
-,-,STKP-2-08-ABS-BU-ND,STKP-2-08-ABS-BU,Essentra Components,INSTALLATION TOOL BLUE ABS,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-08 Slit Harness Wrap"
-,-,STKP-2-08-AL-ND,STKP-2-08-AL,Essentra Components,INSTALLATION TOOL SILVER TOOL,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-08 Slit Harness Wrap"
-,-,STKP-2-08-IX-ND,STKP-2-08-IX,Essentra Components,INSTALLATION TOOL RED G/F,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-08 Slit Harness Wrap"
-,-,STKP-2-15-ABS-ND,STKP-2-15-ABS,Essentra Components,INSTALLATION TOOL BLUE ABS,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-15 Slit Harness Wrap"
-,-,STKP-2-15-ABS-BU-ND,STKP-2-15-ABS-BU,Essentra Components,INSTALLATION TOOL BLUE ABS,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-15 Slit Harness Wrap"
-,-,STKP-2-15-AL-ND,STKP-2-15-AL,Essentra Components,INSTALLATION TOOL SILVER TOOL,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-15 Slit Harness Wrap"
-,-,STKP-2-15-IX-ND,STKP-2-15-IX,Essentra Components,INSTALLATION TOOL RED G/F,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-15 Slit Harness Wrap"
-,-,STKP-2-20-ABS-ND,STKP-2-20-ABS,Essentra Components,INSTALLATION TOOL BLUE ABS,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-20 Slit Harness Wrap"
-,-,STKP-2-20-ABS-BU-ND,STKP-2-20-ABS-BU,Essentra Components,INSTALLATION TOOL BLUE ABS,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-20 Slit Harness Wrap"
-,-,STKP-2-20-AL-ND,STKP-2-20-AL,Essentra Components,INSTALLATION TOOL SILVER TOOL,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-20 Slit Harness Wrap"
-,-,STKP-2-20-IX-ND,STKP-2-20-IX,Essentra Components,INSTALLATION TOOL RED G/F,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-20 Slit Harness Wrap"
-,-,STKP-2-25-ABS-ND,STKP-2-25-ABS,Essentra Components,INSTALLATION TOOL BLUE ABS,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-25 Slit Harness Wrap"
-,-,STKP-2-25-ABS-BU-ND,STKP-2-25-ABS-BU,Essentra Components,INSTALLATION TOOL BLUE ABS,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-25 Slit Harness Wrap"
-,-,STKP-2-25-AL-ND,STKP-2-25-AL,Essentra Components,INSTALLATION TOOL SILVER TOOL,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-25 Slit Harness Wrap"
-,-,STKP-2-25-IX-ND,STKP-2-25-IX,Essentra Components,INSTALLATION TOOL RED G/F,0,0,"Obsolete","0","1","-","Obsolete","Installation Tool","SHR-25 Slit Harness Wrap"
