Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shape","Cut Edge","Length - Overall","Features"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Cutting_Tools.pdf,//media.digikey.com/Photos/Weidmuller/MFG_9002660000.jpg,281-5045-ND,9002660000,Weidmüller,CUTTER CABLE OVAL CROSSING 8.47"",4,11,"61.80000","0","1","K12","Active","Cable","Oval","-","8.46"" (215.0mm)","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D227-7C.jpg,D227-7C-ND,D227-7C,"Klein Tools, Inc.",CUTTER SIDE OVAL FLUSH 7.69"",2,0,"62.87000","0","1","-","Active","Side (Diagonal)","Oval","Flush","7.69"" (195.3mm)","Adjustable, Non-Slip, Soft Grips"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_KnivesCuttingTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_23010.jpg,23010KT-ND,23010,"Klein Tools, Inc.",SHEARS OFFSET HANDLE,2,0,"66.18000","0","1","-","Active","-","-","-","-","Chrome Finish, Offset Handle"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_KnivesCuttingTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_23015.jpg,23015-ND,23015,"Klein Tools, Inc.",SHEARS OFFSET HANDLE,2,0,"67.29000","0","1","-","Active","-","-","-","-","Chrome Finish, Offset Handle, Serrated"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_InsulatedTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D228-8-INS.jpg,D228-8-INS-ND,D228-8-INS,"Klein Tools, Inc.",CUTTER SIDE TAPERED BEVEL 8.25"",2,0,"69.51000","0","1","-","Active","Side (Diagonal)","Tapered","Bevel","8.25"" (209.6mm)","High Leverage, Impact Resistant, Insulated to 1000V, Soft Grips"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_InsulatedTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D2000-28-INS.jpg,D2000-28-INS-ND,D2000-28-INS,"Klein Tools, Inc.",CUTTER SIDE TAPERED BEVEL 8.25"",1,0,"73.29000","0","1","2000","Active","Side (Diagonal)","Tapered","Bevel","8.25"" (209.6mm)","High Leverage, Impact Resistant, Insulated to 1000V, Soft Grips"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_KnivesCuttingTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_23011.jpg,23011KT-ND,23011,"Klein Tools, Inc.",SHEARS OFFSET HANDLE,2,0,"75.02000","0","1","-","Active","-","-","-","-","Chrome Finish, Offset Handle"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_InsulatedTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D248-8-INS.jpg,D248-8-INS-ND,D248-8-INS,"Klein Tools, Inc.",CUTTER SIDE ANGLED BEVEL 8.25"",2,0,"75.46000","0","1","-","Active","Side (Diagonal)","Angled","Bevel","8.25"" (209.6mm)","High Leverage, Impact Resistant, Insulated to 1000V, Soft Grips"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_2422EA.jpg,2422EA-ND,2422EA,Apex Tool Group,CUTTER SIDE TPRD FULL FLUSH 5"",2,0,"76.00000","0","1","Erem®","Active","Side (Diagonal)","Tapered","Full Flush","5.00"" (127.0mm)","Ergonomic"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_InsulatedTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D220-7-INS.jpg,D220-7-INS-ND,D220-7-INS,"Klein Tools, Inc.",CUTTER SIDE TAPERED BEVEL 7.88"",2,0,"80.75000","0","1","-","Active","Side (Diagonal)","Tapered","Bevel","7.88"" (200.2mm)","High Leverage, Impact Resistant, Insulated to 1000V, Soft Grips"
http://www.swanstromtools.com/Swanstrom_MSeries_2_page.pdf,//media.digikey.com/photos/Swanstrom%20Photos/MFG_M407EC.jpg,232-1047-ND,M407EC,Swanstrom Tools USA,CUTTER SIDE TPRD FULL FLUSH 5.6"",0,0,"186.76000","0","1","M","Active","Side (Diagonal)","Tapered, Relieved","Full Flush","5.60"" (142.2mm)","Carbide Blades, Ergonomic, ESD Safe, Soft Grips"
http://www.jonard.com/~/media/AAA27F6D2F114F13A4181F8E692B2887.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_JIC-2755.jpg,JIC-2755-ND,JIC-2755,Jonard Tools,CUTTER SIDE TAPERED FLUSH 5.00"",0,0,"10.70600","0","10","JIC","Active","Side (Diagonal)","Tapered","Flush","5.00"" (127.0mm)","Soft Grips"
-,//media.digikey.com/Photos/Swanstrom%20Photos/1055ESD.jpg,232-1225-ND,1055ESD,Swanstrom Tools USA,SHEAR TAPERED MICRO MIDSIZE ESD,11,0,"10.74000","0","1","*","Active","-","-","-","-","-"
-,//media.digikey.com/Photos/Swanstrom%20Photos/1055.jpg,232-1219-ND,1055,Swanstrom Tools USA,SHEAR TAPERED MICRO MIDSIZE,7,0,"10.74000","0","1","*","Active","-","-","-","-","-"
-,-,1691-1391-ND,TR-25-P,"American Hakko Products, Inc.",MICRO CUTTER NIPPER 18AWG FLUSH,6,0,"11.07000","0","1","CHP","Active","Side (Diagonal)","Angled, 21°","Flush","-","ESD Safe"
-,-,1691-1385-ND,TR-20-M-A,"American Hakko Products, Inc.",MICRO CUTTER NIPPER 20AWG FLUSH,15,0,"11.17000","0","1","CHP","Active","Side (Diagonal)","Angled","-","-","Safety Clips"
-,-,1691-1390-ND,TR-25-L-25,"American Hakko Products, Inc.",MICRO CUTTER ANGLED 20AWG FLUSH,15,0,"12.97000","0","1","CHP","Active","Side (Diagonal)","-","Flush","-","ESD Safe"
https://www.jonard.com/~/media/B1E37B1F369948A8AD67F7E57E15A403.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_JIC-453.jpg,JIC-453-ND,JIC-453,Jonard Tools,CUTTER SIDE TPRD SEMI FLUSH 4.5"",0,0,"13.53400","0","10","JIC","Active","Side (Diagonal)","Tapered","Semi Flush","4.50"" (114.3mm)","Soft Grips"
-,-,1691-1400-ND,TR-30-D,"American Hakko Products, Inc.",MEDIUM CUTTER 16AWG FLUSH CUT DI,9,0,"13.87000","0","1","CHP","Active","Side (Diagonal)","Tapered","-","-","ESD Safe"
-,-,1691-1384-ND,TR-20-M-D,"American Hakko Products, Inc.",MICRO CUTTER NIPPER 20AWG DISSIP,11,0,"13.97000","0","1","CHP","Active","Side (Diagonal)","Angled, 21°","Flush","-","ESD Safe, Safety Clips"
-,-,1691-1386-ND,TR-20-50-M-D,"American Hakko Products, Inc.",MICRO CUTTER ANGLED 22AWG DISSIP,15,0,"14.07000","0","1","CHP","Active","Side (Diagonal)","Angled, 48°","Flush","-","ESD Safe"
-,-,1691-1402-ND,TR-30-58-R,"American Hakko Products, Inc.",MEDIUM CUTTER 14AWG FLUSH CUT,18,0,"14.17000","0","1","CHP","Active","Side (Diagonal)","Angled, 21°","Flush","-","ESD Safe"
-,-,1691-1404-ND,TR-58-R,"American Hakko Products, Inc.",MEDIUM CUTTER 12AWG FLUSH CUT,12,0,"14.17000","0","1","CHP","Active","Side (Diagonal)","Angled, 21°","Flush","-","ESD Safe"
-,-,2128-8350-7-ND,1829017,"Gedore Tools, Inc.",MINIATURE ELECTRONIC SIDE CUTTER,0,0,"14.74000","0","1","*","Active","-","-","-","-","-"
-,-,1691-1401-ND,TR-30-58,"American Hakko Products, Inc.",MEDIUM CUTTER 14AWG CHAMFERED CU,15,0,"14.77000","0","1","CHP","Active","Side (Diagonal)","Angled, 21°","-","-","ESD Safe"
-,-,1691-1403-ND,TR-58,"American Hakko Products, Inc.",MEDIUM CUTTER 12AWG CHAMFERED CU,12,0,"14.77000","0","1","CHP","Active","Side (Diagonal)","Angled, 21°","-","-","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/10501.pdf,//media.digikey.com/Photos/Aven%20Photos/10501.jpg,243-1442-ND,10501,Aven Tools,CUTTER SIDE TPRD SEMIFLUSH 4.95"",12,0,"14.91000","0","1","5000","Active","Side (Diagonal)","Tapered","Semi Flush","4.95"" (126.0mm)","Ergonomic, ESD Safe"
https://www.jonard.com/~/media/58F742995FA94B17A1D786D5C7D003D1.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_DIAGB5.jpg,DIAGB5-ND,DIAGB5,Jonard Tools,CUTTER SIDE OVAL 5.13"",0,0,"15.75600","0","10","-","Active","Side (Diagonal)","Oval","-","5.13"" (130.2mm)","Soft Grips"
https://www.jonard.com/~/media/A41E6E00CF0C444180BA11E5B43828A0.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_JIC-625.jpg,JIC-625-ND,JIC-625,Jonard Tools,COPPER COAX AND NETWORK CABLE CU,0,0,"17.01900","0","10","JIC","Active","Cable","Oval","-","6.50"" (165.1mm)","-"
http://www.jonard.com/~/media/B2DE23A14C134327AC8BE39F1AC12D10.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_DIAGB6.jpg,DIAGB6-ND,DIAGB6,Jonard Tools,CUTTER SIDE OVAL BEVEL 6.25"",0,0,"17.57400","0","10","-","Active","Side (Diagonal)","Oval","Bevel","6.25"" (158.8mm)","Notched Blades, Soft Grips"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/10328.pdf,//media.digikey.com/Photos/Aven%20Photos/10328.jpg,243-1434-ND,10328,Aven Tools,CUTTER TIP STRT SEMI FLUSH 4.5"",17,0,"17.60000","0","1","-","Active","Tip (End)","Straight","Semi Flush","4.50"" (114.3mm)","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/10321.pdf,//media.digikey.com/Photos/Aven%20Photos/10321.jpg,243-1433-ND,10321,Aven Tools,CUTTER SIDE OVAL SEM-FLSH 4.5"",13,0,"17.60000","0","1","-","Active","Side (Diagonal)","Oval","Semi Flush","4.50"" (114.3mm)","ESD Safe"
https://www.jonard.com/~/media/0DEDAE2E2ED74949BDFD7D7A36508C0D.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_JIC-2488.jpg,JIC-2488-ND,JIC-2488,Jonard Tools,CUTTER SIDE OVAL 8.00"",0,0,"17.82700","0","10","JIC","Active","Side (Diagonal)","Oval","-","8.00"" (203.2mm)","High Leverage, Soft Grips"
https://www.jonard.com/~/media/66EA313AF9AA46F682C4A5CE925D2A6F.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_DIABVNOTCH.jpg,DIABVNOTCH-ND,DIABVNOTCH,Jonard Tools,CUTTER SIDE OVAL 5.13"",0,0,"18.43300","0","10","-","Active","Side (Diagonal)","Oval","-","5.13"" (130.2mm)","Notched Blades, Soft Grips"
http://www.avenconnect.com/product_sheets/Stealth%20Cutters_Product_Sheet_v1.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_10928F.jpg,243-1331-ND,10928F,Aven Tools,CUTTER MINI TAPERED HEAD FLUSH,3,0,"18.83000","0","1","Stealth Cut","Active","Side (Diagonal)","Tapered","Full Flush","-","-"
https://www.jonard.com/~/media/FE1BDAE42BD848EAAAB7532B47C4370F.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/MFG_JIC-683.jpg,JIC-683-ND,JIC-683,Jonard Tools,CUTTER SIDE OVAL 9.50"",0,0,"18.93800","0","5","JIC","Active","Side (Diagonal)","Oval","-","9.50"" (241.3mm)","High Leverage, Soft Grips"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_55NCGBK.jpg,55NCGBK-ND,55NCGBK,Apex Tool Group,CUTTER SIDE OVAL BEVEL 5"",0,0,"19.30007","0","144","Xcelite®","Active","Side (Diagonal)","Oval","Bevel","5.00"" (127.0mm)","-"
https://cdn.wihatoolsus.com/pdfs/WihaPliersCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32620.jpg,431-32620-ND,32620,Wiha,CUTTERS ANGLE 8"" SOFT GRIP,19,0,"19.96000","0","1","-","Active","Side (Diagonal)","-","-","8.00"" (203.2mm)","High Leverage, Soft Grips"
-,-,2128-8350-2-ND,1828967,"Gedore Tools, Inc.",MINIATURE ELECTRONIC SIDE CUTTER,0,0,"20.50000","0","1","*","Active","-","-","-","-","-"
-,-,2128-8350-6-ND,1829009,"Gedore Tools, Inc.",MINIATURE ELECTRONIC SIDE CUTTER,0,0,"20.50000","0","1","*","Active","-","-","-","-","-"
-,//media.digikey.com/Photos/Swanstrom%20Photos/X2175.jpg,232-1230-ND,X2175,Swanstrom Tools USA,MACROSHEAR MIDSIZE FLAT SPRING,3,0,"20.70000","0","1","*","Active","-","-","-","-","-"
-,-,2128-8350-5-ND,1828991,"Gedore Tools, Inc.",MINIATURE ELECTRONIC DIAGONAL EN,0,0,"20.74000","0","1","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Vinyl%20Grip%20Pliers%20&%20Cutters%20p119.pdf,//media.digikey.com/Photos/Wiha/MFG_32642.jpg,32642-ND,32642,Wiha,CUTTER SIDE OVAL FLUSH 6.3"",0,0,"20.96000","0","1","-","Active","Side (Diagonal)","Oval","Flush","6.30"" (160.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1212807.pdf,-,1212807-ND,1212807,Phoenix Contact,CUTTER SIDE TAPERED 5.43"",0,0,"21.13667","0","6","Microfox","Active","Side (Diagonal)","Tapered","-","5.43"" (138.0mm)","Ergonomic, Non-Slip"
-,-,TS55NKS-ND,TS55NKS,Apex Tool Group,CUTTER SIDE OVAL SEMI FLUSH 5"",0,0,"21.50000","0","1","Xcelite®","Active","Side (Diagonal)","Oval","Semi Flush","5.00"" (127.0mm)","ESD Safe, Soft Grips"
-,-,2128-8350-9-ND,1829033,"Gedore Tools, Inc.",MINIATURE ELECTRONIC SIDE CUTTER,0,0,"21.60000","0","1","*","Active","-","-","-","-","-"
http://www.avenconnect.com/product_sheets/Accu-Cut%202016%20v7_no%20marks.pdf,//media.digikey.com/Photos/Aven%20Photos/10829S.jpg,243-1443-ND,10829S,Aven Tools,CUTTER SIDE ANGL 16DEG SEMIFLUSH,1,0,"21.76000","0","1","Accu-Cut","Active","Side (Diagonal)","Angled, 16°","Semi Flush","5.51"" (140.0mm)","Ergonomic, ESD Safe, Soft Grips"
-,-,TS55N-ND,TS55N,Apex Tool Group,CUTTER SIDE OVAL BEVEL 5"",0,0,"22.20000","0","1","Xcelite®","Active","Side (Diagonal)","Oval","Bevel","5.00"" (127.0mm)","ESD Safe, Soft Grips"
https://www.jonard.com/~/media/7B82035231254CE4A7F15A25452ECE4F.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/MFG_JIC-7858.jpg,JIC-7858-ND,JIC-7858,Jonard Tools,CUTTER SIDE OVAL BEVEL 6.25"",0,0,"22.37200","0","10","JIC","Active","Side (Diagonal)","Oval","Bevel","6.25"" (158.8mm)","Notched Blades, Soft Grips"
http://www.jonard.com/~/media/AD549F2DFF234203B42BD28F8DE0FF0F.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_JIC-750.jpg,JIC-750-ND,JIC-750,Jonard Tools,CUTTER CABLE RND CROSSING 8.75"",0,0,"22.37200","0","5","JIC","Active","Cable","Circular","-","8.75"" (222.3mm)","Soft Grips"
-,-,TS54N-ND,TS54N,Apex Tool Group,CUTTER SIDE OVAL BEVEL 4.5"",0,0,"22.70000","0","1","Xcelite®","Active","Side (Diagonal)","Oval","Bevel","4.50"" (114.3mm)","ESD Safe, Soft Grips"
-,-,2128-8350-3-ND,1828975,"Gedore Tools, Inc.",MINIATURE ELECTRONIC SIDE CUTTER,0,0,"22.84000","0","1","*","Active","-","-","-","-","-"
-,-,72-S475JSNN-ND,S475JSNN,Apex Tool Group,CUTTER HAND HELD,0,0,"22.95000","0","6","Xcelite®","Active","Side (Diagonal)","Tapered","Flush","5.00"" (127.0mm)","-"
https://www.jonard.com/~/media/8EA23C6B2C0C40C4902CCA284E7FEFDC.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_JIC-63020.jpg,JIC-63020-ND,JIC-63020,Jonard Tools,9"" CURVED JAW CABLE CUTTER,0,0,"22.97800","0","5","JIC","Active","Cable","Oval","Shear","9.00"" (228.6mm)","Lock Plate"
-,-,TS54NKS-ND,TS54NKS,Apex Tool Group,CUTTER SIDE OVAL SEMIFLUSH 4.5"",0,0,"23.30000","0","1","Xcelite®","Active","Side (Diagonal)","Oval","Semi Flush","4.50"" (114.3mm)","ESD Safe, Soft Grips"
