Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Type","Range of Values","Drive Size","Includes","Features","Quantity"
https://cdn.wihatoolsus.com/pdfs/WihaBitsCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_71394.jpg,431-2026-ND,71394,Wiha,SOCKET SET HEX 3/8"" 5PC,3,0,"30.70000","0","1","-","Active","Socket Set","Hex","4mm ~ 10mm","3/8""","Storage Rail","Replaceable Bits","5 Pieces"
-,-,CSAS6N-ND,CSAS6N,Apex Tool Group,"SOCKET SET,9PC,3/8"" DRIVE,6PT,DE",0,0,"30.73000","0","1","-","Active","Socket Set","6 Point Socket","-","3/8""","-","-","9 Pieces"
-,-,CSAS7N-ND,CSAS7N,Apex Tool Group,"SOCKET SET,9PC,3/8"" DRIVE,6PT,DE",0,0,"30.73000","0","1","-","Active","Socket Set","6 Point Socket","-","3/8""","-","-","9 Pieces"
-,-,80945-ND,80945,Apex Tool Group,SET SKT 3/8DR 14MM 5PC,0,0,"31.01000","0","1","-","Not For New Designs","Socket Set","6 Point Socket","-","3/4""","-","-","5 Pieces"
-,-,81003-ND,81003,Apex Tool Group,SET EXT STD 1/4DR 3PC,0,0,"31.97000","0","1","-","Active","Socket Set","-","-","1/4""","-","-","3 Pieces"
-,-,431-71389-ND,71389,Wiha,HEX METRIC SOCKET 7 PC. SET 1/4"",3,0,"33.18000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,CIMS3-ND,CIMS3,Apex Tool Group,"8 PC,1/2"" DRIVE IMP SOCKET SET,D",0,0,"35.33000","0","1","-","Not For New Designs","-","-","-","-","-","-","-"
-,-,CIMS0-ND,CIMS0,Apex Tool Group,"8 PC,1/2"" DRIVE IMPACT SOCKET SE",0,0,"36.02000","0","12","-","Not For New Designs","Socket Set","6 Point Socket","-","1/2""","-","-","-"
-,-,CSAS3-ND,CSAS3,Apex Tool Group,"8 PC,1/2"" DRIVE SOCKET SET,DEEP,",0,0,"36.02000","0","1","-","Not For New Designs","Socket Set","6 Point Socket","-","1/2""","-","-","-"
-,-,81149-ND,81149,Apex Tool Group,SET BIT DRIVER SAE HEX 1/4 DR 9P,0,0,"36.88000","0","20","-","Active","Socket Set","Hex","-","1/4""","-","-","9 Pieces"
