Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","End - Size","Features","Length"
-,-,86431-ND,86431,Apex Tool Group,WR RAT COMB 120XP 1/4"",0,0,"25.68000","0","1","-","Active","Combination, Ratcheting","1/4""","Polished Chrome Finish","5.31"" (134.9mm)"
-,-,81890-ND,81890,Apex Tool Group,WR ADJ CUSH GRIP 6,0,0,"25.74000","0","6","-","Active","Adjustable","-","Polished Chrome Finish, Soft Grip","6.00"" (152.4mm)"
-,-,AT28CVS-ND,AT28CVS,Apex Tool Group,"ADJ WRENCH,8"",BLACK,CUSH GRIP,CA",0,0,"25.76000","0","3","-","Active","Adjustable","-","Black Oxide Finish, Soft Grip","8.00"" (203.2mm)"
-,-,AC28CBK-ND,AC28CBK,Apex Tool Group,"WRENCH,CHROME,ADJ,CUSHION GRIP,8",0,0,"25.81000","0","6","-","Active","Adjustable","-","Chrome Finish, Soft Grip","8.00"" (203.2mm)"
-,-,9521ND-ND,9521ND,Apex Tool Group,WR RAT COMB REV 11/32,0,0,"25.84000","0","1","-","Active","Combination, Ratcheting","11/32""","Angled 15°","5.80"" (147.3mm)"
-,-,86407-ND,86407,Apex Tool Group,WR RAT COMB 120XP 7MM,0,0,"25.96000","0","1","-","Active","Combination, Ratcheting","7mm","Polished Chrome Finish","5.91"" (150.0mm)"
-,-,AC24VS-ND,AC24VS,Apex Tool Group,"ADJUSTABLE WRENCH,4"",CHROME,CARD",0,0,"25.96000","0","3","-","Active","Adjustable","-","Chrome Finish","4.00"" (101.6mm)"
-,-,54-590G-ND,54-590G,Apex Tool Group,WR RAT BX 6PT 9 X 10MM,0,0,"25.96000","0","1","-","Active","Box End, Ratcheting","-","-","5.50"" (139.7mm)"
-,-,27-588G-ND,27-588G,Apex Tool Group,WR RAT BX 12PT 1/4X5/16,0,0,"25.98000","0","1","-","Active","Box End, Ratcheting","1/4"" x 5/16""","-","-"
-,-,9526ND-ND,9526ND,Apex Tool Group,WR RAT COMB REV 3/8,0,0,"26.00000","0","1","-","Active","Combination, Ratcheting","3/8""","Angled 15°","6.17"" (156.7mm)"
