Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Tip - Type","Tip - Shape","Jaw - Type","Features","Length"
http://www.weller.com.pl/public/assets/Weller_2014_en.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/2411PD.JPG,2411PD-ND,2411PD,Apex Tool Group,PLIERS ELEC NEEDLE NOSE 5"",24,0,"80.00000","0","1","Erem®, Magic Spring®","Active","Electronics","Needle Nose","Straight","Serrated","Ergonomic, Soft Grips","5.00"" (127.0mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/10600A.jpg,243-1264-ND,10600A,Aven Tools,PLIERS SET ASSORTED ASSORTED 6PC,25,0,"101.83000","0","1","-","Active","Pliers Set","Assorted","Assorted","-","Set of 6, ESD Safe, Includes Cutter, Includes Pouch","Assorted"
http://content.yudu.com/web/2i025/0A2sznz/HakkoProducts2017/flash/resources/index.htm,//media.digikey.com/Photos/Hakko/MFG_PN-2007.jpg,1691-1285-ND,PN-2007,"American Hakko Products, Inc.","PLIER,LONG FLAT NOSE,SERRATED",100,0,"9.97000","0","1","-","Active","Standard","Long Nose","Straight","Serrated","-","-"
http://content.yudu.com/web/2i025/0A2sznz/HakkoProducts2017/flash/resources/index.htm,//media.digikey.com/Photos/Hakko/MFG_PN-2008.jpg,1691-1292-ND,PN-2008,"American Hakko Products, Inc.","PLIER, LONG, FLAT NOSE, SMOOTH",29,0,"9.97000","0","1","-","Active","Standard","Long Nose","Straight","Smooth","-","-"
http://content.yudu.com/web/2i025/0A2sznz/HakkoProducts2017/flash/resources/index.htm,//media.digikey.com/Photos/Hakko/MFG_PN-2005.jpg,1691-1284-ND,PN-2005,"American Hakko Products, Inc.","PLIER,LONG NOSE,SERRATED",26,0,"11.07000","0","1","-","Active","Standard","Long Nose","Straight","Serrated","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/10304.pdf,//media.digikey.com/Photos/Aven%20Photos/10304.jpg,243-1255-ND,10304,Aven Tools,PLIERS ELEC FLAT NOSE 5"",26,0,"16.73000","0","1","Technik","Active","Electronics","Flat Nose","Straight","Smooth","ESD Safe, Includes Cutter, Soft Grips","5.00"" (127.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/10335.pdf,//media.digikey.com/Photos/Aven%20Photos/10335.jpg,243-1259-ND,10335,Aven Tools,PLIERS ELEC FLAT NOSE 6"",70,0,"17.23000","0","1","Technik","Active","Electronics","Flat Nose","Straight","Smooth","ESD Safe, Includes Cutter, Soft Grips","6.00"" (152.4mm)"
http://www.avenconnect.com/product_sheets/StealthPliers_Product_Sheet_print_np.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_10845.jpg,243-1305-ND,10845,Aven Tools,PLIERS ELECTRONIC NEEDLE NOSE 5"",12,0,"18.83000","0","1","Stealth","Active","Electronics","Needle Nose","Straight","Smooth","Ergonomic, ESD Safe, Soft Grips","5.00"" (127.0mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/VDVConnectors.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV026-049.JPG,1742-1096-ND,VDV026-049,"Klein Tools, Inc.",PLIERS COMBO FLAT NOSE 6.81"",37,0,"22.66000","0","1","-","Active","Combination","Flat Nose","Straight","Serrated","Includes Crimper, Includes Stripper, Soft Grips","6.81"" (173.0mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/10360-ER.jpg,243-1260-ND,10360-ER,Aven Tools,PLIERS STANDARD LONG NOSE 6.0"",35,0,"22.70000","0","1","-","Active","Standard","Long Nose","Straight","Serrated","Ergonomic, Includes Cutter, Soft Grips","6.00"" (152.4mm)"
