Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications","Current Rating (Amps)","Color","Voltage - Rated"
http://www.memoryprotectiondevices.com/datasheets/ZA1010-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA1010.jpg,ZA1010-ND,ZA1010,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 3A BLACK,3288,1000,"2.76000","0","1","-","Active","Auto Power Plug","Phenolic, Fused, Strain Relief","3A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/APP-001-GRN-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_APP-001-GRN.jpg,APP-001-GRN-ND,APP-001-GRN,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 3A W/LED BLACK,1213,0,"4.30000","0","1","-","Active","Auto Power Plug","Fused, LED Indicator, PBT, Strain Relief","3A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AS212-C-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/AS212C.jpg,AS212C-ND,AS212C,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V 20A BLACK,2227,0,"7.54000","0","1","-","Active","Auto Power Socket","Lockable, Nylon, Vibration and Weather Resistant","20A","Black","12V"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/CNC-SAE-16-046-004_Dwg.pdf,//media.digikey.com/Photos/CnC%20Tech/CNC-SAE-16-046-004.jpg,1175-1722-ND,CNC-SAE-16-046-004,CNC Tech,AUTO CBL ASSY W/SKT 12V 5A 1.5',153,0,"12.10000","0","1","-","Active","Cable, Auto Power Socket to 2 SAE Pin Connector","1.5' (460.0mm) Cord, PVC","5A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5072-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA5072.jpg,ZA5072-ND,ZA5072,MPD (Memory Protection Devices),AUTO CBL ASSY W/SKT 12V 10A LED,3073,300,"12.48000","0","1","-","Active","Cable, Auto Power Plug to Dual Auto Power Sockets","8"" (203mm) Cord, ABS, Fused, LED Indicator","10A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5074-B-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/ZA5074-B.jpg,ZA5074-B-ND,ZA5074-B,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 5A W/LED,930,300,"15.94000","0","1","-","Active","Cable, Auto Power Plug to Wire Leads","12' (3.65m) Coiled Cord, ABS, Fused, LED Indicator","5A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/BK-6048-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BK-6048.jpg,BK-6048-ND,BK-6048,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 3A W/LED,1239,0,"20.18000","0","1","-","Active","Cable, Auto Power Plug to 2.5mm DC Plug","13' (3.96m) Cord, Fused, LED Indicator","3A","-","12V"
http://www.memoryprotectiondevices.com/datasheets/AP-129-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/AP-129.jpg,AP-129-ND,AP-129,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 2A W/LED BLACK,195,1100,"4.74000","0","1","-","Active","Auto Power Plug","ABS, European, Fused, LED Indicator","2A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA2060-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA2060.jpg,ZA2060-ND,ZA2060,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V 10A,1521,0,"5.20000","0","1","-","Active","Auto Power Socket","Phenolic Insulation, Lockable","10A","-","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5070-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA5070.jpg,ZA5070-ND,ZA5070,MPD (Memory Protection Devices),AUTO CBL ASSY W/SKT 12V 5A W/LED,114,500,"13.04000","0","1","-","Active","Cable, Auto Power Plug to Auto Power Socket","12' (3.65m) Coiled Cord, ABS, Fused, LED Indicator","5A","Black","12V"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/CNC-SAE-16-046-003_Dwg.pdf,//media.digikey.com/Photos/CnC%20Tech/CNC-SAE-16-046-003.jpg,1175-1721-ND,CNC-SAE-16-046-003,CNC Tech,AUTO CBL ASSY W/PLUG 12V 5A 1.5',221,0,"14.74000","0","1","-","Active","Cable, Auto Power Plug to 2 SAE Pin Connector","1.5' (460.0mm) Cord, PVC","5A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5076-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA5076.jpg,ZA5076-ND,ZA5076,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 2A W/LED,185,100,"9.09000","0","1","-","Active","Cable, Auto Power Plug to Battery Clips","1' (304.8mm) Cord, ABS, Fused, LED Indicator","2A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AS-210-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_AS-210.jpg,AS-210MPD-ND,AS-210,MPD (Memory Protection Devices),PANEL MOUNT DIN SOCKET ANTI-SPLA,594,400,"8.31000","0","1","-","Active","Auto Power Socket","Aluminum, Dust Proof","15A","-","12V"
-,-,BK-6142-ND,BK-6142,MPD (Memory Protection Devices),10AMP AUTO PLUG AP-121 MODIFIED,1000,0,"9.17000","0","1","-","Active","-","-","-","-","-"
http://www.memoryprotectiondevices.com/datasheets/AP-131-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/AP-131.jpg,AP-131-ND,AP-131,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 2A BLACK,697,0,"3.14000","0","1","-","Active","Auto Power Plug","ABS, CE Listed, Fused","2A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5036-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA5036.jpg,ZA5036-ND,ZA5036,MPD (Memory Protection Devices),AUTO CBL ASSY/PLG 12V 10A 15.75"",170,300,"3.75000","0","1","-","Active","Cable, Auto Power Plug to 1.3mm DC Plug","15.75"" (400mm) Cord, Phenolic, Fused","10A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/APP-004-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/APP-004.jpg,APP-004-ND,APP-004,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 3A GRAY,270,2200,"3.92000","0","1","-","Active","Auto Power Plug","ABS, Fused, Strain Relief","3A","Gray","12V"
http://www.memoryprotectiondevices.com/datasheets/APP-002-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/APP-002.jpg,APP-002-ND,APP-002,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 3A W/LED GRAY,807,700,"4.30000","0","1","-","Active","Auto Power Plug","ABS, Fused, LED Indicator, Strain Relief","3A","Gray","12V"
