Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Chemistry","Battery Cell Size","Voltage - Rated","Capacity","Size / Dimension","Termination Style"
http://data.energizer.com/pdfs/377-376Z.pdf,//media.digikey.com/photos/Energizer%20Photos/377-376TS.jpg,377-376VZ-ND,377-376VZ,Energizer Battery Company,BATT SLVR OX 1.55V BUTTON 6.8MM,0,0,"0.33350","0","1000","377/376","Active","Silver Oxide","Coin, 6.8mm","1.55V","24mAh","0.27"" Dia x 0.10"" H (6.8mm x 2.6mm)","Requires Holder"
https://na.industrial.panasonic.com/sites/default/pidsa/files/lr03xwa-datatsheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/LR03XWA%5EB.JPG,LR03XWA/C-ND,LR03XWA/C,Panasonic - BSG,BATTERY ALKALINE 1.5V AAA,0,0,"0.34160","0","144","LR03","Active","Alkaline Manganese Dioxide","AAA","1.5V","-","0.41"" Dia x 1.75"" H (10.5mm x 44.5mm)","Button Top (Extending)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/lr6xwa-datasheet.pdf,-,LR6XWA/C-ND,LR6XWA/C,Panasonic - BSG,BATTERY ALKALINE 1.5V AA,0,0,"0.35958","0","144","LR6XWA","Active","Alkaline Manganese Dioxide","AA","1.5V","-","0.57"" Dia x 1.99"" H (14.5mm x 50.5mm)","Button Top (Extending)"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Batteries%20PDFS/6F22NW1SK.pdf,//media.digikey.com/photos/Panasonic%20Photos/P113.jpg,UM-1NPA/BB-ND,UM-1NPA/BB,Panasonic - BSG,BATTERY ZINC 1.5V D,0,0,"0.40886","0","140","UM-1NPA","Active","Zinc Carbon","D","1.5V","-","1.34"" Dia x 2.42"" H (34.0mm x 61.5mm)","Button Top (Extending)"
http://data.energizer.com/pdfs/392-384Z.pdf,//media.digikey.com/photos/Energizer%20Photos/392-384TS.jpg,392-384VZ-ND,392-384VZ,Energizer Battery Company,BATT SLVR OX 1.55V BUTTON 7.9MM,0,0,"0.43500","0","1000","392/384","Active","Silver Oxide","Coin, 7.9mm","1.55V","44mAh","0.31"" Dia x 0.14"" H (7.9mm x 3.6mm)","Requires Holder"
-,//media.digikey.com/photos/Panasonic%20Photos/P113.jpg,UM-1NPA/B-ND,UM-1NPA/B,Panasonic - BSG,BATTERY ZINC 1.5V D,0,0,"0.47743","0","288","UM-1NPA","Active","Zinc Carbon","D","1.5V","-","1.34"" Dia x 2.42"" H (34.0mm x 61.5mm)","Button Top (Extending)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-cr2025-datasheet.pdf,-,CR-2025L/1FN-ND,CR-2025L/1FN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.51550","0","600","CR2025","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","165mAh","0.78"" Dia x 0.09"" H (19.7mm x 2.5mm)","-"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,-,CR-2032L/1FN-ND,CR-2032L/1FN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.51550","0","600","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.79"" Dia x 0.13"" H (20.0mm x 3.2mm)","-"
http://data.energizer.com/pdfs/1235.pdf,//media.digikey.com/photos/Energizer%20Photos/1235.jpg,N114-ND,1235,Energizer Battery Company,BATTERY ZINC 1.5V C,0,0,"0.54563","0","192","Eveready®","Active","Zinc Carbon","C","1.5V","3.8Ah","1.03"" Dia x 1.97"" H (26.2mm x 50.0mm)","Button Top (Extending)"
-,-,S-006PNPA/B-ND,S-006PNPA/B,Panasonic - BSG,BATTERY ZINC 9V,0,0,"0.58662","0","210","-","Active","Zinc Carbon","9V","9V","-","-","9 Volt Snap Fasteners"
//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/SR516SW_DS.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/SR512_5.8mmx1.3mm.JPG,SR516SW-5SE-ND,SR516SW-5SE,Seiko Instruments,SILVER OXIDE HG FREE BATTERY. LO,0,0,"0.70840","0","600","-","Active","Silver Oxide","Coin, 5.8mm","-","12.5mAh","0.23"" Dia x 0.06"" H (5.8mm x 1.6mm)","Requires Holder"
https://www.sii.co.jp/en/me/files/2018/04/MicroBattery_catalogue_E_2018_forWeb.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/SR521_5.8mmx2.0mm.JPG,SR521SW-5SE-ND,SR521SW-5SE,Seiko Instruments,SILVER OXIDE HG FREE BATTERY. LO,0,0,"0.70840","0","600","-","Active","Silver Oxide","Coin, 5.8mm","-","16mAh","0.23"" Dia x 0.08"" H (5.8mm x 2.0mm)","Requires Holder"
//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/SR616SW_DS.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/SR616_6.8mmx1.6mm.JPG,SR616SW-5SE-ND,SR616SW-5SE,Seiko Instruments,SILVER OXIDE HG FREE BATTERY. LO,0,0,"0.70840","0","600","-","Active","Silver Oxide","Coin, 6.8mm","-","16mAh","0.27"" Dia x 0.06"" H (6.8mm x 1.6mm)","Requires Holder"
//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/SR621SW_DS.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/SR621_6.8mmx2.0mm.JPG,SR621SW-5SE-ND,SR621SW-5SE,Seiko Instruments,SILVER OXIDE HG FREE BATTERY. LO,0,0,"0.70840","0","600","-","Active","Silver Oxide","Coin, 6.8mm","-","23mAh","0.27"" Dia x 0.08"" H (6.8mm x 2.0mm)","Requires Holder"
https://www.sii.co.jp/en/me/files/2018/04/MicroBattery_catalogue_E_2018_forWeb.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/SR626_6.8mmx2.6mm.JPG,SR626SW-5SE-ND,SR626SW-5SE,Seiko Instruments,SILVER OXIDE HG FREE BATTERY. LO,0,0,"0.70840","0","600","-","Active","Silver Oxide","Coin, 6.8mm","-","30mAh","0.27"" Dia x 0.10"" H (6.8mm x 2.6mm)","Requires Holder"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,//media.digikey.com/Photos/Panasonic%20Photos/BR-3032%5EBN[1].jpg,CR-2032/GVFN-ND,CR-2032/GVFN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,0,0,"0.71640","0","480","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.78"" Dia x 0.12"" H (19.7mm x 3.2mm)","Requires Holder"
