Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Battery Chemistry","Battery Cell Size","Number of Cells","Voltage - Nominal","Charge Current - Max","Charge Time","Voltage - Input","Power - Max","Size / Dimension","Mounting Type","Termination Style","Features"
https://www.meanwell.com/Upload/PDF/RPB-1600/RPB-1600-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_RPB-1600.jpg,1866-4007-ND,RPB-1600-48,MEAN WELL USA Inc.,BATT CHRGR ENCLOSED 57.6V 27.5A,72,0,"409.50000","0","1","RPB-1600","Active","Enclosed","Lead Acid, Lithium-Ion","48V","1","57.6V","27.5A","-","90 ~ 264 VAC, 127 ~ 370 VDC","1600W","11.81"" L x 3.35"" W x 1.61"" H (300.0mm x 85.0mm x 41.0mm)","Rack Mount","Rectangular Connector","LED Indicator"
https://assets.tripplite.com/product-pdfs/en/u280002c12.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U280-002-C12.jpg,TL2277-ND,U280-002-C12,Tripp Lite,BATT CHARGER USB AUTO 5V 1A/2.1A,196,0,"15.78000","0","1","-","Active","USB Auto Adapter","Mobile Devices","-","2","5V","1A, 2.1A","-","12V","15.5W","-","Auto Socket","USB A Receptacle (2)","-"
https://www.molex.com/pdm_docs/sd/795405015_sd.pdf,//media.digikey.com/Photos/Molex/MFG_0795405015.jpg,WM12217-ND,0795405015,Molex,BATT CHRG USB IN-VEHICLE 5V 1.5A,1606,0,"23.79000","0","1","79540","Active","USB In-Vehicle","Mobile Devices","-","1","5V","1.5A","-","9 ~ 16VDC","-","1.89"" L x 1.02"" W x 1.46"" H (48.00mm x 26.00mm x 37.05mm)","Panel Mount","USB A Receptacle","Backlight"
//media.digikey.com/pdf/Data%20Sheets/Volgen%20PDFs/LABC7-6V.pdf,//media.digikey.com/Photos/Volgen%20Photos/LABC7-6V.JPG,62-1232-ND,LABC7-6V,Kaga Electronics USA,BATT CHARGER DESKTOP 7.4V 1.2A,148,0,"24.64000","0","1","-","Active","Desktop","Lead Acid","6V","1","7.4V","1.2A","-","100 ~ 240 VAC","-","3.19"" L x 2.01"" W x 1.10"" H (81.00mm x 51.00mm x 28.00mm)","Desktop","2.1mm I.D. x 5.5mm O.D. x 12mm Female","-"
https://www.meanwell.com/Upload/PDF/GC30B/GC30B-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_GC30B.jpg,1866-1764-ND,GC30B-5P1J,MEAN WELL USA Inc.,BATT CHARGER DESKTOP 16.8V 1.6A,120,0,"29.60000","0","1","GC30B","Active","Desktop","Lead Acid, Lithium-Ion","-","1","16.8V","1.6A","-","90 ~ 264 VAC","27W","4.25"" L x 2.64"" W x 1.42"" H (108.00mm x 67.00mm x 36.00mm)","Desktop","2.1mm I.D. x 5.5mm O.D. x 11mm Female","LED Indicator"
https://www.meanwell.com/Upload/PDF/PA-120/PA-120-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_PB-120P-C.jpg,1866-3724-ND,PB-120P-27C,MEAN WELL USA Inc.,BATT CHARGER ENCLOSED 27.6V 4.3A,206,0,"56.07000","0","1","PB-120","Active","Enclosed","Lead Acid","24V","1","27.6V","4.3A","-","88 ~ 132 VAC, 176 ~ 264 VAC","118.68W","7.09"" L x 3.78"" W x 1.93"" H (180.0mm x 96.0mm x 49.0mm)","Desktop","DIN, 3 Pin","LED Indicator"
https://www.meanwell.com/Upload/PDF/PB-360/PB-360-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_PB-360P.jpg,1866-3739-ND,PB-360P-24,MEAN WELL USA Inc.,BATT CHRGR ENCLOSED 28.8V 12.5A,67,0,"99.36000","0","1","PB-360","Active","Enclosed","Lead Acid, Lithium-Ion","24V","1","28.8V","12.5A","-","90 ~ 132 VAC, 180 ~ 264 VAC","360W","9.96"" L x 5.31"" W x 1.91"" H (253.0mm x 135.0mm x 48.5mm)","Chassis Mount","Screw Terminal","LED Indicator"
https://www.meanwell.com/Upload/PDF/PB-360/PB-360-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_PB-360P.jpg,1866-3740-ND,PB-360P-48,MEAN WELL USA Inc.,BATT CHRGR ENCLOSED 57.6V 6.25A,49,0,"99.36000","0","1","PB-360","Active","Enclosed","Lead Acid, Lithium-Ion","48V","1","57.6V","6.25A","-","90 ~ 132 VAC, 180 ~ 264 VAC","360W","9.96"" L x 5.31"" W x 1.91"" H (253.0mm x 135.0mm x 48.5mm)","Chassis Mount","Screw Terminal","LED Indicator"
https://www.meanwell.com/Upload/PDF/HEP-600C/HEP-600C-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_HEP-600C.jpg,1866-2294-ND,HEP-600C-12,MEAN WELL USA Inc.,BATT CHARGER ENCLOSED 14.4V 35A,61,0,"248.58000","0","1","HEP-600C","Active","Enclosed","Lead Acid, Lithium-Ion","12V","1","14.4V","35A","-","90 ~ 305 VAC, 127 ~ 431 VDC","600W","11.02"" L x 5.67"" W x 1.91"" H (280.0mm x 144.0mm x 48.5mm)","Chassis Mount","Screw Terminal","LED Indicator"
-,//media.digikey.com/photos/ZEUS-Battery-Products/MFG_PCCG-SLA6V300.jpg,2059-PCCG-SLA6V300-ND,PCCG-SLA6V300,ZEUS Battery Products,BATT CHARGER DESKTOP 6V .3A SLA,195,0,"10.30000","0","1","-","Active","Desktop","Lead Acid","6V","1","7V","300mA","8 Hrs","90 ~ 264VAC","10W","3.19"" L x 2.01"" W x 1.10"" H (81.00mm x 51.00mm x 28.00mm)","Desktop","Alligator Clips","LED Indicator"
