Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Type, Function","Style","Battery Cell Size","Number of Cells","Battery Series","Mounting Type","Termination Style","Height Above Board","Operating Temperature"
http://www.memoryprotectiondevices.com/datasheets/LP2032SM-JJ-GTR-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/LP2032SM-JJ-GTR.JPG,LP2032SM-JJ-GCT-ND,LP2032SM-JJ-GTR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,3102,0,"1.52000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.185"" (4.70mm)","-40°C ~ 280°C"
http://www.memoryprotectiondevices.com/datasheets/LP2032SM-JJ-GTR-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/LP2032SM-JJ-GTR.JPG,LP2032SM-JJ-GDKR-ND,LP2032SM-JJ-GTR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,3102,0,"Digi-Reel","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.185"" (4.70mm)","-40°C ~ 280°C"
http://www.memoryprotectiondevices.com/datasheets/BHX1-2032-SM-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/bhx1-2032-sm.jpg,BHX1-2032-SM-ND,BHX1-2032-SM,MPD (Memory Protection Devices),BATTERY RETAINER COIN 20MM SMD,41922,46500,"0.86000","0","1","Gliders","Active","Coin Cell, Retainer","Retainer","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.170"" (4.33mm)","-"
http://www.memoryprotectiondevices.com/datasheets/BHX1-2032-PC-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BHX1-2032-PC.jpg,BHX1-2032-PC-ND,BHX1-2032-PC,MPD (Memory Protection Devices),BATTERY RETAINER COIN PC PIN,36132,23800,"0.86000","0","1","Gliders","Active","Coin Cell, Retainer","Retainer","Coin, 20.0mm","1","2032","PCB, Through Hole","PC Pin","0.164"" (4.17mm)","-"
http://www.memoryprotectiondevices.com/datasheets/BU2032SM-JJ-GTR-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BU2032SM-JJ-GTR.JPG,BU2032SM-JJ-GTR-ND,BU2032SM-JJ-GTR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,121600,156800,"0.86508","0","400","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.210"" (5.33mm)","-40°C ~ 280°C"
http://www.memoryprotectiondevices.com/datasheets/BU2032SM-JJ-GTR-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BU2032SM-JJ-GTR.JPG,BU2032SM-JJ-GCT-ND,BU2032SM-JJ-GTR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,121875,157150,"1.48000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.210"" (5.33mm)","-40°C ~ 280°C"
http://www.memoryprotectiondevices.com/datasheets/BU2032SM-JJ-GTR-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/BU2032SM-JJ-GTR.JPG,BU2032SM-JJ-GDKR-ND,BU2032SM-JJ-GTR,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,121875,157150,"Digi-Reel","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.210"" (5.33mm)","-40°C ~ 280°C"
http://www.memoryprotectiondevices.com/datasheets/BU2032SM-HD-G-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BU2032SM-HD-G.JPG,BU2032SM-HD-GTR-ND,BU2032SM-HD-G,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,91200,106400,"0.86508","0","400","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.208"" (5.28mm)","-40°C ~ 280°C"
http://www.memoryprotectiondevices.com/datasheets/BU2032SM-HD-G-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BU2032SM-HD-G.JPG,BU2032SM-HD-GCT-ND,BU2032SM-HD-G,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,91597,106794,"1.48000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.208"" (5.28mm)","-40°C ~ 280°C"
http://www.memoryprotectiondevices.com/datasheets/BU2032SM-HD-G-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BU2032SM-HD-G.JPG,BU2032SM-HD-GDKR-ND,BU2032SM-HD-G,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM SMD,91597,106794,"Digi-Reel","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.208"" (5.28mm)","-40°C ~ 280°C"
