Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","For Use With/Related Products","Specifications","Compatible Tools","Cable Group"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=3-1579001-5&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/3-1579001-5.JPG,A120087-ND,3-1579001-5,TE Application Tooling,TOOL ERGOCRIMP DIE 0.5-0.75,6,0,"429.60000","0","1","ERGOCRIMP, Micro Quadlok","Active","Die Set","Rectangular Contacts, 18-20 AWG","-","539635-1","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-9414&DocType=SS&DocLang=EN,//media.digikey.com/photos/Tyco%20Amp%20Photos/58063-2.jpg,A2032-ND,58063-2,TE Application Tooling,HEAD ASSEMBLY TOOL FOR D-SUB CON,16,0,"430.88000","0","1","AMPLIMITE HDE-20","Active","Terminating Head","D-Sub IDC Connectors, 20-30 AWG","-","58074-1, 58075-1, 58338-1, 931800-1","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=411-18233&DocType=SS&DocLang=German,//media.digikey.com/photos/TE%20Connectivity/539758-2.jpg,A126656-ND,539758-2,TE Application Tooling,"DIE 2,8 TAB+EDS",11,0,"466.88000","0","1","ERGOCRIMP, Junior Power Timer","Active","Die Set","Rectangular Contacts, 13-20 AWG","-","539635-1","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/HTS_Heavy_Duty_Connectors_0908[1].pdf#Page=179,//media.digikey.com/photos/TE%20Connectivity/539744-2.jpg,A120166-ND,539744-2,TE Application Tooling,DIE F2 8FF TAB,9,0,"467.25000","0","1","ERGOCRIMP, Faston, Multimate III+, Timer","Active","Die Set","Quick Connects Terminals, 14-18 AWG; Rectangular Contacts, 14-20 AWG","-","539635-1","-"
http://www.amphenol.de/downloads/97_matchingcontacttools.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_TA0000502.jpg,889-1704-ND,TA 0000 502,Amphenol Sine Systems Corp,TOOL HAND CRIMP-SET,2,0,"485.63000","0","1","Eco|mate™, C16-3, C091","Active","Die Set","Circular Contacts, 18-26 AWG","-","TA 0000 and TA 0500","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=539650-2&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/539650-2.jpg,A120104-ND,539650-2,TE Application Tooling,TOOL MATRIZE JPT/TAB EDS,9,0,"498.00000","0","1","ERGOCRIMP, Junior Power Timer","Active","Die Set","Rectangular Contacts","-","539635-1","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=539737-2&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/Tyco%20Photos/539737-2.jpg,539737-2-ND,539737-2,TE Application Tooling,TOOL ERGO DIE SET - JR PWR TIMER,5,0,"498.00000","0","1","ERGOCRIMP, Junior Power Timer","Active","Die Set","Rectangular Contacts, 13-24 AWG","-","539635-1","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=539687-2&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/539687-2.jpg,A120121-ND,539687-2,TE Application Tooling,MATRIZE TIMER,13,0,"534.00000","0","1","ERGOCRIMP, Junior and Standard Power Timer","Active","Die Set","Rectangular Contacts, 14-20 AWG","-","539635-1","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=539722-2&DocType=Customer+Drawing&DocLang=German,//media.digikey.com/Photos/TE%20Connectivity/539722-2.jpg,A120147-ND,539722-2,TE Application Tooling,TOOL DIE SET MCP 2.8/0.5-1MM,9,0,"534.00000","0","1","ERGOCRIMP, MCP","Active","Die Set","Rectangular Contacts, 17-20 AWG","-","539635-1","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5-1579001-1&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/5-1579001-1.jpg,A121837-ND,5-1579001-1,TE Application Tooling,TOOL ERGO DIE MQS 0.5-0.75,7,0,"534.00000","0","1","ERGOCRIMP, Micro Quadlok","Active","Die Set","Rectangular Contacts, 18-20 AWG","-","539635-1","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-8580&DocType=SS&DocLang=EN,//media.digikey.com/Photos/TE%20Connectivity/91909-1.jpg,A129587-ND,91909-1,TE Application Tooling,"PREM SDE DIE,BNC COAXICON",5,0,"538.88000","0","1","Coaxicon","Active","Die Set","Coaxial, RF - C, HN, N, TNC","-","9-1478240-0","-"
