Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Color","For Use With/Related Products","Material","Label Type","Label Size"
http://www.panduit.com/heiler/PartDrawings/C10950.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PVS0204W172Y.jpg,PVS0204W172Y-ND,PVS0204W172Y,Panduit Corp,SIGN ELECTRL WARN 4.5""X2.25"",0,0,"3.20000","0","5","Bulk","-","Active","Black Legend, Yellow Background","-","Vinyl","-","4.50"" L x 2.25"" W (114.3mm x 57.2mm)"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/PVS0209D445Y.PDF,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PVS0209D445Y.jpg,PVS0209D445Y-ND,PVS0209D445Y,Panduit Corp,SIGN ELECTRL WARN 9""X2.25"" BL/RD,0,0,"3.20000","0","5","Bulk","-","Active","Black and Red Legend, White Background","-","Vinyl","-","9.00"" L x 2.25"" W (228.6mm x 57.2mm)"
-,-,PHC15X15N0-ND,PHC15X15N0,Panduit Corp,"6"" NO. FOR 15X15 PLCRD, 0",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15N1-ND,PHC15X15N1,Panduit Corp,"6"" NO. FOR 15X15 PLCRD, 1",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15N2-ND,PHC15X15N2,Panduit Corp,"6"" NO. FOR 15X15 PLCRD, 2",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15N3-ND,PHC15X15N3,Panduit Corp,"6"" NO. FOR 15X15 PLCRD, 3",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15N4-ND,PHC15X15N4,Panduit Corp,"6"" NO. FOR 15X15 PLCRD, 4",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15ACD-ND,PHC15X15ACD,Panduit Corp,"6"" SYM FOR 15X15 PLCRD, ACD",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15ALK-ND,PHC15X15ALK,Panduit Corp,"6"" SYM FOR 15X15 PLCRD, ALK",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15COR-ND,PHC15X15COR,Panduit Corp,"6"" SYM FOR 15X15 PLCRD, COR",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15OXY-ND,PHC15X15OXY,Panduit Corp,"6"" SYM FOR 15X15 PLCRD, OXY",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
-,-,PHC15X15RAD-ND,PHC15X15RAD,Panduit Corp,"6"" SYM FOR 15X15 PLCRD, RAD",0,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
