Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Color","For Use With/Related Products","Material","Label Type","Label Size"
http://www.panduit.com/heiler/PartDrawings/C10978.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PVT-41.jpg,298-10708-ND,PVT-41,Panduit Corp,TAG ELECTRL WARN 5.75""X3"" 5PC,1767,0,"12.08000","0","1","Bulk","-","Active","Black and Red Legend, White Background","-","Plastic","-","5.75"" L x 3.00"" W (146.0mm x 76.2mm)"
http://www.panduit.com/heiler/PartDrawings/C10801.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PST-FO.jpg,298-18626-ND,PST-FO,Panduit Corp,TAG ID/RATINGS 3.5""X2"" BK/YL 5PC,250,0,"12.12000","0","1","Bulk","PST","Active","Black Legend, Yellow Background","-","Vinyl","-","3.50"" L x 2.00"" W (88.9mm x 50.8mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1081-B.JPG,298-10939-ND,PCT-1081-B,Panduit Corp,TAG 6.25""X3"" RED/BLACK/WHITE,8,0,"119.09000","0","1","Bulk","-","Active","Red and Black Legend, White Background","-","Plastic","-","6.25"" L x 3.00"" W (158.8mm x 76.2mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PSLPL1BLKY.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PSL-1019_A.jpg,298-10956-ND,PSL-1019,Panduit Corp,"LOCKOUT, TAB TAG, DGR LOCKED OUT",12,0,"34.42000","0","1","25 per Pkg","-","Active","Black and Red Legend, White Background","Danger","Plastic","-","4.50"" L x 2.13"" W (114.3mm x 54.1mm)"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Anodized_Aluminum_Dog_Tags_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_MT1009-RD.jpg,1932-1050-ND,MT1009-RD,Bantam Tools,PRACTICE MATERIAL DOG TAGS RED,200,0,"1.76000","0","1","-","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Anodized_Aluminum_Luggage_Tags_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_MT1016-BK.jpg,1932-1031-ND,MT1016-BK,Bantam Tools,PRACTICE MATERIAL LUGGAGE TAGS B,65,0,"3.44000","0","1","-","*","Active","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C10978.pdf,"//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PVT-(15,42-Q).jpg",298-18636-ND,PVT-15,Panduit Corp,TAG ID RATINGS 5.75""X3"" BK/RD/WT,75,0,"12.08000","0","1","Bulk","-","Active","Black and Red Legend, White Background","-","Plastic","-","5.75"" L x 3.00"" W (146.0mm x 76.2mm)"
http://www.panduit.com/heiler/PartDrawings/C10978.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PVT-43.jpg,298-18639-ND,PVT-43,Panduit Corp,TAG ELECTRL WARN 5.75""X3"" BLK/RD,50,0,"12.08000","0","1","Bulk","-","Active","Black and Red Legend, White Background","-","Plastic","-","5.75"" L x 3.00"" W (146.0mm x 76.2mm)"
http://www.panduit.com/heiler/PartDrawings/C10978.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PVT-44(-Q).jpg,298-18640-ND,PVT-44,Panduit Corp,TAG ELECTRL WARN 5.75""X3"" BLK/RD,50,0,"12.08000","0","1","Bulk","-","Active","Black and Red Legend, White Background","-","Plastic","-","5.75"" L x 3.00"" W (146.0mm x 76.2mm)"
http://www.panduit.com/heiler/PartDrawings/C10978.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PVT-30(-Q).jpg,298-18638-ND,PVT-30,Panduit Corp,TAG ELECTRL WARN 5.75""X3"" BLK/RD,40,0,"12.08000","0","1","Bulk","-","Active","Black and Red Legend, White Background","-","Plastic","-","5.75"" L x 3.00"" W (146.0mm x 76.2mm)"
http://www.panduit.com/heiler/PartDrawings/C10496.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PVT-98(-Q).jpg,298-18642-ND,PVT-98,Panduit Corp,TAG ELECTRL WARN 5.75""X3"" 5PC,30,0,"12.08000","0","1","Bulk","-","Active","Black and Red Legend, White Background","-","Plastic","-","5.75"" L x 3.00"" W (146.0mm x 76.2mm)"
http://www.panduit.com/heiler/PartDrawings/(PST_FOBLNK)C10896.pdf,-,298-18627-ND,PST-FOBLNK,Panduit Corp,TAG ID/RATINGS 3.5""X2"" YELLOW,100,0,"12.12000","0","1","Bulk","PST","Active","Yellow","-","Vinyl","-","3.50"" L x 2.00"" W (88.9mm x 50.8mm)"
http://www.panduit.com/heiler/PartDrawings/PST%20Customer%20Drawing.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PST-2.jpg,298-18623-ND,PST-1,Panduit Corp,TAG ID/RATINGS 3""X2"" WHITE,32,0,"12.45000","0","1","Bulk","PST","Active","White","-","Polyester","-","3.00"" L x 2.00"" W (76.2mm x 50.8mm)"
http://www.panduit.com/heiler/PartDrawings/C10496.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PVT-98(-Q).jpg,298-18643-ND,PVT-98-Q,Panduit Corp,TAG ELECTRL WARN 5.75""X3"" 25PC,10,0,"45.65000","0","1","Bulk","-","Active","Black and Red Legend, White Background","-","Plastic","-","5.75"" L x 3.00"" W (146.0mm x 76.2mm)"
http://www.panduit.com/heiler/PartDrawings/PT-GND.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PT-GND.jpg,298-18629-ND,PT-GND,Panduit Corp,TAG ID/RATINGS 2.75""X1.38"" 100PC,11,0,"45.74000","0","1","Bulk","-","Active","Black Legend, Yellow Background","-","Plastic","-","2.75"" L x 1.38"" W (69.9mm x 35.01mm)"
http://www.panduit.com/heiler/PartDrawings/PT-GND.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PT-BGND.jpg,298-18628-ND,PT-BGND,Panduit Corp,TAG ID/RATINGS 2.75""X1.38"" 100PC,10,0,"45.74000","0","1","Bulk","-","Active","Green Legend, Yellow Background","-","Plastic","-","2.75"" L x 1.38"" W (69.9mm x 35.01mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1082-B.JPG,298-10940-ND,PCT-1082-B,Panduit Corp,"SFTYTAG,LODGRDONOTOPERATE,BKLO,2",3,0,"115.62000","0","1","Bulk","-","Obsolete","-","-","Plastic","-","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1097-B.JPG,298-10941-ND,PCT-1097-B,Panduit Corp,"TAG,LODGRLCKDOUT,DONTOP,BKLO,250",3,0,"115.62000","0","1","Bulk","-","Obsolete","-","-","Plastic","-","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1004.JPG,298-10851-ND,PCT-1004,Panduit Corp,TAG 5.75""X3.25"" RED/BLACK/WHITE,19,0,"6.35000","0","1","Bulk","-","Active","Red and Black Legend, White Background","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1037.JPG,298-10866-ND,PCT-1037,Panduit Corp,TAG 5.75""X3.25"" BLACK/YELLOW,9,0,"6.35000","0","1","Bulk","-","Active","Black Legend, Yellow Background","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PVT-1061.JPG,298-10913-ND,PVT-1061,Panduit Corp,TAG 5.75""X3.25"" BLUE/WHITE,20,0,"9.95000","0","1","Bulk","-","Active","Blue, White","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-110x-C.JPG,298-10880-ND,PCT-1101-C,Panduit Corp,TAG 4.75""X2.38"" MANILA 100/PK,5,0,"12.75000","0","1","Bulk","-","Active","Manila","-","Plastic","-","4.75"" L x 2.38"" W (120.6mm x 60.5mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-110x-C.JPG,298-10873-ND,PCT-1102-C,Panduit Corp,TAG 5.25""X2.63"" MANILA 100/PK,7,0,"14.00000","0","1","Bulk","-","Active","Manila","-","Plastic","-","5.25"" L x 2.63"" W (133.4mm x 66.8mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PSLPL1BLKY.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PSL-1018_A.jpg,298-10955-ND,PSL-1018,Panduit Corp,"LOCKOUT, TAB TAG, DGR DO NOT OPE",4,0,"34.42000","0","1","25 per Pkg","-","Active","Black and Red Legend, White Background","Danger","Plastic","-","4.50"" L x 2.13"" W (114.3mm x 54.1mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1048-Front.jpg,298-10852-ND,PCT-1048,Panduit Corp,TAG 5.75""X3.25"" RED/BLACK/WHITE,20,0,"6.35000","0","1","Bulk","-","Active","Red and Black Legend, White Background","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PCT-1066_A.jpg,298-10856-ND,PCT-1066,Panduit Corp,TAG 5.75""X3.25"" RED/BLACK/WHITE,20,0,"6.35000","0","1","Bulk","-","Active","Red and Black Legend, White Background","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PCT-1049.jpg,298-10853-ND,PCT-1049,Panduit Corp,TAG 5.75""X3.25"" WHITE/GREEN,19,0,"6.35000","0","1","Bulk","-","Active","White Legend, Green Background","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1001.JPG,298-10857-ND,PCT-1001,Panduit Corp,TAG 5.75""X3.25"" BLACK/YELLOW,15,0,"6.35000","0","1","Bulk","-","Active","Black Legend, Yellow Background","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1002.JPG,298-10858-ND,PCT-1002,Panduit Corp,TAG 5.75""X3.25"" BLACK/WHITE/RED,15,0,"6.35000","0","1","Bulk","-","Active","Black and White Legend, Red Background","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1003.JPG,298-10859-ND,PCT-1003,Panduit Corp,TAG 5.75""X3.25"" RED/BLACK/WHITE,15,0,"6.35000","0","1","Bulk","-","Active","Red and Black Legend, White Background","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PT1164.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PCT-1005.JPG,298-10860-ND,PCT-1005,Panduit Corp,TAG 5.75""X3.25"" RED/BLACK/WHITE,15,0,"6.35000","0","1","Bulk","-","Active","Red and Black Legend, White Background","-","Plastic","-","5.75"" L x 3.25"" W (146.0mm x 82.6mm)"
