Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Color","For Use With/Related Products","Label Size","Material","Label Type"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0041.JPG,298-10790-ND,PFM0041,Panduit Corp,SIGN 24""X6"" WHITE/RED,5,0,"27.18000","0","1","Bulk","-","Active","White, Red","-","24.00"" L x 6.00"" W (609.6mm x 152.4mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0042.JPG,298-10791-ND,PFM0042,Panduit Corp,SIGN 24""X6"" BLACK/YELLOW,5,0,"27.18000","0","1","Bulk","-","Active","Black, Yellow","-","24.00"" L x 6.00"" W (609.6mm x 152.4mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0044.JPG,298-10792-ND,PFM0044,Panduit Corp,SIGN 24""X6"" BLACK/YELLOW,5,0,"27.18000","0","1","Bulk","-","Active","Black, Yellow","-","24.00"" L x 6.00"" W (609.6mm x 152.4mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0045.JPG,298-10793-ND,PFM0045,Panduit Corp,SIGN 24""X6"" BLACK/YELLOW,5,0,"27.18000","0","1","Bulk","-","Active","Black, Yellow","-","24.00"" L x 6.00"" W (609.6mm x 152.4mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0009.JPG,298-10823-ND,PFM0009,Panduit Corp,SIGN 17""DIA BLACK/YELLOW,4,0,"45.36000","0","1","Bulk","-","Active","Black Legend, Yellow Background","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0011.JPG,298-10824-ND,PFM0011,Panduit Corp,SIGN 17""DIA BLACK/YELLOW,4,0,"45.36000","0","1","Bulk","-","Active","Black Legend, Yellow Background","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0013.JPG,298-10825-ND,PFM0013,Panduit Corp,SIGN 17""DIA GREEN/BLACK/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Green and Black Legend, White Background","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0015.JPG,298-10826-ND,PFM0015,Panduit Corp,SIGN 17""DIA GREEN/BLACK/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Green and Black Legend, White Background","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0016.JPG,298-10827-ND,PFM0016,Panduit Corp,SIGN 17""DIA BLACK/YELLOW,4,0,"45.36000","0","1","Bulk","-","Active","Black, Yellow","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0017.JPG,298-10828-ND,PFM0017,Panduit Corp,SIGN 17""DIA BLACK/YELLOW,4,0,"45.36000","0","1","Bulk","-","Active","Black, Yellow","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0018.JPG,298-10829-ND,PFM0018,Panduit Corp,SIGN 17""DIA BLACK/YELLOW,4,0,"45.36000","0","1","Bulk","-","Active","Black, Yellow","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0020.JPG,298-10830-ND,PFM0020,Panduit Corp,SIGN 17""DIA WHITE/RED,4,0,"45.36000","0","1","Bulk","-","Active","White, Red","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0022.JPG,298-10831-ND,PFM0022,Panduit Corp,SIGN 17""DIA BLACK/ORANGE/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Black Legend, Orange and White Background","-","17.00"" Dia (431.8mm)","Vinyl","-"
http://www.panduit.com/heiler/CatalogCutSheets/D-SFCC1--WW-ENG-PFMR2X15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PFM0023.JPG,298-10832-ND,PFM0023,Panduit Corp,SIGN 17""DIA RED/WHITE,4,0,"45.36000","0","1","Bulk","-","Active","Red, White","-","17.00"" Dia (431.8mm)","Vinyl","-"
