Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Current - Max","Region Utilized","Overload Protection","Connector - AC Input","Connector - AC Output","Voltage - Input","Dielectric Material","Media Lines Protected","AC Outlets","Energy","Cord Length","Approvals","Features"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2818973,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2818973.jpg,277-14720-ND,2818973,Phoenix Contact,ATTACH CONNECTOR RJ45 FML-FML,3,0,"224.00000","0","1","D-LAN-A","Active","Surge Protector for Media Lines Only","-","-","International","None","-","-","-","-","RJ45","None","-","-","GOST, UL","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2804380,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2804380.jpg,277-14709-ND,2804380,Phoenix Contact,SURGE PROTECTION DEVICE,2,0,"224.00000","0","1","-","Active","-","DIN Rail","-","International","None","Screw Terminals","Screw Terminals","-","-","-","None","-","-","CB, CCA, CSA, cUL, cULus, GOST, KEMA, OVE, UL","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2800102,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2800102.jpg,277-14690-ND,2800102,Phoenix Contact,SURGE PROTECTION DEVICE,2,0,"228.00000","0","1","-","Last Time Buy","-","DIN Rail","-","International","None","-","-","-","-","-","None","-","-","CB, CCA, CSA, cUL, cULus, OVE, UL","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2881887,//media.digikey.com/Photos/Phoenix%20Photos/2881887.JPG,277-14749-ND,2881887,Phoenix Contact,TYPE 1 / CLASS I / B ARRESTER,2,0,"252.00000","0","1","-","Active","-","-","-","International","None","-","-","-","-","-","None","-","-","CB, CCA, cUL, cULus, GOST, KEMA, UL","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2839211.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2839211.jpg,277-7179-ND,2839211,Phoenix Contact,TVS DIODE 5VWM MODULE,9,0,"256.00000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2839240.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2839240.jpg,277-7073-ND,2839240,Phoenix Contact,TVS DIODE 24VWM MODULE,2,0,"256.00000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2920670.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2920670.jpg,277-7080-ND,2920670,Phoenix Contact,SURGE PROTECTION FILTER 120VAC,9,54,"278.00000","0","1","SFP","Active","-","DIN Rail","10A","International","None","-","-","120V","Aluminum","-","None","-","-","CSA, CSAus, cUL, cULus, GOST, UL","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2838228.pdf,//media.digikey.com/photos/Phoenix%20Photos/PT%202X2-xDC-ST%20Series.JPG,277-7009-ND,2838228,Phoenix Contact,TVS DIODE 28VWM MODULE,20,456,"321.00000","0","1","PT","Active","Surge Protection Module","Base Mount","-","-","-","-","-","-","Plastic","-","None","-","-","GL, GOST, UL","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2838322.pdf,//media.digikey.com/photos/Phoenix%20Photos/PT%204X1-xDC-ST%20Series.JPG,277-7050-ND,2838322,Phoenix Contact,TVS DIODE 28VWM MODULE,5,53,"334.00000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://orionfans.com/productFiles/datasheet/OSP-H16-23-08-N1.pdf,//media.digikey.com/Photos/Orion%20Fans/OSP-H16-23-08-N1.jpg,1053-1431-ND,OSP-H16-23-08-N1,Orion Fans,PDU 8OUT RACK 230V W/SENSORS,3,0,"385.36000","0","1","-","Active","PDU (Power Distribution Unit)","Rack, Horizontal","16A","International","Circuit Breaker(s)","IEC 320-C20","IEC 320-C13","230V","-","-","8","-","9.84' (3m)","CE, CSA, c-Tick, cUL, EN, UL","Ethernet Control and Monitor Interface for Individual Outlets, Programmable Alerts, Load Meter"
https://www.bourns.com/docs/Product-Datasheets/1250.pdf,//media.digikey.com/Photos/Bourns%20Photos/1250-4S-400.jpg,1250-4S-400-ND,1250-4S-400,Bourns Inc.,SPD AC 4W+G 277VAC,17,0,"410.20000","0","1","1250","Active","-","DIN Rail","-","-","None","-","-","400V","Plastic","-","-","-","-","CE, CSA, UL","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2856702.pdf,//media.digikey.com/photos/Phoenix%20Photos/2856702.jpg,277-1867-ND,2856702,Phoenix Contact,FILTER SURGE PROTECTION NS35,10,70,"413.00000","0","1","SFP","Active","-","DIN Rail","20A","North America","None","Screw Terminals","Screw Terminals","120V","Aluminum","-","None","170J","-","CSA, CSAus, cUL, cULus, GOST, UL","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/5603514.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_5603514.jpg,277-15499-ND,5603514,Phoenix Contact,SURGE PROTECTION DEVICE,4,12,"452.00000","0","1","-","Active","-","Wall Mount","-","International","None","Screw Terminals","Screw Terminals","-","Metal","-","None","-","-","-","-"
