Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Form","Power - Rated","AC Outlets","Backup Time - Max Load","Media Lines Protected","Voltage - Output","Connector - AC Input","Connector - AC Output","Cord Length","Size / Dimension","Height"
https://assets.tripplite.com/product-pdfs/en/smx700hg.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMX700HG.jpg,SMX700HG-ND,SMX700HG,Tripp Lite,INTL UPS SMART PRO TWR HOSPITAL,0,0,"694.73000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-s1k-series-ups-en-us-164182.pdf,-,2106-S1K1500-ND,S1K1500,SolaHD,OFF-LINE UPS 1500VA 120V AVR,0,0,"694.94000","0","1","S1K","Active","Standby (No Regulation)","General Purpose, Industrial Control","Tower","1.5kVA / 900W","4","70 minutes","-","115V","NEMA 5-15P","NEMA 5-15R (4)","6' (1.83m)","15.000"" L x 5.118"" W (381.00mm x 130.00mm)","7.520"" (191.00mm)"
-,//media.digikey.com/Photos/Weidmuller/9916280012.JPG,9916280012-ND,9916280012,Weidmüller,POWER SUPPLY 12V,0,8,"701.52000","0","1","-","Active","-","General Purpose, Industrial Control","Din Rail","180W","-","-","-","12V","-","-","-","6.339"" L x 2.854"" W (161.00mm x 72.50mm)","5.020"" (127.50mm)"
https://assets.tripplite.com/product-pdfs/en/smart1000rmxl2u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMART1000RMXL2U.jpg,SMART1000RMXL2U-ND,SMART1000RMXL2U,Tripp Lite,UPS SMART LCD RACKMOUNT,0,0,"701.84000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AC-C-TEC2403-1-400-ND,AC-C-TEC2403-1-400,Altech Corporation,ULTRACAP MODULE 3X400VAC INPUT 1,0,0,"707.33000","0","1","AC-C-TEC","Active","Standby (No Regulation)","General Purpose, Industrial Control","Din Rail","-","-","-","-","24.3V","Hardwired","-","-","5.118"" L x 3.937"" W (130.00mm x 100.00mm)","6.024"" (153.00mm)"
https://assets.tripplite.com/product-pdfs/en/su1000xlcd.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SU1000XLCD.jpg,SU1000XLCD-ND,SU1000XLCD,Tripp Lite,UPS SMART ONLINE,0,0,"739.53000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/su750rtxlcd2u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SU750RTXLCD2U.jpg,SU750RTXLCD2U-ND,SU750RTXLCD2U,Tripp Lite,UPS SMART ONLINE RACKMOUNT,0,0,"740.23000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/suint1000xlcd.pdf,-,SUINT1000XLCD-ND,SUINT1000XLCD,Tripp Lite,SMARTONLINE 230V 1KVA 900W ON-LI,0,0,"753.65000","0","1","SmartOnline","Active","Online (Double Conversion)","Network, Single Phase","Tower","1kVA / 900W","4 (UPS)","4.8 minutes","-","220V, 230V, 240V","C14","C13 (4)","10' (3.05m)","12.600"" L x 5.700"" W (320.04mm x 144.78mm)","8.900"" (226.06mm)"
https://assets.tripplite.com/product-pdfs/en/sm1500rmxl2utaa.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SM1500RMXL2UTAA.jpg,SM1500RMXL2UTAA-ND,SM1500RMXL2UTAA,Tripp Lite,UPS SMART RACKMOUNT AVR USB DB9,0,0,"844.78000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/smart750rm1un.pdf,-,SMART750RM1UN-ND,SMART750RM1UN,Tripp Lite,750VA UPS LINE INTERACTIVE,0,0,"854.46000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Rackmount","750VA / 600W","6 (UPS)","4.9 minutes","RS-232","120V","NEMA 5-15P","NEMA 5-15R (6)","10' (3.05m)","17.500"" L x 16.750"" W (444.50mm x 425.45mm)","1.750"" (44.45mm)"
https://assets.tripplite.com/product-pdfs/en/smart2200vs.pdf,//media.digikey.com/photos/Tripplite%20Photos/mfgSMART2200VS.jpg,TL357-ND,SMART2200VS,Tripp Lite,UPS SMARTPRO 2.2KVA 1600W 9OUT,0,0,"860.54000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Tower","2.2kVA / 1600W","9 (UPS)","7 minutes","-","120V","NEMA 5-20P","NEMA 5-15R (7), NEMA 5-20R (2)","8' (2.44m)","12.000"" L x 9.201"" W (304.80mm x 233.70mm)","14.201"" (360.70mm)"
https://assets.tripplite.com/product-pdfs/en/smart700dv.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMART700DV.jpg,SMART700DV-ND,SMART700DV,Tripp Lite,UPS SMART TOWER AVR 120V,0,0,"862.30000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AKKUTEC2420-ND,AKKUTEC2420,Altech Corporation,DC UPS BUFFER 230VAC INPUT-1PHAS,0,0,"867.74000","0","1","AKKUTEC","Active","Standby (No Regulation)","General Purpose, Industrial Control","Chassis Mount","-","-","-","-","24V","Hardwired","-","-","9.606"" L x 3.967"" W (244.00mm x 101.00mm)","9.488"" (241.00mm)"
-,-,AKKUTEC2420-3-ND,AKKUTEC2420-3,Altech Corporation,DC UPS BUFFER 3X400VAC INPUT-3PH,0,0,"867.74000","0","1","AKKUTEC","Active","Standby (No Regulation)","General Purpose, Industrial Control","Chassis Mount","-","-","-","-","24V","Hardwired","-","-","9.606"" L x 3.967"" W (244.00mm x 101.00mm)","9.488"" (241.00mm)"
