Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Output","Voltage - Input","AC Outlets","Connector - AC Output","Connector - Voltage Input","Power - Output Continuous","Power - Output Surge","Remote Capability","Region Utilized","Size","Features"
https://www.meanwell.com/Upload/PDF/TS-700/TS-700-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-700.jpg,TS-700-224B-ND,TS-700-224B,MEAN WELL USA Inc.,INVERTER 24VDC 700W 1 OUTLET,0,0,"283.20000","0","1","TS-700","Active","Inverter","230VAC","24VDC","1","-","Terminals","700W","1.4kW","No","Europe","11.61"" L x 7.24"" W x 2.76"" H (295.0mm x 184.0mm x 70.0mm)","-"
https://www.meanwell.com/Upload/PDF/TS-700/TS-700-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-700.jpg,TS-700-248B-ND,TS-700-248B,MEAN WELL USA Inc.,INVERTER 48VDC 700W 1 OUTLET,0,0,"283.20000","0","1","TS-700","Active","Inverter","230VAC","48VDC","1","-","Terminals","700W","1.4kW","No","Europe","11.61"" L x 7.24"" W x 2.76"" H (295.0mm x 184.0mm x 70.0mm)","-"
"https://www.meanwell-web.com/content/files/pdfs/productPdfs/MW/A-301,302-1k7-spec.pdf",//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_A30x-1K7.jpg,A301-1K7-B2-ND,A301-1K7-B2,MEAN WELL USA Inc.,INVERTER 12VDC 1.5KW 3 OUTLET,0,0,"284.80000","0","1","A301-1K7","Active","Inverter","110VAC","12VDC","3","NEMA 5-15R","Terminals","1.5kW","3kW","Yes","North America","17.91"" L x 8.27"" W x 3.35"" H (455.0mm x 210.0mm x 85.0mm)","-"
"https://www.meanwell-web.com/content/files/pdfs/productPdfs/MW/A-301,302-1k7-spec.pdf",//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_A30x-1K7.jpg,A301-1K7-F3-ND,A301-1K7-F3,MEAN WELL USA Inc.,INVERTER 12VDC 1.5KW 2 OUTLET,0,0,"284.80000","0","1","A301-1K7","Active","Inverter","230VAC","12VDC","2","-","Terminals","1.5kW","3kW","Yes","Europe","17.91"" L x 8.27"" W x 3.35"" H (455.0mm x 210.0mm x 85.0mm)","-"
"https://www.meanwell-web.com/content/files/pdfs/productPdfs/MW/A-301,302-1k7-spec.pdf",//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_A30x-1K7.jpg,A302-1K7-B2-ND,A302-1K7-B2,MEAN WELL USA Inc.,INVERTER 24VDC 1.5KW 3 OUTLET,0,0,"284.80000","0","3","A300-1K7","Active","Inverter","110VAC","24VDC","3","NEMA 5-15R","Terminals","1.5kW","3kW","Yes","North America","17.91"" L x 8.27"" W x 3.35"" H (455.0mm x 210.0mm x 85.0mm)","-"
"https://www.meanwell-web.com/content/files/pdfs/productPdfs/MW/A-301,302-1k7-spec.pdf",//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_A30x-1K7.jpg,A302-1K7-F3-ND,A302-1K7-F3,MEAN WELL USA Inc.,INVERTER 24VDC 1.5KW 2 OUTLET,0,0,"284.80000","0","1","A300-1K7","Active","Inverter","230VAC","24VDC","2","-","Terminals","1.5kW","3kW","Yes","Europe","17.91"" L x 8.27"" W x 3.35"" H (455.0mm x 210.0mm x 85.0mm)","-"
https://www.meanwell.com/Upload/PDF/TS-1000/TS-1000-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_TS-1000.jpg,TS-1000-248B-ND,TS-1000-248B,MEAN WELL USA Inc.,INVERTER 48VDC 1KW 1 OUTLET,0,0,"318.40000","0","1","TS-1000","Active","Inverter","230VAC","48VDC","1","-","Terminals","1kW","2kW","No","Europe","13.58"" L x 7.24"" W x 2.76"" H (345.0mm x 184.0mm x 70.0mm)","-"
"https://www.meanwell-web.com/content/files/pdfs/productPdfs/MW/A-301,302-2k5-spec.pdf",//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_A30x-2K5.jpg,A301-2K5-B2-ND,A301-2K5-B2,MEAN WELL USA Inc.,INVERTER 12VDC 2.5KW 2 OUTLET,0,0,"526.05000","0","2","A301-2K5","Active","Inverter","110VAC","12VDC","2","NEMA 5-15R","Terminals","2.5kW","5kW","Yes","North America","16.93"" L x 8.27"" W x 6.26"" H (430.0mm x 210.0mm x 159.0mm)","-"
"https://www.meanwell-web.com/content/files/pdfs/productPdfs/MW/A-301,302-2k5-spec.pdf",//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_A30x-2K5.jpg,A301-2K5-F3-ND,A301-2K5-F3,MEAN WELL USA Inc.,INVERTER 12VDC 2.5KW 2 OUTLET,0,0,"526.05000","0","1","A301-2K5","Active","Inverter","230VAC","12VDC","2","-","Terminals","2.5kW","5kW","Yes","Europe","16.93"" L x 8.27"" W x 6.26"" H (430.0mm x 210.0mm x 159.0mm)","-"
"https://www.meanwell-web.com/content/files/pdfs/productPdfs/MW/A-301,302-2k5-spec.pdf",//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_A30x-2K5.jpg,A302-2K5-F3-ND,A302-2K5-F3,MEAN WELL USA Inc.,INVERTER 24VDC 2.5KW 2 OUTLET,0,0,"526.05000","0","2","A300-2K5","Active","Inverter","230VAC","24VDC","2","-","Terminals","2.5kW","5kW","Yes","Europe","16.93"" L x 8.27"" W x 6.26"" H (430.0mm x 210.0mm x 159.0mm)","-"
