Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","Applications","Number of Channels","Interface","Voltage - Supply","Operating Temperature","Specifications","Package / Case","Supplier Device Package"
http://www.nuvoton.com/hq/resource-download.jsp?tp_GUID=DA00-NAU8220,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,NAU8220WG-ND,NAU8220WG,Nuvoton Technology Corporation of America,IC LINE DVR AUDIO 2VRMS 14TSSOP,5134,0,"0.68000","0","1","Tray","-","Active","Line Driver","Pre-Amplifier","2","Serial","3V ~ 3.6V","-40°C ~ 85°C (TA)","Class AB","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.njr.com/semicon/PDF/NJM2761_E.pdf,//media.digikey.com/Renders/NJR%20Renders/190;%2010TVSP-3x3%20;%2010.jpg,NJM2761RB2-TE1TR-ND,NJM2761RB2-TE1,NJR Corporation/NJRC,IC LIMITER AUDIO EXT ADJ 10TVSP,4000,0,"0.81648","0","2000","Tape & Reel (TR)","-","Active","Volume Control","Consumer Audio","2","Analog","2.7V ~ 13V","-20°C ~ 75°C (TA)","-100dB","10-VFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-TVSP"
http://www.njr.com/semicon/PDF/NJM2761_E.pdf,//media.digikey.com/Renders/NJR%20Renders/190;%2010TVSP-3x3%20;%2010.jpg,NJM2761RB2-TE1CT-ND,NJM2761RB2-TE1,NJR Corporation/NJRC,IC LIMITER AUDIO EXT ADJ 10TVSP,5942,0,"1.93000","0","1","Cut Tape (CT)","-","Active","Volume Control","Consumer Audio","2","Analog","2.7V ~ 13V","-20°C ~ 75°C (TA)","-100dB","10-VFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-TVSP"
http://www.njr.com/semicon/PDF/NJM2761_E.pdf,//media.digikey.com/Renders/NJR%20Renders/190;%2010TVSP-3x3%20;%2010.jpg,NJM2761RB2-TE1DKR-ND,NJM2761RB2-TE1,NJR Corporation/NJRC,IC LIMITER AUDIO EXT ADJ 10TVSP,5942,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Volume Control","Consumer Audio","2","Analog","2.7V ~ 13V","-20°C ~ 75°C (TA)","-100dB","10-VFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-TVSP"
https://datasheets.maximintegrated.com/en/ds/MAX9892.pdf,//media.digikey.com/Renders/Maxim%20Renders/175;21-0164;LT;6.jpg,MAX9892ELT+T-ND,MAX9892ELT+T,Maxim Integrated,IC ELIMINATOR CLICK/POP 6UDFN,1401,0,"0.86000","0","1","Strip","-","Active","Noise Reduction","Consumer Audio","2","Analog","1.7V ~ 5.5V","-40°C ~ 85°C (TA)","35dB","6-WDFN","6-UDFN (2x2)"
https://datasheets.maximintegrated.com/en/ds/MAX9890.pdf,//media.digikey.com/renders/Maxim%20Renders/8-TDFN_21-0137I.jpg,MAX9890AETA+-ND,MAX9890AETA+,Maxim Integrated,IC SUPP CLICK-POP 8TDFN,4734,0,"0.97000","0","1","Strip","-","Active","Noise Reduction","Consumer Audio","2","Analog","2.7V ~ 5.5V","-40°C ~ 85°C (TA)","36dB","8-WDFN Exposed Pad","8-TDFN (3x3)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/41/28/99/f7/e4/7f/40/1d/CD00150996.pdf/files/CD00150996.pdf/jcr:content/translations/en.CD00150996.pdf,//media.digikey.com/Renders/STMicro%20Renders/PowerSSO-36%20Exposed%20Bottom%20Pad.jpg,497-8877-2-ND,STA333ML13TR,STMicroelectronics,IC DAS 2CH MICROLESS POWERSSO36,1000,0,"1.77380","0","1000","Tape & Reel (TR)","Sound Terminal™","Active","Fully Integrated Processor","Pre-Amplifier","2","I²S","4.5V ~ 20V","0°C ~ 70°C (TA)","Direct Digital Amplification","36-BFSOP (0.295"", 7.50mm Width) Exposed Pad","PowerSSO-36 EPD"
http://www.st.com/content/ccc/resource/technical/document/datasheet/41/28/99/f7/e4/7f/40/1d/CD00150996.pdf/files/CD00150996.pdf/jcr:content/translations/en.CD00150996.pdf,//media.digikey.com/Renders/STMicro%20Renders/PowerSSO-36%20Exposed%20Bottom%20Pad.jpg,497-8877-1-ND,STA333ML13TR,STMicroelectronics,IC DAS 2CH MICROLESS POWERSSO36,1777,0,"3.46000","0","1","Cut Tape (CT)","Sound Terminal™","Active","Fully Integrated Processor","Pre-Amplifier","2","I²S","4.5V ~ 20V","0°C ~ 70°C (TA)","Direct Digital Amplification","36-BFSOP (0.295"", 7.50mm Width) Exposed Pad","PowerSSO-36 EPD"
http://www.st.com/content/ccc/resource/technical/document/datasheet/41/28/99/f7/e4/7f/40/1d/CD00150996.pdf/files/CD00150996.pdf/jcr:content/translations/en.CD00150996.pdf,//media.digikey.com/Renders/STMicro%20Renders/PowerSSO-36%20Exposed%20Bottom%20Pad.jpg,497-8877-6-ND,STA333ML13TR,STMicroelectronics,IC DAS 2CH MICROLESS POWERSSO36,1777,0,"Digi-Reel","0","1","Digi-Reel®","Sound Terminal™","Active","Fully Integrated Processor","Pre-Amplifier","2","I²S","4.5V ~ 20V","0°C ~ 70°C (TA)","Direct Digital Amplification","36-BFSOP (0.295"", 7.50mm Width) Exposed Pad","PowerSSO-36 EPD"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group2/bf/fd/d2/bb/05/5e/49/cd/CD00010668/files/CD00010668.pdf/jcr:content/translations/en.CD00010668.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-SOIC.jpg,497-3983-2-ND,TDA7439DS13TR,STMicroelectronics,IC PROCESSOR BALANCE/TONE 28SOIC,1000,0,"1.83400","0","1000","Tape & Reel (TR)","-","Active","Audio Tone Processor","Automotive Audio, Consumer Audio","2","I²C","7V ~ 10.2V","0°C ~ 70°C (TA)","-","28-SOIC (0.295"", 7.50mm Width)","28-SO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group2/bf/fd/d2/bb/05/5e/49/cd/CD00010668/files/CD00010668.pdf/jcr:content/translations/en.CD00010668.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-SOIC.jpg,497-3983-1-ND,TDA7439DS13TR,STMicroelectronics,IC PROCESSOR BALANCE/TONE 28SOIC,1159,0,"3.58000","0","1","Cut Tape (CT)","-","Active","Audio Tone Processor","Automotive Audio, Consumer Audio","2","I²C","7V ~ 10.2V","0°C ~ 70°C (TA)","-","28-SOIC (0.295"", 7.50mm Width)","28-SO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group2/bf/fd/d2/bb/05/5e/49/cd/CD00010668/files/CD00010668.pdf/jcr:content/translations/en.CD00010668.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-SOIC.jpg,497-3983-6-ND,TDA7439DS13TR,STMicroelectronics,IC PROCESSOR BALANCE/TONE 28SOIC,1159,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Audio Tone Processor","Automotive Audio, Consumer Audio","2","I²C","7V ~ 10.2V","0°C ~ 70°C (TA)","-","28-SOIC (0.295"", 7.50mm Width)","28-SO"
https://www.onsemi.com/pub/Collateral/SA575-D.PDF,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/20-TSSOP.jpg,SA575DTBR2GOSTR-ND,SA575DTBR2G,ON Semiconductor,IC COMPANDOR 2CHAN GAIN 20-TSSOP,2500,0,"1.86532","0","2500","Tape & Reel (TR)","-","Active","Compandor","Consumer Audio, Telecommunication Systems","2","Analog","3V ~ 7V","-40°C ~ 85°C (TA)","-","20-TSSOP (0.173"", 4.40mm Width)","20-TSSOP"
https://www.onsemi.com/pub/Collateral/SA575-D.PDF,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/20-TSSOP.jpg,SA575DTBR2GOSCT-ND,SA575DTBR2G,ON Semiconductor,IC COMPANDOR 2CHAN GAIN 20-TSSOP,3130,0,"3.83000","0","1","Cut Tape (CT)","-","Active","Compandor","Consumer Audio, Telecommunication Systems","2","Analog","3V ~ 7V","-40°C ~ 85°C (TA)","-","20-TSSOP (0.173"", 4.40mm Width)","20-TSSOP"
https://www.onsemi.com/pub/Collateral/SA575-D.PDF,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/20-TSSOP.jpg,SA575DTBR2GOSDKR-ND,SA575DTBR2G,ON Semiconductor,IC COMPANDOR 2CHAN GAIN 20-TSSOP,3130,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Compandor","Consumer Audio, Telecommunication Systems","2","Analog","3V ~ 7V","-40°C ~ 85°C (TA)","-","20-TSSOP (0.173"", 4.40mm Width)","20-TSSOP"
