Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Length","Cable Type","Color","Shielding","Usage"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-012-03-ND,K-8846-012-03,Winchester Interconnect,PATCH CORD MID SZ 1' ORANGE,0,0,"18.50000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Orange","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-012-04-ND,K-8846-012-04,Winchester Interconnect,PATCH CORD MID SZ 1' YELLOW,0,0,"18.50000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Yellow","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-012-05-ND,K-8846-012-05,Winchester Interconnect,PATCH CORD MID SZ 1' GREEN,0,0,"18.50000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Green","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-012-06-ND,K-8846-012-06,Winchester Interconnect,PATCH CORD MID SZ 1' BLUE,0,0,"18.50000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Blue","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-012-07-ND,K-8846-012-07,Winchester Interconnect,PATCH CORD MID SZ 1' VIOLET,0,0,"18.50000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Violet","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-012-08-ND,K-8846-012-08,Winchester Interconnect,PATCH CORD MID SZ 1' GRAY,0,0,"18.50000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Gray","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-012-09-ND,K-8846-012-09,Winchester Interconnect,PATCH CORD MID SZ 1' WHITE,0,0,"18.50000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","White","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-012-10-ND,K-8846-012-10,Winchester Interconnect,PATCH CORD MID SZ 1' BLACK,0,0,"18.50000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Black","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-01-ND,K-9075-012-01,Winchester Interconnect,PATCH CORD MID SZ 1' BRN,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Brown","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-02-ND,K-9075-012-02,Winchester Interconnect,PATCH CORD MID SZ 1' RED,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Red","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-03-ND,K-9075-012-03,Winchester Interconnect,PATCH CORD MID SZ 1' ORANGE,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Orange","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-04-ND,K-9075-012-04,Winchester Interconnect,PATCH CORD MID SZ 1' YELLOW,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Yellow","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-05-ND,K-9075-012-05,Winchester Interconnect,PATCH CORD MID SZ 1' GREEN,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Green","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-012-06-ND,K-9075-012-06,Winchester Interconnect,PATCH CORD MID SZ 1' BLUE,0,0,"18.50000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","1.00' (304.80mm)","Round","Blue","Unshielded","Patch"
