Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Type","Current Rating (Amps)","Inductance","ET (Volt-Time)","Turns Ratio - Primary:Secondary","Current Ratio","DC Resistance (DCR)","Ratings","Mounting Type","Size / Dimension","Height - Seated (Max)","Termination Style"
http://productfinder.pulseeng.com/products/datasheets/P578.pdf,//media.digikey.com/Photos/Pulse%20Photos/PE-51686NL.jpg,553-1544-ND,PE-51686NL,Pulse Electronics Power,CURR SENSE XFMR 20A T/H,5140,0,"3.27000","0","1","Tray","THT","Active","20kHz ~ 200kHz","Invasive","20A","5mH","-","-","50:1","50Ohm Primary, 700mOhm Secondary","-","Through Hole","0.670"" L x 0.390"" W (17.01mm x 9.90mm)","0.800"" (20.32mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/CSE187L.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/CSE187L.jpg,237-1103-ND,CSE187L,Triad Magnetics,CURR SENSE XFMR 1:500 30A T/H,28016,17057,"3.31000","0","1","Bulk","CSE","Active","50Hz ~ 400Hz","Invasive","30A","-","-","1:500","-","3mOhm Primary, 21Ohm Secondary","-","Through Hole","0.860"" L x 0.720"" W (21.84mm x 18.29mm)","0.710"" (18.03mm)","PC Pin"
http://productfinder.pulseeng.com/products/datasheets/P578.pdf,//media.digikey.com/Photos/Pulse%20Photos/PE-51687NL.jpg,553-1543-ND,PE-51687NL,Pulse Electronics Power,CURR SENSE XFMR 20A T/H,4467,0,"3.54000","0","1","Tray","THT","Active","20kHz ~ 200kHz","Invasive","20A","20mH","-","-","100:1","100Ohm Primary, 1.4Ohm Secondary","-","Through Hole","0.670"" L x 0.390"" W (17.01mm x 9.90mm)","0.800"" (20.32mm)","PC Pin"
http://productfinder.pulseeng.com/products/datasheets/P578.pdf,//media.digikey.com/Photos/Pulse%20Photos/PE-51688NL.jpg,553-1546-ND,PE-51688NL,Pulse Electronics Power,CURR SENSE XFMR 20A T/H,2410,0,"3.57000","0","1","Tray","THT","Active","20kHz ~ 200kHz","Invasive","20A","80mH","-","-","200:1","200Ohm Primary, 4.5Ohm Secondary","-","Through Hole","0.670"" L x 0.390"" W (17.01mm x 9.90mm)","0.800"" (20.32mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/CSE187L-P.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/CSE187L-P.jpg,237-1628-ND,CSE187L-P,Triad Magnetics,CURR SENSE XFMR 1:500 30A T/H,6118,1700,"5.01000","0","1","Bulk","CSE","Active","50Hz ~ 400Hz","Invasive","30A","-","-","1:500","-","3mOhm Primary, 21Ohm Secondary","-","Through Hole","0.875"" L x 0.875"" W (22.23mm x 22.23mm)","0.720"" (18.29mm)","PC Pin"
http://www.talema.com/uploads/documents/product-datasheets/AP%20Series.pdf,//media.digikey.com/Photos/Talema%20Group%20LLC/AP-1000.jpg,1295-1183-ND,AP-1000,Talema Group LLC,CURR SENSE XFMR 10A T/H,1180,0,"5.01000","0","1","Tray","AP","Active","-","Non-Invasive (Solid Core)","10A","-","-","-","1000:1","70Ohm Max","-","Through Hole","0.677"" L x 0.375"" W (17.20mm x 9.53mm)","0.803"" (20.40mm)","PC Pin"
http://productfinder.pulseeng.com/products/datasheets/P577.pdf,//media.digikey.com/Photos/Pulse%20Photos/PE-67200NL.jpg,553-1554-ND,PE-67200NL,Pulse Electronics Power,CURR SENSE XFMR 38A T/H,2421,0,"5.20000","0","1","Tray","-","Active","10kHz ~ 200kHz","Invasive","38A","80mH","-","-","200:1","200Ohm Primary, 4.5Ohm Secondary","-","Through Hole","0.565"" L x 0.750"" W (14.35mm x 19.05mm)","0.750"" (19.05mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/CST306-2A.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/HIGH%20FREQUENCY%20%20FIG.2%20T%20SERIES.jpg,237-1106-ND,CST306-2A,Triad Magnetics,CURR SENSE XFMR 25A T/H,4608,1791,"5.48000","0","1","Bulk","CST","Active","20kHz ~ 200kHz","Non-Invasive (Solid Core)","25A","14mH","1000VµS","-","100:1","1.55Ohm Max","-","Through Hole","0.690"" L x 0.385"" W (17.53mm x 9.78mm)","0.915"" (23.24mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/CST306-1A.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/HIGH%20FREQUENCY%20%20FIG.2%20T%20SERIES.jpg,237-1104-ND,CST306-1A,Triad Magnetics,CURR SENSE XFMR 35A T/H,1656,0,"5.48000","0","1","Bulk","CST","Active","20kHz ~ 200kHz","Non-Invasive (Solid Core)","35A","3.5mH","500VµS","-","50:1","340mOhm Max","-","Through Hole","0.690"" L x 0.385"" W (17.53mm x 9.78mm)","0.915"" (23.24mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/CST306-3A.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/HIGH%20FREQUENCY%20%20FIG.2%20T%20SERIES.jpg,237-1108-ND,CST306-3A,Triad Magnetics,CURR SENSE XFMR 25A T/H,1203,0,"5.48000","0","1","Bulk","CST","Active","20kHz ~ 200kHz","Non-Invasive (Solid Core)","25A","55mH","2000VµS","-","200:1","3.75Ohm Max","-","Through Hole","0.690"" L x 0.385"" W (17.53mm x 9.78mm)","0.915"" (23.24mm)","PC Pin"
