Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Primary","Voltage - Secondary","Power (Watts)","1st Connector","2nd Connector"
http://www.emerson.com/resource/blob/164082/d714ce434f5d69386623bd943037ed6e/shdcat-buck-boost-data.pdf,-,2106-HS20F2A-ND,HS20F2A,SolaHD,2KVA 120X240-16/32 BB,0,0,"288.57000","0","1","*","Active","-","-","-","-","-","-"
http://www.emerson.com/resource/blob/164082/d714ce434f5d69386623bd943037ed6e/shdcat-buck-boost-data.pdf,-,2106-HS22F2A-ND,HS22F2A,SolaHD,2KVA 240X480-24/48 BB,0,0,"348.33000","0","1","*","Active","-","-","-","-","-","-"
-,-,2106-23-13-030-2-ND,23-13-030-2,SolaHD,30VA CVS VOLTAGE REGULATOR,0,0,"378.46000","0","1","*","Active","-","-","-","-","-","-"
http://www.emerson.com/resource/blob/164082/d714ce434f5d69386623bd943037ed6e/shdcat-buck-boost-data.pdf,-,2106-HS19F3A-ND,HS19F3A,SolaHD,3KVA 120X240-12/24 BB,0,0,"394.44000","0","1","*","Active","-","-","-","-","-","-"
http://www.emerson.com/resource/blob/164082/d714ce434f5d69386623bd943037ed6e/shdcat-buck-boost-data.pdf,-,2106-HS20F3A-ND,HS20F3A,SolaHD,3KVA 120X240-16/32 BB,0,0,"397.85000","0","1","*","Active","-","-","-","-","-","-"
-,-,M8094-ND,M8094,Tamura,"TRANSFORMER, POWER",0,0,"459.49800","0","20","-","Active","Isolation","115V","115V","1VA","-","-"
http://www.emerson.com/resource/blob/164082/d714ce434f5d69386623bd943037ed6e/shdcat-buck-boost-data.pdf,-,2106-HS22F3A-ND,HS22F3A,SolaHD,3KVA 240X480-24/48 BB,0,0,"471.28000","0","1","*","Active","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/AlfaMag%20Elect%20PDFs/MEDBOX_Series.pdf,"//media.digikey.com/Photos/Amgis,%20LLC/MFG_MEDBOX-0300.jpg",TE2303-ND,MEDBOX-0300,"Amgis, LLC",XFRMR MED GRADE ISLTD 120V/120V,0,4,"563.64000","0","1","MEDBOX","Active","Isolation, Medical Grade","120V","120V","300VA","NEMA 5-15P","NEMA 5-15R (4)"
http://www.emerson.com/resource/blob/164082/d714ce434f5d69386623bd943037ed6e/shdcat-buck-boost-data.pdf,-,2106-HS19F5A-ND,HS19F5A,SolaHD,5KVA 120X240-12/24 BB,0,0,"612.16000","0","1","*","Active","-","-","-","-","-","-"
http://www.emerson.com/resource/blob/164082/d714ce434f5d69386623bd943037ed6e/shdcat-buck-boost-data.pdf,-,2106-HS20F5A-ND,HS20F5A,SolaHD,5KVA 120X240-16/32 BB,0,0,"634.28000","0","1","*","Active","-","-","-","-","-","-"
