Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Applications","Intended Chipset","Chipset Manufacturer","Voltage - Primary","Voltage - Auxiliary","Voltage - Isolation","Inductance @ Frequency","Frequency","Operating Temperature","Mounting Type","Size / Dimension","Height - Seated (Max)","Footprint","Style"
https://katalog.we-online.com/ctm/datasheet/750315837.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MID-FLYLT-Series_SurfaceMount.JPG,1297-1191-2-ND,750315837,Wurth Electronics Midcom,XFRMR FLYBACK DC/DC CONV SMD,200,0,"2.34600","0","200","Tape & Reel (TR)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8304","Linear Technology","36 ~ 75V","-","1500Vrms","40µH @ 10kHz","50 ~ 200kHz","-40°C ~ 125°C","Surface Mount","-","0.500"" (12.70mm)","0.530"" L x 0.699"" W (13.46mm x 17.75mm)","-"
https://katalog.we-online.com/ctm/datasheet/750315837.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MID-FLYLT-Series_SurfaceMount.JPG,1297-1191-1-ND,750315837,Wurth Electronics Midcom,XFRMR FLYBACK DC/DC CONV SMD,295,0,"3.04000","0","1","Cut Tape (CT)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8304","Linear Technology","36 ~ 75V","-","1500Vrms","40µH @ 10kHz","50 ~ 200kHz","-40°C ~ 125°C","Surface Mount","-","0.500"" (12.70mm)","0.530"" L x 0.699"" W (13.46mm x 17.75mm)","-"
https://katalog.we-online.com/ctm/datasheet/750315837.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MID-FLYLT-Series_SurfaceMount.JPG,1297-1191-6-ND,750315837,Wurth Electronics Midcom,XFRMR FLYBACK DC/DC CONV SMD,295,0,"Digi-Reel","0","1","Digi-Reel®","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8304","Linear Technology","36 ~ 75V","-","1500Vrms","40µH @ 10kHz","50 ~ 200kHz","-40°C ~ 125°C","Surface Mount","-","0.500"" (12.70mm)","0.530"" L x 0.699"" W (13.46mm x 17.75mm)","-"
https://www.tdk-electronics.tdk.com/inf/85/ds/b82802a.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82802.jpg,495-4445-2-ND,B82802A0012A215,EPCOS (TDK),TRANSFORMER FLYBACK 36-60V SMD,900,0,"2.57400","0","300","Tape & Reel (TR)","B82802A","Active","For DC/DC Converters","Flyback Converters","-","-","36 ~ 60V","-","1500Vrms","100µH @ 100kHz","100kHz","-40°C ~ 125°C","Surface Mount","0.650"" L x 0.681"" W (16.50mm x 17.30mm)","0.341"" (8.65mm)","0.650"" L x 0.902"" W (16.50mm x 22.90mm)","-"
https://www.tdk-electronics.tdk.com/inf/85/ds/b82802a.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82802.jpg,495-4445-1-ND,B82802A0012A215,EPCOS (TDK),TRANSFORMER FLYBACK 36-60V SMD,1166,0,"4.98000","0","1","Cut Tape (CT)","B82802A","Active","For DC/DC Converters","Flyback Converters","-","-","36 ~ 60V","-","1500Vrms","100µH @ 100kHz","100kHz","-40°C ~ 125°C","Surface Mount","0.650"" L x 0.681"" W (16.50mm x 17.30mm)","0.341"" (8.65mm)","0.650"" L x 0.902"" W (16.50mm x 22.90mm)","-"
https://www.tdk-electronics.tdk.com/inf/85/ds/b82802a.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82802.jpg,495-4445-6-ND,B82802A0012A215,EPCOS (TDK),TRANSFORMER FLYBACK 36-60V SMD,1166,0,"Digi-Reel","0","1","Digi-Reel®","B82802A","Active","For DC/DC Converters","Flyback Converters","-","-","36 ~ 60V","-","1500Vrms","100µH @ 100kHz","100kHz","-40°C ~ 125°C","Surface Mount","0.650"" L x 0.681"" W (16.50mm x 17.30mm)","0.341"" (8.65mm)","0.650"" L x 0.902"" W (16.50mm x 22.90mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/P1597(NL).pdf,//media.digikey.com/Photos/Pulse%20Photos/P1597NL.jpg,553-1632-5-ND,P1597NL,Pulse Electronics Power,XFRMR FOR LINEAR TECH CHIPSET,1245,0,"3.05000","0","1","Tray","-","Active","For DC/DC Converters","Isolation","LTC1535","Linear Technology","-","-","2000Vrms","-","-","-40°C ~ 125°C","Surface Mount","0.453"" L x 0.339"" W (11.50mm x 8.60mm)","0.354"" (9.00mm)","0.453"" L x 0.512"" W (11.50mm x 13.00mm)","-"
https://katalog.we-online.de/ctm/datasheet/750313973.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_TRANS%20FLYBACK.jpg,1297-1140-2-ND,750313973,Wurth Electronics Midcom,TRANS FLYBACK LT8301,750,0,"3.43000","0","250","Tape & Reel (TR)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8301","Linear Technology","8 ~ 32V","-","1500Vrms","40µH @ 10kHz","200 ~ 300kHz","-","Surface Mount","-","0.450"" (11.43mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/ctm/datasheet/750313973.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_TRANS%20FLYBACK.jpg,1297-1140-1-ND,750313973,Wurth Electronics Midcom,TRANS FLYBACK LT8301,869,0,"4.93000","0","1","Cut Tape (CT)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8301","Linear Technology","8 ~ 32V","-","1500Vrms","40µH @ 10kHz","200 ~ 300kHz","-","Surface Mount","-","0.450"" (11.43mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/ctm/datasheet/750313973.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_TRANS%20FLYBACK.jpg,1297-1140-6-ND,750313973,Wurth Electronics Midcom,TRANS FLYBACK LT8301,869,0,"Digi-Reel","0","1","Digi-Reel®","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8301","Linear Technology","8 ~ 32V","-","1500Vrms","40µH @ 10kHz","200 ~ 300kHz","-","Surface Mount","-","0.450"" (11.43mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/ctm/datasheet/750342557.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_750342xxx.jpg,732-10695-2-ND,750342557,Wurth Electronics Midcom,"POWER INDUCTOR, MID-IMAXIB",250,0,"3.45600","0","250","Tape & Reel (TR)","MID-IBMAX","Active","For DC/DC Converters","Flyback Converters","-","-","24V","15V @ 100mA","1500Vrms","50µH @ 50kHz","-","-40°C ~ 125°C","Surface Mount","-","0.455"" (11.56mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/ctm/datasheet/750342557.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_750342xxx.jpg,732-10695-1-ND,750342557,Wurth Electronics Midcom,"POWER INDUCTOR, MID-IMAXIB",487,0,"5.76000","0","1","Cut Tape (CT)","MID-IBMAX","Active","For DC/DC Converters","Flyback Converters","-","-","24V","15V @ 100mA","1500Vrms","50µH @ 50kHz","-","-40°C ~ 125°C","Surface Mount","-","0.455"" (11.56mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/ctm/datasheet/750342557.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_750342xxx.jpg,732-10695-6-ND,750342557,Wurth Electronics Midcom,"POWER INDUCTOR, MID-IMAXIB",487,0,"Digi-Reel","0","1","Digi-Reel®","MID-IBMAX","Active","For DC/DC Converters","Flyback Converters","-","-","24V","15V @ 100mA","1500Vrms","50µH @ 50kHz","-","-40°C ~ 125°C","Surface Mount","-","0.455"" (11.56mm)","0.525"" L x 0.600"" W (13.34mm x 15.24mm)","-"
https://katalog.we-online.de/pbs/datasheet/750312367.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/75031236x.jpg,1297-1017-2-ND,750312367,Wurth Electronics Midcom,POE TRANSFORMER WE-POE LT8300,1600,0,"3.47400","0","400","Tape & Reel (TR)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8300","Linear Technology","22 ~ 72V","-","1500Vrms","300µH @ 10kHz","100kHz","-40°C ~ 125°C","Surface Mount","-","0.342"" (8.69mm)","0.400"" L x 0.526"" W (10.16mm x 13.36mm)","-"
https://katalog.we-online.de/pbs/datasheet/750312367.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/75031236x.jpg,1297-1017-1-ND,750312367,Wurth Electronics Midcom,POE TRANSFORMER WE-POE LT8300,1650,0,"4.17000","0","1","Cut Tape (CT)","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8300","Linear Technology","22 ~ 72V","-","1500Vrms","300µH @ 10kHz","100kHz","-40°C ~ 125°C","Surface Mount","-","0.342"" (8.69mm)","0.400"" L x 0.526"" W (10.16mm x 13.36mm)","-"
https://katalog.we-online.de/pbs/datasheet/750312367.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/75031236x.jpg,1297-1017-6-ND,750312367,Wurth Electronics Midcom,POE TRANSFORMER WE-POE LT8300,1650,0,"Digi-Reel","0","1","Digi-Reel®","WE-FB, MID-FLYLT","Active","For DC/DC Converters","Flyback Converters","LT8300","Linear Technology","22 ~ 72V","-","1500Vrms","300µH @ 10kHz","100kHz","-40°C ~ 125°C","Surface Mount","-","0.342"" (8.69mm)","0.400"" L x 0.526"" W (10.16mm x 13.36mm)","-"
