Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Turns Ratio - Primary:Secondary","Impedance - Primary (Ohms)","Impedance - Secondary (Ohms)","DC Resistance (DCR) - Primary","DC Resistance (DCR) - Secondary","Transformer Type","Frequency Range","Frequency Response","Voltage - Isolation","Insertion Loss","Return Loss","Power Level","Operating Temperature","Approvals","Mounting Type","Size / Dimension","Height - Seated (Max)","Termination Style"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/T1104.pdf,//media.digikey.com/photos/Tamura%20Photos/T1104.jpg,MT4112-ND,T1104,Tamura,TRANSFORMER TELE 600 OHM 0 MADC,2796,0,"7.28000","0","1","Tray","-","Active","-","600","600","46Ohm","63Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±0.5dB","1500VRMS @ 1 Minute","1dB Typ @ 1kHz","26dB Min","-45dB ~ 7dB","-","CSA-C22.2 No. 950-M89, UL1459, UL1950","Through Hole","0.780"" L x 0.654"" W (19.80mm x 16.60mm)","0.469"" (11.90mm)","PC Pin"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/TTC-170.pdf,//media.digikey.com/photos/Tamura%20Photos/TTC-170.jpg,MT4140-ND,TTC-170,Tamura,TRANSF TELE COUP 600:600 0MADC,10403,0,"7.31000","0","1","Bulk","TTC","Active","1:1","600","600","47Ohm","61Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±0.5dB","1500VRMS @ 1 Minute","1.5dB Max @ 1kHz","-","-","0°C ~ 70°C","CSA-C22.2 No. 66-M1988, UL1459","Through Hole","0.528"" L x 0.512"" W (13.40mm x 13.00mm)","0.421"" (10.70mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/MET-39-T.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MET-xx-T.JPG,237-1466-ND,MET-39-T,Triad Magnetics,TRANSFORMER 500:50 3.0MADC,333,0,"10.23000","0","1","Bulk","MET","Active","3.16:1","500","50","55Ohm","8Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/MET-46-T.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MET-46-T.JPG,237-1470-ND,MET-46-T,Triad Magnetics,TEL TRANS 600:600 3.0MADC,1887,0,"10.35000","0","1","Bulk","MET","Active","1:1","600","600","85Ohm","110Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-39.pdf,"//media.digikey.com/photos/Tamura%20Photos/MET-28,%20MET-39,%20MET-42,%20MET-46.jpg",MT4155-ND,MET-39,Tamura,TRANSFORMER 500:50 3.0MADC,1852,0,"11.02000","0","1","Bulk","MET","Active","3.16:1","500","50","55Ohm","8Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","500VRMS @ 30 Seconds","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/MET-31-T.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MET-Series.jpg,237-1469-ND,MET-31-T,Triad Magnetics,TRANSFORMER 600CT:600CT 3.0MADC,2632,3192,"11.04000","0","1","Bulk","MET","Active","1:1","600CT","600CT","70Ohm","95Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-46.pdf,"//media.digikey.com/photos/Tamura%20Photos/MET-28,%20MET-39,%20MET-42,%20MET-46.jpg",MT4110-ND,MET-46,Tamura,TEL TRANS 600:600 3.0MADC,8891,0,"11.15000","0","1","Bulk","MET","Active","1:1","600","600","85Ohm","110Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±1dB","1500VRMS @ 1 Minute","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-35.pdf,//media.digikey.com/photos/Tamura%20Photos/MET-35.jpg,MT4153-ND,MET-35,Tamura,TRANSFORMER 600CT:8 4.5MADC,3844,0,"11.73000","0","1","Bulk","MET","Active","8.66:1","600CT","8","60Ohm","1.5Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 30 Seconds","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-23.pdf,"//media.digikey.com/photos/Tamura%20Photos/MET-23,%20MET-29,%20MET-39.jpg",MT4148-ND,MET-23,Tamura,TRANSFORMER 1.6KCT:3.2 2.5MADC,1256,0,"11.86000","0","1","Bulk","MET","Active","22.4:1","1.6kCT","3.2","230Ohm","1Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±3dB","500VRMS @ 30 Seconds","-","-","65mW Max @ 300Hz","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-60.pdf,//media.digikey.com/Photos/Tamura%20Photos/MET-60.jpg,MT7364-ND,MET-60,Tamura,TRANSFORMER 135:135CT 10.0MADC,5873,0,"12.45000","0","1","Bulk","MET","Active","1:1","135","135CT","10.5Ohm","10.8Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1500VRMS @ 1 Minute","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
