Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Inductance","For Use With/Related Products","Mounting Type","Size / Dimension","Height - Seated (Max)"
https://www.murata-ps.com/data/magnetics/kmp_782485c.pdf,//media.digikey.com/Photos/Murata%20Photos/782485-SERIES.jpg,811-1203-5-ND,782485/35C,Murata Power Solutions Inc.,XFRMR 1:2.2 T/H ADM2485 ANLG DEV,6915,0,"2.10000","0","1","782485","Active","234µH","ADM2485","Through Hole","0.360"" L x 0.385"" W (9.14mm x 9.77mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253j.pdf,//media.digikey.com/Photos/Murata%20Photos/DA103MC.JPG,811-3112-2-ND,78253/55JC-R,Murata Power Solutions Inc.,XFRMR 1:1.31 SMD MAX253,3500,0,"2.10000","0","500","78253J","Active","830µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.250"" (6.35mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253j.pdf,//media.digikey.com/Photos/Murata%20Photos/DA103MC.JPG,811-3112-1-ND,78253/55JC-R,Murata Power Solutions Inc.,XFRMR 1:1.31 SMD MAX253,3854,0,"2.30000","0","1","78253J","Active","830µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.250"" (6.35mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253j.pdf,//media.digikey.com/Photos/Murata%20Photos/DA103MC.JPG,811-3112-6-ND,78253/55JC-R,Murata Power Solutions Inc.,XFRMR 1:1.31 SMD MAX253,3854,0,"Digi-Reel","0","1","78253J","Active","830µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.250"" (6.35mm)"
http://www.echelon.com/assets/blt2c0835f4936060ac/FT3120-Smart-Transceiver-datasheet.pdf,-,1499-1061-2-ND,14250R-300,Echelon Corporation,FT-X2 SURFACE MOUNT COMMUNICATIO,3300,0,"2.15800","0","300","-","Active","-","FT 3120, 3150 Smart Transceivers","Surface Mount","0.560"" L x 0.660"" W (14.22mm x 16.77mm)","0.322"" (8.18mm)"
http://www.echelon.com/assets/blt2c0835f4936060ac/FT3120-Smart-Transceiver-datasheet.pdf,-,1499-1061-1-ND,14250R-300,Echelon Corporation,FT-X2 SURFACE MOUNT COMMUNICATIO,3412,0,"2.37000","0","1","-","Active","-","FT 3120, 3150 Smart Transceivers","Surface Mount","0.560"" L x 0.660"" W (14.22mm x 16.77mm)","0.322"" (8.18mm)"
http://www.echelon.com/assets/blt2c0835f4936060ac/FT3120-Smart-Transceiver-datasheet.pdf,-,1499-1061-6-ND,14250R-300,Echelon Corporation,FT-X2 SURFACE MOUNT COMMUNICATIO,3412,0,"Digi-Reel","0","1","-","Active","-","FT 3120, 3150 Smart Transceivers","Surface Mount","0.560"" L x 0.660"" W (14.22mm x 16.77mm)","0.322"" (8.18mm)"
http://www.echelon.com/assets/blt2c0835f4936060ac/FT3120-Smart-Transceiver-datasheet.pdf,//media.digikey.com/Photos/Echelon%20Photos/14240R.JPG,1499-1060-ND,14240R,Echelon Corporation,FT-X1 COMMUNICATION TRANSFORMER,1215,0,"2.16000","0","1","-","Active","-","FT 3120, 3150 Smart Transceivers","Through Hole","0.701"" L x 0.539"" W (17.80mm x 13.70mm)","0.283"" (7.20mm)"
https://www.bourns.com/docs/Product-Datasheets/SMLP5001.pdf,//media.digikey.com/Photos/Bourns%20Photos/SM-LP-5001.JPG,SM-LP-5001-ND,SM-LP-5001,Bourns Inc.,TRANSFORMER LINE MATCHING SMD,1405,0,"2.22000","0","1","SM-LP-5001","Active","3.8H","-","Surface Mount","0.354"" L x 0.504"" W (9.00mm x 12.80mm)","0.295"" (7.50mm)"
https://www.bourns.com/docs/product-datasheets/lmnplp3de273bdfd3a43dda6c484c8e0ed9f33.pdf,//media.digikey.com/Photos/Bourns%20Photos/LM-LP-1001L.JPG,LM-NP-1001-B1L-ND,LM-NP-1001-B1L,Bourns Inc.,TRANSF LINE MATCHING,3263,0,"2.25000","0","1","LM-NP-1000","Active","2.8H","-","Through Hole","0.700"" L x 0.700"" W (17.70mm x 17.70mm)","0.504"" (12.80mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2056-2-ND,PH9185.034NLT,Pulse Electronics Power,TRANSFORMER 750UH 3:4 SMD,3000,0,"2.32900","0","150","PH9185","Active","750µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2056-1-ND,PH9185.034NLT,Pulse Electronics Power,TRANSFORMER 750UH 3:4 SMD,3150,0,"4.37000","0","1","PH9185","Active","750µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
http://productfinder.pulseeng.com/products/datasheets/P708.pdf,//media.digikey.com/Photos/Pulse%20Photos/PH9185.jpg,553-2056-6-ND,PH9185.034NLT,Pulse Electronics Power,TRANSFORMER 750UH 3:4 SMD,3150,0,"Digi-Reel","0","1","PH9185","Active","750µH","MAX253","Surface Mount","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.492"" (12.50mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253.pdf,//media.digikey.com/Photos/Murata%20Photos/78253S-SERIES.jpg,811-1273-5-ND,78253/35MC,Murata Power Solutions Inc.,XFRMR 3.3V IN 5V OUT MAX 253 SMD,5597,0,"2.66000","0","1","78253","Not For New Designs","142µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
