Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Specifications"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-HDW-109.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-HDW-109.jpg,1241-1159-ND,VL-HDW-109,VersaLogic Corporation,EUSB MOUNTING KIT,10,0,"12.00000","0","1","-","Active","Hardware","eUSB Mounting Hardware Kit"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-CBR-2603.pdf,//media.digikey.com/photos/VersaLogic%20Photos/VL-CBR-2603.jpg,1241-1428-ND,VL-CBR-2603,VersaLogic Corporation,SERIAL I/O (I2C UART SPI). 26-PI,8,0,"12.00000","0","1","-","Active","Cable","Serial I/O (I2C, UART, SPI). 26-pin 2 mm IDC to Ribbon Cable, 0.5m"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-CBR-0601.pdf,-,1241-1455-ND,VL-CBR-0601,VersaLogic Corporation,12V 6-PIN LED BACKLIGHT CABLE,4,0,"18.00000","0","1","-","Active","Cable","12"" 12V 6-pin LED Backlight Cable"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-CBR-0405.pdf,//media.digikey.com/photos/VersaLogic%20Photos/VL-CBR-0405.jpg,1241-1426-ND,VL-CBR-0405,VersaLogic Corporation,CAN BUS CABLE 2MM 4-PIN TO 2MM 4,5,0,"19.00000","0","1","-","Active","Cable","CAN bus cable, 2mm 4-pin to 2mm 4-pin MicroClasp, 1m"
https://www.versalogic.com/Products/PDF/DS-MPEs-F1.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-MPES-F1E4.jpg,1241-1450-ND,VL-MPES-F1E4,VersaLogic Corporation,4 GB MSATA DRIVE MINIPCIE IT,1,0,"180.00000","0","1","-","Active","Memory Module","4GB mSATA Drive, Mini PCIe Module, Industrial Temp"
http://downloadt.advantech.com/ProductFile/PIS/UBC-DS31/Product%20-%20Datasheet/UBC-DS31_DS(05.21.15)20150708114826.pdf,-,1990022423S000-ND,1990022423S000,Advantech Corp,FIX RING FWM-8K FOR UBC-DS31,0,0,"0.33000","0","1","-","Active","Hardware","Fixed Ring"
http://downloadt.advantech.com/ProductFile/PIS/UBC-DS31/Product%20-%20Datasheet/UBC-DS31_DS(05.21.15)20150708114826.pdf,-,1990022422S000-ND,1990022422S000,Advantech Corp,FIXED RAIL YJC-64C FOR UBC-DS31,0,0,"0.37000","0","1","-","Active","Hardware","Fixed Rail, 71.3 x 6.2mm"
http://downloadt.advantech.com/ProductFile/PIS/PCM-3363/Product%20-%20Datasheet/PCM-3363_DS(01.15.14)20140205144952.pdf,-,1700018259-ND,1700018259,Advantech Corp,PWR CBL SATA FOR ONBOARD CONN 5V,0,0,"1.54000","0","1","-","Active","Cable","SATA Cable"
http://advdownload.advantech.com/productfile/Downloadfile/1-150B8J/1701340700_ds.pdf,-,1701340700-ND,1701340700,Advantech Corp,CBL FLAT 34PIN FOR 9696937580E,0,0,"2.66000","0","1","-","Active","Cable","Flat Cable, 70cm"
http://downloadt.advantech.com/ProductFile/PIS/EWM-C109F601E/Product%20-%20Datasheet/EWM-C109F601E_DS(04.28.17)20170516171746.pdf,-,1750005865-ND,1750005865,Advantech Corp,ANT 3G 10.9CM 50OHM ANT8921F,0,0,"2.66000","0","1","-","Active","Antenna","Dipole Antenna, 109mm"
http://advdownload.advantech.com/productfile/Downloadfile/1-150B8J/1701340700_ds.pdf,-,1703060191-ND,1703060191,Advantech Corp,KBMS CBL 1"" 6P 2.5/DIN-6P,0,0,"2.81000","0","1","-","Active","Cable","KBMS Cable"
http://downloadt.advantech.com/ProductFile/PIS/UBC-200/Product%20-%20Datasheet/UBC-200_DS(03.10.16)20160316105517.pdf,-,1960015198T011-ND,1960015198T011,Advantech Corp,DIN-RAIL FOR UBC-200,0,0,"2.93000","0","1","-","Active","Hardware","DIN Rail"
http://downloadt.advantech.com/ProductFile/PIS/PCM-3362/Product%20-%20Datasheet/PCM-3362_DS(01.15.14)20140205144932.pdf,-,1700018427-ND,1700018427,Advantech Corp,CBL CONN PCM3362 PCA-AUDIO-HDA1E,0,0,"3.00000","0","1","-","Active","Cable","Audio Cable"
-,-,1700022373-01-ND,1700022373-01,Advantech Corp,DEBUG PORT CBL FOR ROM-3420/5420,0,0,"3.05000","0","1","-","Active","Cable","Debug Cable"
-,-,1702002600-01-ND,1702002600-01,Advantech Corp,PWR CBL 183CM 1757004522-01 USA,0,0,"3.26000","0","1","-","Active","Power Cord","Power Cable, 183cm, USA"
http://advdownload.advantech.com/productfile/PIS/MIO-5270/Product%20-%20Datasheet/MIO-5270_DS(01.05.18)20180105144006.pdf,-,1700006291-ND,1700006291,Advantech Corp,CBL SATA2 7P/7P 30CM C=R 180/90,0,0,"3.35000","0","1","-","Active","Cable","SATA2 Cable, 30cm"
http://origindownload.advantech.com/ProductFile/PIS/aimb-214/Product%20-%20Datasheet/AIMB-214-A101-3_DS(08.25.16)-final20160825144341.pdf,-,1700018699-ND,1700018699,Advantech Corp,KBMS CBL 6P 2.5/DIM-6P 25CM,0,0,"3.75000","0","1","-","Active","Cable","KBMS Cable"
