Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Edition","License Length","License - User Details","Operating System","For Use With/Related Products","Media Delivery Type"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2702579_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700192.jpg,277-16741-ND,2702579,Phoenix Contact,MGUARD SECURE VPN CLIENT LIC,8,30,"171.00000","0","1","-","Active","License","Virtual Private Network (VPN)","-","-","-","Windows 7, 8, 10","mGuard Secure VPN Client","-"
https://www.nxp.com/docs/en/quick-reference-guide/926-76000.pdf,//media.digikey.com/Photos/Freescale%20Photos/CodeWarrior.jpg,CWT-BASIC-ND,CWT-BASIC,NXP USA Inc.,SUPPORT TECH CW BASIC SUITE,3,0,"220.45000","0","1","CodeWarrior™","Active","Tech Support","Programming","Basic","1 Year Renewal","-","-","Code Warrior™ Software","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/c2/c20/c200/c200x400a51/media/D-IDCB61--SA-ENG-ArcFlashLabelingSolutions.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PROG-EMCD3.JPG,298-18600-ND,PROG-EMCD3,Panduit Corp,EASY-MARK LABEL SOFTWARE CD-ROM,3,0,"270.22000","0","1","-","Active","Labeling Software","-","-","-","-","Windows","Easy-Mark™","CD/DVD"
http://cache.freescale.com/files/soft_dev_tools/doc/fact_sheet/BRCWPPI.pdf,//media.digikey.com/Photos/Freescale%20Photos/CodeWarrior.jpg,CWA-BASIC-R-ND,CWA-BASIC-R,NXP USA Inc.,SOFTWARE SUPPORT ANNUAL CW BASIC,2,0,"429.76000","0","1","CodeWarrior™","Active","Integrated Development Environment (IDE)","Programming","Basic","1 Year Renewal","-","-","Code Warrior™ Software","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-4162.pdf,-,WM21397-ND,1120275015,Molex,SERV:SIEMENS:S/W:SERIAL:FULL:UKE,7,0,"1405.98000","0","1","-","Active","License","-","-","-","-","-","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-4162.pdf,-,WM21393-ND,1120270002,Molex,SERV:ETHERNET:S/W:SERIAL:FULL:SK,2,0,"1637.10000","0","1","-","Active","License","-","-","-","-","-","-","-"
http://ww1.microchip.com/downloads/en/DeviceDoc/50002208A.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MPLAB_XC_Compiler_Logo.jpg,SW006021-2H-ND,SW006021-2H,Microchip Technology,WORKSTATION LICENSE MPLAB XC PRO,4,0,"199.99000","0","1","-","Active","Compiler (Renewal)","Programming","Professional","1 Year","-","-","PIC","Electronically Delivered"
https://www.echelon.com/assets/blt58fedc782f11e44b/Izot_Commissioning_Tool_4.1_Datasheet.pdf,-,1499-1077-ND,38050-401,Echelon Corporation,KEY IZOT COMMISSION TOOL PRO ED,3,0,"1651.98000","0","1","-","Active","Design, Commissioning Tool","Networking","Professional","-","-","-","IzoT","Electronically Delivered"
http://download.mikroe.com/documents/compilers/mikroc/arm/mikroc-arm-creating-fiirst-project-v100a.pdf,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-1961.jpg,1471-1672-ND,MIKROE-1961,MikroElektronika,MIKROC PRO FOR ARM,3,0,"304.98000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Professional","Perpetual","-","Windows","ARM®","Electronically Delivered"
https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/hb/qts/qts-qps-handbook.pdf,//media.digikey.com/photos/Altera%20Photos/modelsim.jpg,544-2590-ND,SW-MODELSIM-AE,Intel,SOFTWARE MODELSIM INTEL FPGA,5,0,"1995.01000","0","1","-","Active","Simulation, FPGA","Programming","ModelSim Intel® FPGA Edition","1 Year","-","Linux, Windows","Arria, Cyclone, Stratix","Electronically Delivered"
