Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Segger%20PDFs/J-Link%20Adapters.pdf,//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/MFG_8.06.08-J-LINK-MICTOR-38-ADAPTER.jpg,899-1048-ND,8.06.08 J-LINK MICTOR 38 ADAPTER,Segger Microcontroller Systems,J-LINK MICTOR 38 ADAPTER,8,0,"132.81000","0","1","-","Active","Adapter Board","J-Link"
//media.digikey.com/pdf/Data%20Sheets/Segger%20PDFs/J-Link_Measurement+Patch_Adapter_Web.pdf,//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/8.06.13%20J-LINK-MEASUREMENT+PATCH-ADAPTER.jpg,899-1030-ND,8.06.13 J-LINK MEASUREMENT+PATCH ADAPTER,Segger Microcontroller Systems,ADAPTER J-LINK MEASUREMENT+PATCH,6,0,"132.81000","0","1","-","Active","Adapter Board","J-Link"
https://www.nxp.com/docs/en/user-guide/BATT-14AAAPACKUG.pdf,//media.digikey.com/Photos/NXP%20Semi%20Photos/BATT-14AAAPACK.jpg,568-13902-ND,BATT-14AAAPACK,NXP USA Inc.,BATTERY PACK - 14 AAA CELLS,10,0,"144.84000","0","1","-","Active","Battery Holder","MC3377x"
http://ww1.microchip.com/downloads/jp/DeviceDoc/jp527968.pdf,//media.digikey.com/photos/Microchip%20Tech%20Photos/MFG_AC244002.jpg,AC244002-ND,AC244002,Microchip Technology,PAK PERFORMANCE MPLAB REAL ICE,8,0,"159.98000","0","1","MPLAB®","Active","LVDS Performance Pak","DV244005"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TMDSADP_Web.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/TMDSADP1414.JPG,296-31408-ND,TMDSADP1414,Texas Instruments,ADAPTER FOR JTAG EMULATOR,3,0,"160.19000","0","1","-","Active","Emulator Target Package Adapter","XDS510, XDS560"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TMDSADP_Web.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/TMDSADPEMU-20A.JPG,296-31051-ND,TMDSADPEMU-20A,Texas Instruments,ADAPTER JTAG EMULATOR 14/20 PIN,2,0,"161.21000","0","1","-","Active","Emulator Target Package Adapter","XDS510, XDS560"
https://www.nxp.com/docs/en/fact-sheet/S32V234FS.pdf,//media.digikey.com/Photos/NXP%20Semi%20Photos/MFG_OV10640CSP-S32V.jpg,568-13528-ND,OV10640CSP-S32V,NXP USA Inc.,OMNIVISION MIPI CAMERA FOR SBC-S,11,0,"162.43000","0","1","-","Active","Camera","S32V234"
-,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/PICOPROG-V30.jpg,PICOPROGV30-ND,PICOPROG V30,ams,PICOPROG UNI V3.0 SYSTEM,5,0,"168.75000","0","1","-","Active","Interface Board","-"
https://www.infineon.com/dgdl/Board_Users_Manual_General%20Purpose%20Drive%20Card_R1%200.pdf?fileId=db3a304339dcf4b10139f820254e2cf0,//media.digikey.com/Photos/Infineon%20Photos/KIT_XMC4X_MOT_GPDLV_001.JPG,KITXMC4XMOTGPDLV001TOBO1-ND,KITXMC4XMOTGPDLV001TOBO1,Infineon Technologies,KIT MOTOR DRIVE FOR XMC4500,2,0,"178.20000","0","1","XMC4000","Active","Interface Board","XMC4500"
//media.digikey.com/pdf/Data%20Sheets/Vishay%20Dale%20PDFs/87784.pdf,//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_87784.jpg,541-2643-ND,MPCL87784,Vishay Dale,8 PIN ENCODER CABLE,18,0,"187.50000","0","1","-","Active","Cable Assembly","-"
-,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TMDXIDK57X-LCD.jpg,296-46781-ND,TMDXIDK57X-LCD,Texas Instruments,AM57X IDK LCD KIT,4,0,"206.64000","0","1","-","Active","LCD Display","AM57x"
http://www.ti.com/lit/pdf/slvu238,//media.digikey.com/Photos/Texas%20Instr%20Photos/WLEDEVM-260.jpg,296-31350-ND,WLEDEVM-260,Texas Instruments,EVAL MOUDLE LOAD BOARD,2,19,"206.64000","0","1","-","Active","LED Board","TPS61181EVM-259, TPS61182EVM-259"
http://www.anaheimautomation.com/manuals/brushless/L010229%20-%20BLWS23%20Series%20Product%20Sheet.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/HVBLDCMTR.jpg,296-25718-ND,HVBLDCMTR,Texas Instruments,KIT BRUSHLESS DC MOTOR,2,1,"206.64000","0","1","-","Active","Brushless DC (BLDC) Motor","TMDSHVMTRPFCKIT"
https://www.apexanalog.com/resources/products/ek09u.pdf,//media.digikey.com/photos/Cirrus%20Logic%20Photos/EK09.JPG,598-1389-ND,EK09,Apex Microtechnology,KIT EVAL FOR T03 & MO127 PKGS,6,0,"209.23000","0","1","Apex Precision Power®","Active","Enclosure Kit","-"
http://cache.freescale.com/files/32bit/doc/user_guide/TWR-LCD-RGB_UM.pdf,//media.digikey.com/Photos/Freescale%20Photos/MFG_TWR-LCD-RGB_BDTN.jpg,TWR-LCD-RGB-ND,TWR-LCD-RGB,NXP USA Inc.,LCD RGB MODULE FOR TWR SYSTEM,6,0,"264.56000","0","1","-","Active","LCD Display","Freescale Tower System"
http://ww1.microchip.com/downloads/en/DeviceDoc/51616B.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/ac244005.JPG,AC244005-ND,AC244005,Microchip Technology,KIT MPLAB REAL ICE ISOLATOR,2,0,"299.99000","0","1","MPLAB®","Active","Isolator","MPLAB™ICE, AC244002"
http://www.ti.com/lit/pdf/slvu571,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_SMV512K32-CVAL.jpg,296-45836-ND,SMV512K32-CVAL,Texas Instruments,BOARD BREAKOUT SMV512K32,3,0,"310.38000","0","1","-","Active","Breakout Board","SMV512K32"
http://www.ti.com/lit/pdf/sluu238,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_BQMTESTER.jpg,296-19619-ND,BQMTESTER,Texas Instruments,BOARD MULTI-CHANNEL TEST & PROG,2,30,"310.48000","0","1","-","Active","Test Board","BQ20Z80 Modules"
http://ww1.microchip.com/downloads/en/DeviceDoc/52105A.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MFG_AC244008.jpg,AC244008-ND,AC244008,Microchip Technology,MONITOR MPLAB REAL ICE PWR,3,0,"379.99000","0","1","MPLAB®","Active","Interface Board","MPLAB™ REAL ICE"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1863_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1863.jpg,1528-1862-ND,1863,Adafruit Industries LLC,SLIDE SWITCH BREAKOUT,32,0,"2.50000","0","1","-","Active","Interface Board","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/702_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/702.jpg,1528-1052-ND,702,Adafruit Industries LLC,PROTO PLATE,36,0,"7.95000","0","1","-","Active","Mounting Kit","BeagleBone Boards"
http://www.4dsystems.com.au/productpages/4Display-Shield-FT843/downloads/4Display-Shield-FT843-ADAM_datasheet_R_1_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/MFG_ADAM.jpg,1613-1026-ND,ADAM,4D Systems Pty Ltd,ADAPTER BOARD 4DLCD-FT843,15,0,"20.40000","0","1","-","Not For New Designs","Interface Board","Arduino Mini or other MCU Boards"
