Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status"
-,-,PI3USB31531ZLCEXDITR-ND,PI3USB31531ZLCEX,Diodes Incorporated,IC USB3 SWITCH W-QFN3060-40,0,0,"Active","0","0","*","Active"
-,-,AP7343DQ-33W5-7DICT-ND,AP7343DQ-33W5-7,Diodes Incorporated,LDO CMOS LOWCURR SOT25,0,96000,"Active","0","0","*","Active"
-,-,AP7343Q-09W5-7DICT-ND,AP7343Q-09W5-7,Diodes Incorporated,LDO CMOS LOWCURR SOT25,0,99000,"Active","0","0","*","Active"
-,-,PI3USB31531ZTFAEXDITR-ND,PI3USB31531ZTFAEX,Diodes Incorporated,IC USB3 SWITCH U-QFN3050-40,0,0,"Active","0","0","*","Active"
-,-,PI3USB31531ZTFAEXDIDKR-ND,PI3USB31531ZTFAEX,Diodes Incorporated,IC USB3 SWITCH U-QFN3050-40,0,0,"Digi-Reel","0","0","*","Active"
-,-,623-20GB-WM-06AU03-09-2000-0001-ND,20GB-WM-06AU03-09-2000-0001,Amphenol PCD,PLUG C/ASSY WITH FLYING LEAD (2M,0,0,"Active","0","0","*","Active"
-,-,AP7383-18W5-7DIDKR-ND,AP7383-18W5-7,Diodes Incorporated,LDO CMOS LOWCURR SOT25 T&R 3K,0,3000,"Digi-Reel","0","0","*","Active"
-,-,623-20GB-WM-00AU03-09-2000-0001-ND,20GB-WM-00AU03-09-2000-0001,Amphenol PCD,REC C/ASSY WITH FLYING LEAD (2M),0,0,"Active","0","0","*","Active"
-,-,AP7383-18W5-7DICT-ND,AP7383-18W5-7,Diodes Incorporated,LDO CMOS LOWCURR SOT25 T&R 3K,0,3000,"Active","0","0","*","Active"
-,-,587-6432-2-ND,MCEE1005TR47MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 0.4",0,0,"Active","0","0","*","Active"
-,-,623-20GB-WM-00AU03-09-1000-0001-ND,20GB-WM-00AU03-09-1000-0001,Amphenol PCD,REC C/ASSY WITH FLYING LEAD (1M),0,0,"Active","0","0","*","Active"
-,-,VLS201610MNT-1R5N-ND,VLS201610MNT-1R5N,TDK Corporation,FIXED INDUCTOR SMD 2016,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,623-20GB-WM-06AU03-09-1000-0001-ND,20GB-WM-06AU03-09-1000-0001,Amphenol PCD,PLUG C/ASSY WITH FLYING LEAD (1M,0,0,"Active","0","0","*","Active"
-,-,MAX40025AAWT+-ND,MAX40025AAWT+,Maxim Integrated,IC 280PS COMPARATOR LVDS 6WLP,0,0,"Active","0","0","*","Active"
-,-,587-6430-2-ND,MCEE1005TR10MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 0.1",0,0,"Active","0","0","*","Active"
-,-,587-6431-2-ND,MCEE1005TR22MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 0.2",0,0,"Active","0","0","*","Active"
-,-,587-6433-2-ND,MCEE1005T1R0MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 1.0",0,0,"Active","0","0","*","Active"
-,-,587-6430-1-ND,MCEE1005TR10MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 0.1",0,0,"Active","0","0","*","Active"
-,-,587-6431-1-ND,MCEE1005TR22MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 0.2",0,0,"Active","0","0","*","Active"
-,-,587-6432-1-ND,MCEE1005TR47MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 0.4",0,0,"Active","0","0","*","Active"
-,-,587-6433-1-ND,MCEE1005T1R0MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 1.0",0,0,"Active","0","0","*","Active"
-,-,587-6430-6-ND,MCEE1005TR10MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 0.1",0,0,"Digi-Reel","0","0","*","Active"
-,-,587-6431-6-ND,MCEE1005TR22MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 0.2",0,0,"Digi-Reel","0","0","*","Active"
-,-,587-6432-6-ND,MCEE1005TR47MHN,Taiyo Yuden,"INDUCTOR,MCOIL HIGH CURRENT, 0.4",0,0,"Digi-Reel","0","0","*","Active"
