Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance Range","Adjustment Type","Voltage - Rated","Dielectric Material","Q @ Freq","Size / Dimension","Height - Seated (Max)","Operating Temperature","Mounting Type","Features"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GXE3R511.JPG,SG9137-ND,GXE3R511,Sprague-Goodman,CAP TRIMMER 1-3.5PF 300V TH,1927,0,"5.15000","0","1","Bulk","FILMTRIM®","Active","1 ~ 3.5pF","Top and Bottom","300V","Polytetrafluoroethylene (PTFE)","1500 @ 1MHz","0.291"" L x 0.264"" W (7.40mm x 6.70mm)","0.315"" (8.00mm)","-40°C ~ 125°C","Through Hole","General Purpose"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GZA30000.jpg,SG9150-ND,GZA30000,Sprague-Goodman,CAP TRIMMER 2.5-30PF 100V TH,590,0,"5.34000","0","1","Bulk","FILMTRIM®","Active","2.5 ~ 30pF","Top and Bottom","100V","Polycarbonate (PC)","200 @ 1MHz","0.335"" L x 0.295"" W (8.50mm x 7.50mm)","0.402"" (10.20mm)","-40°C ~ 85°C","Through Hole","General Purpose"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GYC20004.JPG,SG9148-ND,GYC20004,Sprague-Goodman,CAP TRIMMER 3-20PF 100V TH,496,0,"5.34000","0","1","Bulk","FILMTRIM®","Active","3 ~ 20pF","Top and Bottom","100V","Polypropylene (PP)","1000 @ 1MHz","0.433"" L x 0.374"" W (11.00mm x 9.50mm)","0.402"" (10.20mm)","-40°C ~ 70°C","Through Hole","General Purpose"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GXE18011.JPG,SG9135-ND,GXE18011,Sprague-Goodman,CAP TRIMMER 2.5-18PF 300V TH,646,0,"5.51000","0","1","Bulk","FILMTRIM®","Active","2.5 ~ 18pF","Top and Bottom","300V","Polytetrafluoroethylene (PTFE)","1500 @ 1MHz","0.291"" L x 0.264"" W (7.40mm x 6.70mm)","0.315"" (8.00mm)","-40°C ~ 125°C","Through Hole","General Purpose"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GXD60000.jpg,SG9147-ND,GXD60000,Sprague-Goodman,CAP TRIMMER 6-60PF 100V TH,505,0,"5.61000","0","1","Bulk","FILMTRIM®","Active","6 ~ 60pF","Side","100V","Polytetrafluoroethylene (PTFE)","1500 @ 1MHz","0.449"" L x 0.402"" W (11.40mm x 10.20mm)","0.433"" (11.00mm)","-40°C ~ 85°C","Through Hole","General Purpose"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GXA36000.JPG,SG9141-ND,GXA36000,Sprague-Goodman,CAP TRIMMER 4.5-36PF 100V TH,667,0,"5.93000","0","1","Bulk","FILMTRIM®","Active","4.5 ~ 36pF","Top and Bottom","100V","Polytetrafluoroethylene (PTFE)","1500 @ 1MHz","0.335"" L x 0.295"" W (8.50mm x 7.50mm)","0.449"" (11.40mm)","-40°C ~ 85°C","Through Hole","General Purpose"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GXA45000.jpg,SG9142-ND,GXA45000,Sprague-Goodman,CAP TRIMMER 5-45PF 100V TH,1249,0,"5.96000","0","1","Bulk","FILMTRIM®","Active","5 ~ 45pF","Top and Bottom","100V","Polytetrafluoroethylene (PTFE)","1500 @ 1MHz","0.335"" L x 0.295"" W (8.50mm x 7.50mm)","0.449"" (11.40mm)","-40°C ~ 85°C","Through Hole","General Purpose"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GXA45002.JPG,SG9143-ND,GXA45002,Sprague-Goodman,CAP TRIMMER 5-45PF 100V TH,146,0,"5.96000","0","1","Bulk","FILMTRIM®","Active","5 ~ 45pF","Top and Bottom","100V","Polytetrafluoroethylene (PTFE)","1500 @ 1MHz","0.335"" L x 0.295"" W (8.50mm x 7.50mm)","0.449"" (11.40mm)","-40°C ~ 85°C","Through Hole","General Purpose"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GXE9R000.JPG,SG9270-ND,GXE9R000,Sprague-Goodman,CAP TRIMMER 1.8-9PF 200V TH,2498,0,"7.48000","0","1","Bulk","FILMTRIM®","Active","1.8 ~ 9pF","Top and Bottom","200V","Polytetrafluoroethylene (PTFE)","1500 @ 1MHz","0.335"" L x 0.295"" W (8.50mm x 7.50mm)","0.402"" (10.20mm)","-40°C ~ 125°C","Through Hole","General Purpose"
http://www.johansonmfg.com/media/pdf/Cera-Trim.pdf,-,1956-1014-2-ND,2322-10GR1,Johanson Manufacturing,CAP TRIMMER,500,0,"7.54110","0","500","Tape & Reel (TR)","Cera-Trim®","Active","-","-","-","Ceramic","1000 @ 100MHz","0.180"" L x 0.167"" W (4.57mm x 4.24mm)","0.086"" (2.18mm)","-55°C ~ 125°C","-","-"
