Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage Rating - AC","Voltage Rating - DC","Dielectric Material","ESR (Equivalent Series Resistance)","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Termination","Lead Spacing","Applications","Ratings","Features"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C103JX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(J2).jpg,PCF1196DKR-ND,ECH-U1C103JX5,Panasonic Electronic Components,CAP FILM 10000PF 5% 16VDC 0805,79504,0,"Digi-Reel","0","1","Digi-Reel®","ECH-U(X)","Active","10000pF","±5%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.051"" (1.30mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H103GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H2).jpg,PCF1308TR-ND,ECH-U1H103GX5,Panasonic Electronic Components,CAP FILM 10000PF 2% 50VDC 1206,72000,0,"0.12784","0","3000","Tape & Reel (TR)","ECH-U(X)","Active","10000pF","±2%","-","50V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.051"" (1.30mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H103GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H2).jpg,PCF1308CT-ND,ECH-U1H103GX5,Panasonic Electronic Components,CAP FILM 10000PF 2% 50VDC 1206,76612,0,"0.53000","0","1","Cut Tape (CT)","ECH-U(X)","Active","10000pF","±2%","-","50V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.051"" (1.30mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H103GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H2).jpg,PCF1308DKR-ND,ECH-U1H103GX5,Panasonic Electronic Components,CAP FILM 10000PF 2% 50VDC 1206,76612,0,"Digi-Reel","0","1","Digi-Reel®","ECH-U(X)","Active","10000pF","±2%","-","50V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.051"" (1.30mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C153GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H1).jpg,PCF1179TR-ND,ECH-U1C153GX5,Panasonic Electronic Components,CAP FILM 0.015UF 2% 16VDC 1206,18000,0,"0.13248","0","3000","Tape & Reel (TR)","ECH-U(X)","Active","0.015µF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.043"" (1.10mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C153GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H1).jpg,PCF1179CT-ND,ECH-U1C153GX5,Panasonic Electronic Components,CAP FILM 0.015UF 2% 16VDC 1206,18165,0,"0.55000","0","1","Cut Tape (CT)","ECH-U(X)","Active","0.015µF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.043"" (1.10mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C153GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H1).jpg,PCF1179DKR-ND,ECH-U1C153GX5,Panasonic Electronic Components,CAP FILM 0.015UF 2% 16VDC 1206,18165,0,"Digi-Reel","0","1","Digi-Reel®","ECH-U(X)","Active","0.015µF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.043"" (1.10mm)","Solder Pads","-","General Purpose","-","-"
https://api.kemet.com/component-edge/download/datasheet/R82DC4100DQ60J.pdf,//media.digikey.com/Photos/Kemet%20Photos/R82EC3680AA70J.JPG,399-5447-3-ND,R82DC4100DQ60J,KEMET,CAP FILM 1UF 5% 63VDC RADIAL,37400,0,"0.13294","0","1700","Tape & Box (TB)","R82","Active","1µF","±5%","40V","63V","Polyester, Polyethylene Terephthalate (PET), Metallized - Stacked","-","-55°C ~ 105°C","Through Hole","Radial","0.283"" L x 0.197"" W (7.20mm x 5.00mm)","0.398"" (10.10mm)","PC Pins","0.197"" (5.00mm)","Automotive","AEC-Q200","-"
https://api.kemet.com/component-edge/download/datasheet/R82DC4100DQ60J.pdf,//media.digikey.com/Photos/Kemet%20Photos/R82EC3680AA70J.JPG,399-5447-1-ND,R82DC4100DQ60J,KEMET,CAP FILM 1UF 5% 63VDC RADIAL,37427,0,"0.52000","0","1","Cut Tape (CT)","R82","Active","1µF","±5%","40V","63V","Polyester, Polyethylene Terephthalate (PET), Metallized - Stacked","-","-55°C ~ 105°C","Through Hole","Radial","0.283"" L x 0.197"" W (7.20mm x 5.00mm)","0.398"" (10.10mm)","PC Pins","0.197"" (5.00mm)","Automotive","AEC-Q200","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C333GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H2).jpg,PCF1183TR-ND,ECH-U1C333GX5,Panasonic Electronic Components,CAP FILM 0.033UF 2% 16VDC 1206,0,0,"0.14544","0","3000","Tape & Reel (TR)","ECH-U(X)","Active","0.033µF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.051"" (1.30mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C333GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H2).jpg,PCF1183CT-ND,ECH-U1C333GX5,Panasonic Electronic Components,CAP FILM 0.033UF 2% 16VDC 1206,4917,0,"0.61000","0","1","Cut Tape (CT)","ECH-U(X)","Active","0.033µF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.051"" (1.30mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C333GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(H2).jpg,PCF1183DKR-ND,ECH-U1C333GX5,Panasonic Electronic Components,CAP FILM 0.033UF 2% 16VDC 1206,4917,0,"Digi-Reel","0","1","Digi-Reel®","ECH-U(X)","Active","0.033µF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.051"" (1.30mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1H333JX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(G3).jpg,PCF1346TR-ND,ECH-U1H333JX5,Panasonic Electronic Components,CAP FILM 0.033UF 5% 50VDC 1210,66000,0,"0.14992","0","2000","Tape & Reel (TR)","ECH-U(X)","Active","0.033µF","±5%","-","50V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.091"" (2.30mm)","Solder Pads","-","General Purpose","-","-"
