Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Breakdown","ESR (Equivalent Series Resistance)","ESL (Equivalent Series Inductance)","Applications","Features","Operating Temperature","Package / Case","Height","Size / Dimension"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1024-6-ND,RFCS04022700BJTTS,Vishay Electro-Films,CAP SILICON 27PF 5% 10V 0402,0,0,"Digi-Reel","0","1","Digi-Reel®","RFCS","Obsolete","27pF","±5%","10V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1029-2-ND,RFCS04023300CJTT1,Vishay Electro-Films,CAP SILICON 3.3PF 5% 25V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","3.3pF","±5%","25V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1029-1-ND,RFCS04023300CJTT1,Vishay Electro-Films,CAP SILICON 3.3PF 5% 25V 0402,0,0,"Obsolete","0","1","Cut Tape (CT)","RFCS","Obsolete","3.3pF","±5%","25V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1029-6-ND,RFCS04023300CJTT1,Vishay Electro-Films,CAP SILICON 3.3PF 5% 25V 0402,0,0,"Digi-Reel","0","1","Digi-Reel®","RFCS","Obsolete","3.3pF","±5%","25V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1026-2-ND,RFCS04022700CJTTS,Vishay Electro-Films,CAP SILICON 2.7PF 5% 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","2.7pF","±5%","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1031-2-ND,RFCS04023900CJTT1,Vishay Electro-Films,CAP SILICON 3.9PF 5% 25V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","3.9pF","±5%","25V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1031-1-ND,RFCS04023900CJTT1,Vishay Electro-Films,CAP SILICON 3.9PF 5% 25V 0402,0,0,"Obsolete","0","1","Cut Tape (CT)","RFCS","Obsolete","3.9pF","±5%","25V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1031-6-ND,RFCS04023900CJTT1,Vishay Electro-Films,CAP SILICON 3.9PF 5% 25V 0402,0,0,"Digi-Reel","0","1","Digi-Reel®","RFCS","Obsolete","3.9pF","±5%","25V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1028-2-ND,RFCS04023000DBTTS,Vishay Electro-Films,CAP SILICON 0.3PF 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","0.3pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1019-2-ND,RFCS04022200BJTT1,Vishay Electro-Films,CAP SILICON 22PF 5% 10V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","22pF","±5%","10V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
