Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Type","ESR (Equivalent Series Resistance)","Operating Temperature","Lifetime @ Temp.","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Lead Spacing","Manufacturer Size Code","Ratings","Features","Failure Rate"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1653-1-ND,TAJA106K006RNJ,AVX Corporation,CAP TANT 10UF 10% 6.3V 1206,163914,572000,"0.34000","0","1","Cut Tape (CT)","TAJ","Active","10µF","±10%","6.3V","Molded","4Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1653-6-ND,TAJA106K006RNJ,AVX Corporation,CAP TANT 10UF 10% 6.3V 1206,163914,572000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","10µF","±10%","6.3V","Molded","4Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1649-2-ND,TAJA105K016RNJ,AVX Corporation,CAP TANT 1UF 10% 16V 1206,258000,302000,"0.07500","0","2000","Tape & Reel (TR)","TAJ","Active","1µF","±10%","16V","Molded","11Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1649-1-ND,TAJA105K016RNJ,AVX Corporation,CAP TANT 1UF 10% 16V 1206,258719,302000,"0.31000","0","1","Cut Tape (CT)","TAJ","Active","1µF","±10%","16V","Molded","11Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1649-6-ND,TAJA105K016RNJ,AVX Corporation,CAP TANT 1UF 10% 16V 1206,258719,302000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","1µF","±10%","16V","Molded","11Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2358-2-ND,TAJA225K020RNJ,AVX Corporation,CAP TANT 2.2UF 10% 20V 1206,86000,102000,"0.07596","0","2000","Tape & Reel (TR)","TAJ","Active","2.2µF","±10%","20V","Molded","5.3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2358-1-ND,TAJA225K020RNJ,AVX Corporation,CAP TANT 2.2UF 10% 20V 1206,86786,102000,"0.35000","0","1","Cut Tape (CT)","TAJ","Active","2.2µF","±10%","20V","Molded","5.3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2358-6-ND,TAJA225K020RNJ,AVX Corporation,CAP TANT 2.2UF 10% 20V 1206,86786,102000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","2.2µF","±10%","20V","Molded","5.3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1650-2-ND,TAJA105K020RNJ,AVX Corporation,CAP TANT 1UF 10% 20V 1206,86000,126000,"0.07600","0","2000","Tape & Reel (TR)","TAJ","Active","1µF","±10%","20V","Molded","9Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1650-1-ND,TAJA105K020RNJ,AVX Corporation,CAP TANT 1UF 10% 20V 1206,88903,126000,"0.31000","0","1","Cut Tape (CT)","TAJ","Active","1µF","±10%","20V","Molded","9Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1650-6-ND,TAJA105K020RNJ,AVX Corporation,CAP TANT 1UF 10% 20V 1206,88903,126000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","1µF","±10%","20V","Molded","9Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://www.vishay.com/docs/40002/293d.pdf,//media.digikey.com/Photos/Vishay%20Sprague%20Photos/Tantamount%20293D%20Series%20A.JPG,718-1956-2-ND,293D106X0016A2TE3,Vishay Sprague,CAP TANT 10UF 20% 16V 1206,50000,0,"0.07830","0","2000","Tape & Reel (TR)","TANTAMOUNT®, 293D","Active","10µF","±20%","16V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://www.vishay.com/docs/40002/293d.pdf,//media.digikey.com/Photos/Vishay%20Sprague%20Photos/Tantamount%20293D%20Series%20A.JPG,718-1956-1-ND,293D106X0016A2TE3,Vishay Sprague,CAP TANT 10UF 20% 16V 1206,51398,0,"0.36000","0","1","Cut Tape (CT)","TANTAMOUNT®, 293D","Active","10µF","±20%","16V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://www.vishay.com/docs/40002/293d.pdf,//media.digikey.com/Photos/Vishay%20Sprague%20Photos/Tantamount%20293D%20Series%20A.JPG,718-1956-6-ND,293D106X0016A2TE3,Vishay Sprague,CAP TANT 10UF 20% 16V 1206,51398,0,"Digi-Reel","0","1","Digi-Reel®","TANTAMOUNT®, 293D","Active","10µF","±20%","16V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1670-2-ND,TAJA685K016RNJ,AVX Corporation,CAP TANT 6.8UF 10% 16V 1206,40000,10000,"0.08100","0","2000","Tape & Reel (TR)","TAJ","Active","6.8µF","±10%","16V","Molded","3.5Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1670-1-ND,TAJA685K016RNJ,AVX Corporation,CAP TANT 6.8UF 10% 16V 1206,40758,10000,"0.39000","0","1","Cut Tape (CT)","TAJ","Active","6.8µF","±10%","16V","Molded","3.5Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1670-6-ND,TAJA685K016RNJ,AVX Corporation,CAP TANT 6.8UF 10% 16V 1206,40758,10000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","6.8µF","±10%","16V","Molded","3.5Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/f92.pdf,"//media.digikey.com/photos/Nichicon%20Photos/F92%20SERIES%202.0L,1.25W.jpg",478-8126-2-ND,F921C105MPA,AVX Corporation,CAP TANT 1UF 20% 16V 0805,147000,0,"0.08154","0","3000","Tape & Reel (TR)","F92","Active","1µF","±20%","16V","Molded","12Ohm","-55°C ~ 125°C","-","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)","-","P","-","General Purpose","-"
http://datasheets.avx.com/f92.pdf,"//media.digikey.com/photos/Nichicon%20Photos/F92%20SERIES%202.0L,1.25W.jpg",478-8126-1-ND,F921C105MPA,AVX Corporation,CAP TANT 1UF 20% 16V 0805,148293,0,"0.38000","0","1","Cut Tape (CT)","F92","Active","1µF","±20%","16V","Molded","12Ohm","-55°C ~ 125°C","-","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)","-","P","-","General Purpose","-"
http://datasheets.avx.com/f92.pdf,"//media.digikey.com/photos/Nichicon%20Photos/F92%20SERIES%202.0L,1.25W.jpg",478-8126-6-ND,F921C105MPA,AVX Corporation,CAP TANT 1UF 20% 16V 0805,148293,0,"Digi-Reel","0","1","Digi-Reel®","F92","Active","1µF","±20%","16V","Molded","12Ohm","-55°C ~ 125°C","-","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)","-","P","-","General Purpose","-"
http://datasheets.avx.com/f92.pdf,"//media.digikey.com/photos/Nichicon%20Photos/F92%20SERIES%202.0L,1.25W.jpg",478-8122-2-ND,F921A105MPA,AVX Corporation,CAP TANT 1UF 20% 10V 0805,27000,0,"0.08154","0","3000","Tape & Reel (TR)","F92","Active","1µF","±20%","10V","Molded","12Ohm","-55°C ~ 125°C","-","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)","-","P","-","General Purpose","-"
http://datasheets.avx.com/f92.pdf,"//media.digikey.com/photos/Nichicon%20Photos/F92%20SERIES%202.0L,1.25W.jpg",478-8122-1-ND,F921A105MPA,AVX Corporation,CAP TANT 1UF 20% 10V 0805,29082,0,"0.38000","0","1","Cut Tape (CT)","F92","Active","1µF","±20%","10V","Molded","12Ohm","-55°C ~ 125°C","-","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)","-","P","-","General Purpose","-"
http://datasheets.avx.com/f92.pdf,"//media.digikey.com/photos/Nichicon%20Photos/F92%20SERIES%202.0L,1.25W.jpg",478-8122-6-ND,F921A105MPA,AVX Corporation,CAP TANT 1UF 20% 10V 0805,29082,0,"Digi-Reel","0","1","Digi-Reel®","F92","Active","1µF","±20%","10V","Molded","12Ohm","-55°C ~ 125°C","-","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)","-","P","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1654-2-ND,TAJA106K010RNJ,AVX Corporation,CAP TANT 10UF 10% 10V 1206,412000,1310000,"0.08257","0","2000","Tape & Reel (TR)","TAJ","Active","10µF","±10%","10V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1654-1-ND,TAJA106K010RNJ,AVX Corporation,CAP TANT 10UF 10% 10V 1206,412394,1310000,"0.38000","0","1","Cut Tape (CT)","TAJ","Active","10µF","±10%","10V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1654-6-ND,TAJA106K010RNJ,AVX Corporation,CAP TANT 10UF 10% 10V 1206,412394,1310000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","10µF","±10%","10V","Molded","3Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2350-2-ND,TAJA475K010RNJ,AVX Corporation,CAP TANT 4.7UF 10% 10V 1206,52000,262000,"0.08460","0","2000","Tape & Reel (TR)","TAJ","Active","4.7µF","±10%","10V","Molded","5Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
