Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Dielectric Material","Operating Temperature","Mounting Type","Package / Case","Lead Spacing","Features","Size / Dimension","Height - Seated (Max)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD19FD182FO3F.jpg,338-3142-ND,CDV19FF222JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 2200PF 5% 1KV RADIAL,545,800,"8.21000","0","1","Bulk","CDV19","Active","2200pF","±5%","1kV","Mica","-55°C ~ 125°C","Through Hole","Radial","0.343"" (8.70mm)","General Purpose","0.689"" L x 0.311"" W (17.50mm x 7.90mm)","0.559"" (14.20mm)"
-,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD19FD182FO3F.jpg,338-2635-ND,CD19FD472JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 4700PF 5% 500V RADIAL,795,4150,"9.83000","0","1","Bulk","CD19","Active","4700pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.343"" (8.70mm)","General Purpose","0.701"" L x 0.350"" W (17.80mm x 8.90mm)","0.579"" (14.70mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD19FD182FO3F.jpg,338-2796-ND,CDV19FF332JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 3300PF 5% 1KV RADIAL,300,0,"13.00000","0","1","Bulk","CDV19","Active","3300pF","±5%","1kV","Mica","-55°C ~ 125°C","Through Hole","Radial","0.343"" (8.70mm)","General Purpose","0.720"" L x 0.382"" W (18.30mm x 9.70mm)","0.591"" (15.00mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD%2015%20SERIES.jpg,338-2818-ND,CD15CD050DO3,Cornell Dubilier Electronics (CDE),CAP MICA 5PF 0.5PF 500V RADIAL,3931,1400,"2.01000","0","1","Bulk","CD15","Active","5pF","±0.5pF","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.449"" L x 0.169"" W (11.40mm x 4.30mm)","0.358"" (9.10mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2590-ND,CD15ED470JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 47PF 5% 500V RADIAL,1315,12000,"2.01000","0","1","Bulk","CD15","Active","47pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.449"" L x 0.169"" W (11.40mm x 4.30mm)","0.358"" (9.10mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2664-ND,CD15ED240JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 24PF 5% 500V RADIAL,3235,1600,"2.04000","0","1","Bulk","CD15","Active","24pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.449"" L x 0.169"" W (11.40mm x 4.30mm)","0.358"" (9.10mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2602-ND,CD15ED220JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 22PF 5% 500V RADIAL,2196,1000,"2.04000","0","1","Bulk","CD15","Active","22pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.449"" L x 0.169"" W (11.40mm x 4.30mm)","0.358"" (9.10mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD%2015%20SERIES.jpg,338-1042-ND,CD15FD101JO3,Cornell Dubilier Electronics (CDE),CAP MICA 100PF 5% 500V RADIAL,1834,5200,"2.04000","0","1","Bulk","CD15","Active","100pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.461"" L x 0.181"" W (11.70mm x 4.60mm)","0.358"" (9.10mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2625-ND,CD15ED300JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 30PF 5% 500V RADIAL,1499,5800,"2.04000","0","1","Bulk","CD15","Active","30pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.449"" L x 0.169"" W (11.40mm x 4.30mm)","0.358"" (9.10mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2604-ND,CD15CD100JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 10PF 5% 500V RADIAL,1934,10400,"2.07000","0","1","Bulk","CD15","Active","10pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.449"" L x 0.169"" W (11.40mm x 4.30mm)","0.358"" (9.10mm)"
