Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Device Size","Specifications"
http://www.vishay.com/docs/28348/alucapaccessbcc.pdf,-,MAL804324921E3-ND,MAL804324921E3,Vishay BC Components,MNT BRACKET FOR ROUND CAN TYPES,0,0,"4.56300","0","80","-","Active","Mounting Bracket","Round Can Types","3.543"" Dia (90.0mm)","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,-,PLA10-ND,PLA10,Cornell Dubilier Electronics (CDE),CAPACITOR CAP UP WIRE,0,0,"4.95000","0","500","-","Active","End Cap","Round Can Types","2.563"" Dia (65.1mm)","Top Exit Lead Hole"
-,-,125565-14-ND,125565-14,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"7.14226","0","31","125","Active","Mounting Bracket","Round Can Types","2.500"" Dia (63.5mm)","Screw Clamp Type Bracket"
https://www.tdk-electronics.tdk.com/inf/20/30/db/aec/B44020_B44030.pdf,-,B44030A0375B000-ND,B44030A0375B000,EPCOS (TDK),AL-ELKO CLAMP,0,0,"8.89350","0","100","B44030","Active","Mounting Bracket","Round Can Types","2.953"" Dia (75mm)","-"
-,-,125565-15-ND,125565-15,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"9.87000","0","24","125","Active","Mounting Bracket","Round Can Types","1.750"" Dia (44.4mm)","Screw Clamp Type Bracket"
https://www.tdk-electronics.tdk.com/inf/20/30/db/aec/B44020_B44030.pdf,-,B44030A0390B000-ND,B44030A0390B000,EPCOS (TDK),AL-ELKO CLAMP,0,0,"11.61600","0","100","B44030","Active","Mounting Bracket","Round Can Types","3.543"" Dia (90mm)","-"
-,-,125562-06-ND,125562-06,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"11.71053","0","19","125","Active","Mounting Bracket","Round Can Types","3.500"" Dia (88.9mm)","Screw Clamp Type Bracket"
-,-,125565-01-ND,125565-01,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"12.34889","0","18","125","Active","Mounting Bracket","Round Can Types","3.000"" Dia (76.2mm)","Screw Clamp Type Bracket"
-,-,125565-05-ND,125565-05,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"13.92500","0","16","125","Active","Mounting Bracket","Round Can Types","2.000"" Dia (50.8mm)","Screw Clamp Type Bracket"
-,-,125562-05-ND,125562-05,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"14.94267","0","15","125","Active","Mounting Bracket","Round Can Types","1.750"" Dia (44.4mm)","Screw Clamp Type Bracket"
-,-,125562-02-ND,125562-02,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"15.60071","0","14","125","Active","Mounting Bracket","Round Can Types","2.000"" Dia (50.8mm)","Screw Clamp Type Bracket"
-,-,125562-04-ND,125562-04,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"16.51857","0","14","125","Active","Mounting Bracket","Round Can Types","2.500"" Dia (63.5mm)","Screw Clamp Type Bracket"
-,-,125562-03-ND,125562-03,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"19.91000","0","11","125","Active","Mounting Bracket","Round Can Types","3.000"" Dia (76.2mm)","Screw Clamp Type Bracket"
-,-,125466-00-ND,125466-00,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,0,0,"35.89000","0","7","125","Active","Mounting Bracket","Round Can Types","-","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,-,ACR220KT-ND,ACR220KT,Cornell Dubilier Electronics (CDE),KIT MOTOR RUN RES 220K OHM 1W,0,0,"37.46800","0","10","-","Active","Bleeder Resistor","Motor Run Capacitors","-","220kOhm, 1W, with QC Terminals"
https://www.tdk-electronics.tdk.com/inf/20/50/ds/B44066S_230_110.pdf,-,B44066S5010J230-ND,B44066S5010J230,EPCOS (TDK),CAPACITOR CONTACTOR PFC 3PH 230V,0,0,"134.99200","0","10","B44066S","Active","Contactor","-","-","Power Factor Correction/Switching"
-,//media.digikey.com/photos/Panasonic%20Photos/MC36B2.jpg,P10102-ND,MC36B2,Panasonic Electronic Components,MOUNTING CLAMP 1.375"" 2 TAB,0,0,"Obsolete","0","50","MC","Obsolete","Mounting Bracket","Round Can Types","1.375"" Dia (34.9mm)","Screw Clamp Type Bracket"
-,//media.digikey.com/photos/Panasonic%20Photos/MC51B3.jpg,P10103-ND,MC51B3,Panasonic Electronic Components,MOUNTING CLAMP 2.0"" 3 TAB,0,0,"Obsolete","0","42","MC","Obsolete","Mounting Bracket","Round Can Types","2.000"" Dia (50.8mm)","Screw Clamp Type Bracket"
-,//media.digikey.com/photos/Panasonic%20Photos/MC64B3.jpg,P10104-ND,MC64B3,Panasonic Electronic Components,MOUNTING CLAMP 2.5"" 3 TAB,0,0,"Obsolete","0","30","MC","Obsolete","Mounting Bracket","Round Can Types","2.500"" Dia (63.5mm)","Screw Clamp Type Bracket"
-,//media.digikey.com/photos/Panasonic%20Photos/MC77B3.jpg,P10105-ND,MC77B3,Panasonic Electronic Components,MOUNTING CLAMP 3.0"" 3 TAB,0,0,"Obsolete","0","20","MC","Obsolete","Mounting Bracket","Round Can Types","3.000"" Dia (76.2mm)","Screw Clamp Type Bracket"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/SCH-1.pdf,-,SCH-1-ND,SCH-1,Essentra Components,CAP HOLDER 1 21/64"" - 1 7/16"",0,0,"Obsolete","0","100","-","Obsolete","Mounting Bracket","Round Can Types","1.438"" Dia (36.5mm)","-"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/photos/Cornell%20Dubilier%20Photos/115058-09.jpg,338-1365-ND,115058-14,Cornell Dubilier Electronics (CDE),BRACKET FOR 2.5"" DIA CAP,0,0,"Obsolete","0","89","-","Obsolete","Mounting Bracket","Round Can Types","2.500"" Dia (63.5mm)","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,"//media.digikey.com/photos/Cornell%20Dubilier%20Photos/ACR(15,220)K.jpg",ACR15K-ND,ACR15K,Cornell Dubilier Electronics (CDE),RESISTOR BLEEDER 15K OHM 2W,0,0,"Active","0","0","-","Active","Bleeder Resistor","Motor Start Capacitors","-","15kOhm, 2W"
http://www.cde.com/resources/catalogs/hardware.pdf,"//media.digikey.com/photos/Cornell%20Dubilier%20Photos/ACR(15,220)K.jpg",ACR220K-ND,ACR220K,Cornell Dubilier Electronics (CDE),RESISTOR BLEEDER 220K OHM 1W,0,0,"Active","0","0","-","Active","Bleeder Resistor","Motor Run Capacitors","-","220kOhm, 1W"
http://www.cde.com/resources/catalogs/hardware.pdf,-,PL10-ND,PL10,Cornell Dubilier Electronics (CDE),CAPACITOR CAP DOWN WIRE,0,0,"Active","0","0","-","Active","End Cap","Round Can Types","2.563"" Dia (65.1mm)","Bottom Exit Lead Hole"
http://www.cde.com/resources/catalogs/hardware.pdf,-,TH13-ND,TH13,Cornell Dubilier Electronics (CDE),MOUNTING CLIP HORIZ .375IN DIA,0,0,"Obsolete","0","57","TH","Obsolete","Mounting Clip","Round Can Types","0.375"" Dia (9.5mm)","-"
