Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Operating Temperature","Ratings","Applications","Ripple Current @ Low Frequency","Ripple Current @ High Frequency","Impedance","Lead Spacing","Size / Dimension","Height - Seated (Max)","Surface Mount Land Size","Mounting Type","Package / Case"
http://nichicon-us.com/english/products/pdfs/e-plv.pdf,//media.digikey.com/Photos/Nichicon%20Photos/PLV1J220MCL1TD.JPG,493-3872-3-ND,PLV1J220MCL1TD,Nichicon,CAP ALUM POLY 22UF 20% 63V T/H,20000,0,"0.75404","0","1000","Tape & Box (TB)","PLV","Active","Polymer","22µF","±20%","63V","35mOhm","3000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","1.8A @ 100kHz","-","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.354"" (9.00mm)","-","Through Hole","Radial, Can"
http://nichicon-us.com/english/products/pdfs/e-plv.pdf,//media.digikey.com/Photos/Nichicon%20Photos/PLV1J220MCL1TD.JPG,493-3872-1-ND,PLV1J220MCL1TD,Nichicon,CAP ALUM POLY 22UF 20% 63V T/H,20294,0,"2.11000","0","1","Cut Tape (CT)","PLV","Active","Polymer","22µF","±20%","63V","35mOhm","3000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","1.8A @ 100kHz","-","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.354"" (9.00mm)","-","Through Hole","Radial, Can"
http://nichicon-us.com/english/products/pdfs/e-pcj.pdf,//media.digikey.com/Photos/Nichicon%20Photos/CJ-SERIES-8x12mm.jpg,493-3045-2-ND,PCJ0J152MCL1GS,Nichicon,CAP ALUM POLY 1500UF 6.3V SMD,17500,0,"0.76144","0","500","Tape & Reel (TR)","PCJ","Active","Polymer","1500µF","±20%","6.3V","12mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","5.025A @ 100kHz","-","-","0.394"" Dia (10.00mm)","0.394"" (10.00mm)","0.406"" L x 0.406"" W (10.30mm x 10.30mm)","Surface Mount","Radial, Can - SMD"
http://nichicon-us.com/english/products/pdfs/e-pcj.pdf,//media.digikey.com/Photos/Nichicon%20Photos/CJ-SERIES-8x12mm.jpg,493-3045-1-ND,PCJ0J152MCL1GS,Nichicon,CAP ALUM POLY 1500UF 6.3V SMD,17921,0,"1.84000","0","1","Cut Tape (CT)","PCJ","Active","Polymer","1500µF","±20%","6.3V","12mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","5.025A @ 100kHz","-","-","0.394"" Dia (10.00mm)","0.394"" (10.00mm)","0.406"" L x 0.406"" W (10.30mm x 10.30mm)","Surface Mount","Radial, Can - SMD"
http://nichicon-us.com/english/products/pdfs/e-pcj.pdf,//media.digikey.com/Photos/Nichicon%20Photos/CJ-SERIES-8x12mm.jpg,493-3045-6-ND,PCJ0J152MCL1GS,Nichicon,CAP ALUM POLY 1500UF 6.3V SMD,17921,0,"Digi-Reel","0","1","Digi-Reel®","PCJ","Active","Polymer","1500µF","±20%","6.3V","12mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","5.025A @ 100kHz","-","-","0.394"" Dia (10.00mm)","0.394"" (10.00mm)","0.406"" L x 0.406"" W (10.30mm x 10.30mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,//media.digikey.com/Photos/Panasonic%20Photos/EEH-ZA1V680XP.jpg,P15436TR-ND,EEH-ZA1E101XP,Panasonic Electronic Components,CAP ALUM POLY HYB 100UF 25V SMD,53100,0,"0.76352","0","900","Tape & Reel (TR)","ZA","Active","Hybrid","100µF","±20%","25V","30mOhm","10000 Hrs @ 105°C","-55°C ~ 105°C","AEC-Q200","Automotive","300mA @ 100Hz","2A @ 100kHz","-","-","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,//media.digikey.com/Photos/Panasonic%20Photos/EEH-ZA1V680XP.jpg,P15436CT-ND,EEH-ZA1E101XP,Panasonic Electronic Components,CAP ALUM POLY HYB 100UF 25V SMD,54996,0,"1.87000","0","1","Cut Tape (CT)","ZA","Active","Hybrid","100µF","±20%","25V","30mOhm","10000 Hrs @ 105°C","-55°C ~ 105°C","AEC-Q200","Automotive","300mA @ 100Hz","2A @ 100kHz","-","-","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,//media.digikey.com/Photos/Panasonic%20Photos/EEH-ZA1V680XP.jpg,P15436DKR-ND,EEH-ZA1E101XP,Panasonic Electronic Components,CAP ALUM POLY HYB 100UF 25V SMD,54996,0,"Digi-Reel","0","1","Digi-Reel®","ZA","Active","Hybrid","100µF","±20%","25V","30mOhm","10000 Hrs @ 105°C","-55°C ~ 105°C","AEC-Q200","Automotive","300mA @ 100Hz","2A @ 100kHz","-","-","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,//media.digikey.com/Photos/Panasonic%20Photos/EEH-ZA1V680XP.jpg,P15455TR-ND,EEH-ZA1V680XP,Panasonic Electronic Components,CAP ALUM POLY HYB 68UF 35V SMD,26100,0,"0.76352","0","900","Tape & Reel (TR)","ZA","Active","Hybrid","68µF","±20%","35V","35mOhm","10000 Hrs @ 105°C","-55°C ~ 105°C","AEC-Q200","Automotive","300mA @ 100Hz","2A @ 100kHz","-","-","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,//media.digikey.com/Photos/Panasonic%20Photos/EEH-ZA1V680XP.jpg,P15455CT-ND,EEH-ZA1V680XP,Panasonic Electronic Components,CAP ALUM POLY HYB 68UF 35V SMD,26681,0,"1.96000","0","1","Cut Tape (CT)","ZA","Active","Hybrid","68µF","±20%","35V","35mOhm","10000 Hrs @ 105°C","-55°C ~ 105°C","AEC-Q200","Automotive","300mA @ 100Hz","2A @ 100kHz","-","-","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,//media.digikey.com/Photos/Panasonic%20Photos/EEH-ZA1V680XP.jpg,P15455DKR-ND,EEH-ZA1V680XP,Panasonic Electronic Components,CAP ALUM POLY HYB 68UF 35V SMD,26681,0,"Digi-Reel","0","1","Digi-Reel®","ZA","Active","Hybrid","68µF","±20%","35V","35mOhm","10000 Hrs @ 105°C","-55°C ~ 105°C","AEC-Q200","Automotive","300mA @ 100Hz","2A @ 100kHz","-","-","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,//media.digikey.com/Photos/Panasonic%20Photos/EEH-ZA1V680XP.jpg,P15444TR-ND,EEH-ZA1H330XP,Panasonic Electronic Components,CAP ALUM POLY HYB 33UF 50V SMD,8100,0,"0.76352","0","900","Tape & Reel (TR)","ZA","Active","Hybrid","33µF","±20%","50V","40mOhm","10000 Hrs @ 105°C","-55°C ~ 105°C","AEC-Q200","Automotive","240mA @ 100Hz","1.6A @ 100kHz","-","-","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1221.pdf,//media.digikey.com/Photos/Panasonic%20Photos/EEH-ZA1V680XP.jpg,P15444CT-ND,EEH-ZA1H330XP,Panasonic Electronic Components,CAP ALUM POLY HYB 33UF 50V SMD,9803,0,"1.96000","0","1","Cut Tape (CT)","ZA","Active","Hybrid","33µF","±20%","50V","40mOhm","10000 Hrs @ 105°C","-55°C ~ 105°C","AEC-Q200","Automotive","240mA @ 100Hz","1.6A @ 100kHz","-","-","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
