Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
//media.digikey.com/PDF/Data%20Sheets/Elna%20America%20Inc/DVS%20Series.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DVS%20SERIES.JPG,604-1171-6-ND,DVS-3R6D334T-R5,Elna America,CAP 330MF 3.6V SURFACE MNT,2429,0,"Digi-Reel","0","1","Digi-Reel®","DVS","Active","330mF","-","3.6V","30Ohm","-","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.492"" Dia (12.50mm)","0.335"" (8.50mm)","-25°C ~ 85°C"
http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCN%20series.pdf,//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG,1572-1287-ND,106DCN2R7M,Illinois Capacitor,CAP 10F 20% 2.7V T/H,1233,0,"2.50000","0","1","Bulk","DCN","Active","10F","±20%","2.7V","80mOhm","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.260"" (32.00mm)","-40°C ~ 60°C"
https://api.kemet.com/component-edge/download/datasheet/FM0H224ZF.pdf,//media.digikey.com/photos/Kemet%20Photos/FM-Series.JPG,399-13103-ND,FM0H224ZF,KEMET,CAP 220MF -20% +80% 5.5V T/H,2060,0,"2.52000","0","1","Bulk","FM","Active","220mF","-20%, +80%","5.5V","100Ohm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial","0.197"" (5.00mm)","0.413"" L x 0.256"" W (10.50mm x 6.50mm)","0.453"" (11.50mm)","-25°C ~ 70°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4390_B_Series.pdf,"//media.digikey.com/photos/Cooper%20Bussmann%20Photos/B%20SERIES%2014.4H,10.0D.jpg",283-2779-ND,B1010-2R5155-R,Eaton - Electronics Division,CAP 1.5F -20% +80% 2.5V T/H,3714,0,"2.61000","0","1","Bulk","PowerStor B","Active","1.5F","-20%, +80%","2.5V","300mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.413"" Dia (10.50mm)","0.583"" (14.80mm)","-25°C ~ 70°C"
https://api.kemet.com/component-edge/download/datasheet/FMR0H104ZF.pdf,//media.digikey.com/photos/Kemet%20Photos/FM-Series.JPG,399-13102-ND,FMR0H104ZF,KEMET,CAP 100MF -20% +80% 5.5V T/H,2875,0,"2.65000","0","1","Bulk","FM","Active","100mF","-20%, +80%","5.5V","50Ohm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial","0.197"" (5.00mm)","0.413"" L x 0.256"" W (10.50mm x 6.50mm)","0.453"" (11.50mm)","-40°C ~ 85°C"
http://www.elna.co.jp/en/capacitor/new/pdf/dhl_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DHL-5R5D104T.jpg,604-1256-ND,DHL-5R5D224GT,Elna America,CAP 220MF -20% +80% 5.5V T/H,1990,0,"2.72000","0","1","-","DHL","Active","220mF","-20%, +80%","5.5V","-","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.374"" (9.50mm)","-40°C ~ 85°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4375_HB_Series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HB1020-2R5505-R.jpg,283-3124-ND,HB1020-2R5505-R,Eaton - Electronics Division,CAP 5F -10% +30% 2.5V T/H,4955,0,"3.20000","0","1","Bulk","PowerStor HB","Active","5F","-10%, +30%","2.5V","100mOhm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.413"" Dia (10.50mm)","0.878"" (22.30mm)","-25°C ~ 70°C"
http://datasheets.avx.com/AVX-SCC.pdf,//media.digikey.com/Photos/AVX%20Photos/MFG_SCC.jpg,478-10996-ND,SCCT20B106PRB,AVX Corporation,CAPACITOR 10F 0% +100% 2.7V T/H,457,0,"3.26000","0","1","Bulk","SCC","Active","10F","0%, +100%","2.7V","50mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.217"" (5.50mm)","0.492"" Dia (12.50mm)","0.866"" (22.00mm)","-40°C ~ 65°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4375_HB_Series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HB0830-2R5605-R.jpg,283-3125-ND,HB0830-2R5605-R,Eaton - Electronics Division,CAP 6F -10% +30% 2.5V T/H,1936,0,"3.33000","0","1","Bulk","PowerStor HB","Active","6F","-10%, +30%","2.5V","100mOhm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.335"" Dia (8.50mm)","1.220"" (31.00mm)","-25°C ~ 70°C"
http://www.illinoiscapacitor.com/pdf/seriesDocuments/DGH%20series.pdf,//media.digikey.com/Photos/Illinois%20Capacitor/DGHx55Q5R5.jpg,1572-1772-ND,DGH155Q5R5,Illinois Capacitor,CAPACITOR 1.5F -10% +30% 5.5V TH,1566,0,"3.37000","0","1","Bulk","DGH","Active","1.5F","-10%, +30%","5.5V","160mOhm","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.472"" (12.00mm)","0.669"" L x 0.335"" W (17.00mm x 8.50mm)","0.945"" (24.00mm)","-40°C ~ 65°C"
http://datasheets.avx.com/AVX-SCM.pdf,//media.digikey.com/Photos/AVX%20Photos/MFG_SCM.jpg,478-11692-ND,SCMR14C474PRBA0,AVX Corporation,CAP 470MF 0% +100% 5V T/H,1796,0,"3.57000","0","1","Bulk","SCM","Active","470mF","0%, +100%","5V","300mOhm @ 1kHz","2000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.630"" L x 0.315"" W (16.00mm x 8.00mm)","0.610"" (15.50mm)","-40°C ~ 85°C"
https://api.kemet.com/component-edge/download/datasheet/FR0H104ZF.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_FR_Series.jpg,399-17205-ND,FR0H104ZF,KEMET,CAP 100MF -20% +80% 5.5V T/H,2252,0,"3.60000","0","1","Bulk","FR","Active","100mF","-20%, +80%","5.5V","150Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.200"" (5.08mm)","0.571"" Dia (14.50mm)","0.610"" (15.50mm)","-40°C ~ 85°C"
http://datasheets.avx.com/AVX-SCC.pdf,//media.digikey.com/Photos/AVX%20Photos/MFG_SCC.jpg,478-10017-ND,SCCT30B156SRB,AVX Corporation,CAPACITOR 15F -10% +30% 2.7V T/H,597,0,"3.69000","0","1","Bulk","SCC","Active","15F","-10%, +30%","2.7V","35mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.217"" (5.50mm)","0.492"" Dia (12.50mm)","1.260"" (32.00mm)","-40°C ~ 65°C"
