Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Slotted/Unslotted","Size","Length","Thickness","Material","Plating"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-U7874.jpg,ADR3515-U4700-ND,TS3515SOL,American Electrical Inc.,DIN RAIL 35MMX15MM UNSLOT 47"",0,0,"4.82000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","47.000"" (1193.80mm)","0.059"" (1.50mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-S7874.jpg,ADR3575-S5200-ND,TS3575SL,American Electrical Inc.,DIN RAIL 35MMX7.5MM SLOTTED 52"",0,0,"4.83000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","52.000"" (1320.80mm)","0.039"" (1.00mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-U7874.jpg,ADR3575-U5200-ND,TS3575SOL,American Electrical Inc.,DIN RAIL 35MMX7.5MM UNSLOT 52"",0,0,"4.83000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","52.000"" (1320.80mm)","0.039"" (1.00mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-S7874.jpg,ADR3515-S4500-ND,TS3515SL,American Electrical Inc.,DIN RAIL 35MMX15MM SLOTTED 45"",0,0,"4.86000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","45.000"" (1143.00mm)","0.059"" (1.50mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-U7874.jpg,ADR3515-U4500-ND,TS3515SOL,American Electrical Inc.,DIN RAIL 35MMX15MM UNSLOT 45"",0,0,"4.86000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","45.000"" (1143.00mm)","0.059"" (1.50mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-S7874.jpg,ADR3575-S5000-ND,TS3575SL,American Electrical Inc.,DIN RAIL 35MMX7.5MM SLOTTED 50"",0,0,"4.89000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","50.000"" (1270.00mm)","0.039"" (1.00mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-U7874.jpg,ADR3575-U5000-ND,TS3575SOL,American Electrical Inc.,DIN RAIL 35MMX7.5MM UNSLOT 50"",0,0,"4.89000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","50.000"" (1270.00mm)","0.039"" (1.00mm)","Steel","Zinc"
-,-,913918-ND,913918,Weidmüller,DIN RAIL 35MMX7.5MM SLOTTED 8"",0,0,"4.90200","0","10","-","Active","-","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","8.000"" (203.20mm)","0.039"" (1.00mm)","-","-"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-S7874.jpg,ADR3515-S4800-ND,TS3515SL,American Electrical Inc.,DIN RAIL 35MMX15MM SLOTTED 48"",0,0,"4.92000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","48.000"" (1219.20mm)","0.059"" (1.50mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-U7874.jpg,ADR3515-U4800-ND,TS3515SOL,American Electrical Inc.,DIN RAIL 35MMX15MM UNSLOT 48"",0,0,"4.92000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","48.000"" (1219.20mm)","0.059"" (1.50mm)","Steel","Zinc"
