Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/883-T.pdf,//media.digikey.com/Photos/Panavise%20Photos/MFG_883-T.jpg,883-TPV-ND,883-T,Panavise,CCTV DUAL OPTION TELESCOPING,0,0,"45.99000","0","1","-","Active","Mount","Black","-"
-,-,3M162501-ND,08379,3M,FIRE BARRIER ULTRA PPD 2.0,10,0,"15.89000","0","1","*","Active","Fire Barrier Plastic Pipe Device","-","-"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/Prod%20Cat%202006.pdf#page=43,//media.digikey.com/Photos/Panavise%20Photos/MFG_960-09.jpg,960-09PV-ND,960-09,Panavise,MOUNT FLAT BASE PLATE 9"" RISE,4,0,"33.99000","0","1","-","Active","Mount","Black","9.00"" H (228.6mm)"
-,-,3M162585-ND,DT100,3M,FIRE BARRIER PUTTY SLEEVE DT 100,4,0,"47.86000","0","1","*","Active","Fire Barrier Putty Sleeve","-","-"
-,-,3M162586-ND,DT200,3M,FIRE BARRIER PUTTY SLEEVE DT 200,3,0,"64.37000","0","1","*","Active","Fire Barrier Putty Sleeve","-","-"
-,-,3M161159-ND,DT400,3M,FIRE BARRIER PUTTY SLEEVE DT 400,1,0,"125.05000","0","1","*","Active","Fire Barrier Putty Sleeve","-","-"
https://assets.tripplite.com/submittal-drawing/dwt60100xx-submittal-drawing-en.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_DWT60100XX.jpg,TL2032-ND,DWT60100XX,Tripp Lite,TV WALL MOUNT,1,0,"148.06000","0","1","DWT","Active","Mount","Black","-"
-,-,3M161107-ND,CS-195+/BX16X28,3M,FIRE BARRIER COMPOSITE SHEET 16"",1,0,"177.72000","0","1","*","Active","Fire Barrier Composite Sheet","-","-"
-,-,3M161108-ND,CS-195+/BX36X24,3M,FIRE BARRIER COMPOSITE SHEET 36"",1,0,"296.96000","0","1","*","Active","Fire Barrier Composite Sheet","-","-"
-,-,3M161109-ND,CS-195+/BX36X36,3M,FIRE BARRIER COMPOSITE SHEET 36"",1,0,"417.74000","0","1","*","Active","Fire Barrier Composite Sheet","-","-"
-,-,3M161160-ND,E-5A-4,3M,ENDOTHERMIC MAT 24.5"" X 20',1,0,"1008.80000","0","1","*","Active","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/ML_Series.pdf,-,ML-S-1BK-ND,ML-S-1BK,Essentra Components,MAGNETIC LATCH SMALL BLACK,0,0,"0.01700","0","10","ML","Active","Latch","Black","0.93"" L x 0.30"" W (23.6mm x 7.7mm)"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/ML_Series.pdf,//media.digikey.com/photos/Richco%20Photos/ML-L-1.JPG,RP923-ND,ML-L-1,Essentra Components,MAGNETIC LATCH LARGE WHITE,0,0,"0.01750","0","20","ML","Active","Latch","White","2.30"" L x 0.43"" W (58.5mm x 11.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/ML_Series.pdf,//media.digikey.com/photos/Richco%20Photos/ML-L-1BK.JPG,RP924-ND,ML-L-1BK,Essentra Components,MAGNETIC LATCH LARGE BLACK,0,0,"0.01900","0","20","ML","Active","Latch","Black","2.30"" L x 0.43"" W (58.5mm x 11.0mm)"
-,-,ZY180LM-ND,ZY180LM,IXYS,X SERIES KEY PLUG W/WIRE,0,0,"0.67000","0","1","-","Active","Keyed Gate Cathode Twin Plugs","-","-"
-,-,ZY180RM-ND,ZY180RM,IXYS,X SERIES KEY PLUG W/WIRE,0,0,"0.67000","0","1","-","Active","Keyed Gate Cathode Twin Plugs","-","-"
-,-,ZY200LM-ND,ZY200LM,IXYS,X SERIES KEY PLUG W/WIRE,0,0,"0.67000","0","1","-","Active","Keyed Gate Cathode Twin Plugs","-","-"
-,-,ZY200RM-ND,ZY200RM,IXYS,X SERIES KEY PLUG W/WIRE,0,0,"0.67000","0","1","-","Active","Keyed Gate Cathode Twin Plugs","-","-"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-PNX.pdf,-,RFRT-PN4-ND,RFRT-PN4,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"0.73714","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.30"" H (23.9mm x 15.0mm x 7.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-PNX.pdf,-,RFRT-PN6-ND,RFRT-PN6,Essentra Components,DAMPER ROTARY SNAP IN BLUE,0,0,"0.78321","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.30"" H (23.9mm x 15.0mm x 7.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-200-G1-ND,RFRT-G2-200-G1,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32141","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.26"" H (23.9mm x 15.0mm x 6.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-200-G2-ND,RFRT-G2-200-G2,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32141","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.23"" H (23.9mm x 15.0mm x 5.8mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-200-G3-ND,RFRT-G2-200-G3,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32141","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.26"" H (23.9mm x 15.0mm x 6.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-300-G1-ND,RFRT-G2-300-G1,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32374","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.26"" H (23.9mm x 15.0mm x 6.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-300-G2-ND,RFRT-G2-300-G2,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32374","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.23"" H (23.9mm x 15.0mm x 5.8mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-300-G3-ND,RFRT-G2-300-G3,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32374","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.26"" H (23.9mm x 15.0mm x 6.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-450-G1-ND,RFRT-G2-450-G1,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32608","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.26"" H (23.9mm x 15.0mm x 6.6mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-450-G2-ND,RFRT-G2-450-G2,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32608","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.23"" H (23.9mm x 15.0mm x 5.8mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/RFRT-G2-XXXGX.pdf,-,RFRT-G2-450-G3-ND,RFRT-G2-450-G3,Essentra Components,DAMPER ROTARY SNAP IN BLK,0,0,"2.32608","0","1000","-","Active","Rotary Damper","Black","0.94"" L x 0.59"" W x 0.26"" H (23.9mm x 15.0mm x 6.6mm)"
