Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Rivet Diameter","Rivet Length","Head Diameter","Head Height","Hole Diameter","Grip Range","Features","Color","Material"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Richco%20Photos/SR-5055B.JPG,RPC1425-ND,SR-5055B,Essentra Components,RIVET SNAP 0.217"" NYLON BLACK,3502,0,"0.63000","0","1","SR","Active","Snap Rivet","0.197"" (5.00mm)","0.217"" (5.50mm)","0.354"" (8.99mm)","0.087"" (2.21mm)","0.203"" (5.16mm)","0.098"" ~ 0.138"" (2.50mm ~ 3.51mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/DF.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20209.jpg,RPC1731-ND,DF-137-040,Essentra Components,MOUNTING BUTTON 0.669 ACETAL WHT,1719,0,"0.64000","0","1","DF","Active","Mounting Button","0.153"" (3.89mm)","0.669"" (16.99mm)","0.472"" (11.99mm)","0.079"" (2.01mm)","0.252"" (6.40mm)","0.059"" ~ 0.256"" (1.50mm ~ 6.50mm)","-","White","Acetal"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1411-ND,SR-2032B,Essentra Components,RIVET SNAP 0.126"" NYLON BLACK,18412,0,"0.68000","0","1","SR","Active","Snap Rivet","0.079"" (2.01mm)","0.126"" (3.20mm)","0.165"" (4.19mm)","0.047"" (1.19mm) 3/64""","0.085"" (2.16mm)","0.051"" ~ 0.079"" (1.30mm ~ 2.01mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20162.jpg,RPC2109-ND,SR-5085W,Essentra Components,RIVET SNAP 0.335"" NYLON WHITE,6483,0,"0.68000","0","1","SR","Active","Snap Rivet","0.197"" (5.00mm)","0.335"" (8.50mm)","0.354"" (8.99mm)","0.087"" (2.21mm)","0.203"" (5.16mm)","0.217"" ~ 0.256"" (5.51mm ~ 6.50mm)","-","White","Nylon"
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/27247.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20179.jpg,RPC2079-ND,RRR-1,Essentra Components,RIVET PUSH 0.315"" NYLON BLACK,1834,0,"0.68000","0","1","-","Active","Push Rivet","-","0.315"" (8.00mm)","-","0.080"" (2.03mm)","0.197"" (5.00mm)","0.059"" ~ 0.138"" (1.50mm ~ 3.51mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1426-ND,SR-5075B,Essentra Components,RIVET SNAP 0.295"" NYLON BLACK,1623,0,"0.68000","0","1","SR","Active","Snap Rivet","0.197"" (5.00mm)","0.295"" (7.50mm)","0.354"" (8.99mm)","0.087"" (2.21mm)","0.203"" (5.16mm)","0.177"" ~ 0.217"" (4.50mm ~ 5.51mm)","-","Black","Nylon"
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/27290.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_40636.jpg,RPC1396-ND,SLP-1-177-01,Essentra Components,SNAP LOCK PIN 0.257"" NYLON NRTL,7697,0,"0.69000","0","1","SLP-1","Active","Snap Lock Pin","0.090"" (2.29mm)","0.257"" (6.53mm)","0.210"" (5.33mm)","0.051"" (1.30mm)","0.098"" (2.49mm)","0.177"" (4.50mm)","-","Natural","Nylon"
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/27290.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_40636.jpg,RPC1397-ND,SLP-1-221-01,Essentra Components,SNAP LOCK PIN 0.300"" NYLON NRTL,2194,0,"0.69000","0","1","SLP-1","Active","Snap Lock Pin","0.090"" (2.29mm)","0.300"" (7.62mm)","0.210"" (5.33mm)","0.051"" (1.30mm)","0.098"" (2.49mm)","0.220"" (5.59mm)","-","Natural","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC2106-ND,SR-2040B,Essentra Components,RIVET SNAP 0.157"" NYLON BLACK,11514,0,"0.70000","0","1","SR","Active","Snap Rivet","0.079"" (2.01mm)","0.157"" (4.00mm)","0.165"" (4.19mm)","0.047"" (1.19mm) 3/64""","0.085"" (2.16mm)","0.083"" ~ 0.110"" (2.11mm ~ 2.79mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20162.jpg,RPC1777-ND,SR-2040W,Essentra Components,RIVET SNAP 0.157"" NYLON WHITE,2014,0,"0.70000","0","1","SR","Active","Snap Rivet","0.079"" (2.01mm)","0.157"" (4.00mm)","0.165"" (4.19mm)","0.047"" (1.19mm) 3/64""","0.085"" (2.16mm)","0.083"" ~ 0.110"" (2.11mm ~ 2.79mm)","-","White","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1655-ND,SR-5095B,Essentra Components,RIVET SNAP 0.374"" NYLON BLACK,1975,0,"0.70000","0","1","SR","Active","Snap Rivet","0.197"" (5.00mm)","0.374"" (9.50mm)","0.354"" (8.99mm)","0.087"" (2.21mm)","0.203"" (5.16mm)","0.256"" ~ 0.295"" (6.50mm ~ 7.49mm)","-","Black","Nylon"
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/27290.pdf,//media.digikey.com/photos/Richco%20Photos/SLP-1-100-330-01.JPG,RPC2094-ND,SLP-1-330-01,Essentra Components,SNAP LOCK PIN 0.410"" NYLON NRTL,1512,0,"0.72000","0","1","SLP-1","Active","Snap Lock Pin","0.090"" (2.29mm)","0.410"" (10.41mm)","0.210"" (5.33mm)","0.051"" (1.30mm)","0.098"" (2.49mm)","0.330"" (8.38mm)","-","Natural","Nylon"
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/27290.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_40636.jpg,RPC1776-ND,SLP-1-638-01,Essentra Components,SNAP LOCK PIN 0.718"" NYLON NRTL,7411,0,"0.73000","0","1","SLP-1","Active","Snap Lock Pin","0.090"" (2.29mm)","0.718"" (18.24mm)","0.210"" (5.33mm)","0.051"" (1.30mm)","0.098"" (2.49mm)","0.638"" (16.21mm)","-","Natural","Nylon"
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/27290.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_40636.jpg,RPC2095-ND,SLP-1-413-01,Essentra Components,SNAP LOCK PIN 0.493"" NYLON NRTL,6190,0,"0.73000","0","1","SLP-1","Active","Snap Lock Pin","0.090"" (2.29mm)","0.493"" (12.52mm)","0.210"" (5.33mm)","0.051"" (1.30mm)","0.098"" (2.49mm)","0.413"" (10.49mm)","-","Natural","Nylon"
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/27290.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_40639.jpg,RPC2096-ND,SLP100-413-01,Essentra Components,SNAP LOCK PIN 0.493"" NYLON NRTL,5163,0,"0.74000","0","1","SLP100","Active","Snap Lock Pin","0.090"" (2.29mm)","0.493"" (12.52mm)","0.210"" (5.33mm)","0.051"" (1.30mm)","0.098"" (2.49mm)","0.413"" (10.49mm)","-","Natural","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/PPR-CATALOG.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_PPR-2.jpg,RP960-ND,PPR-2,Essentra Components,RIVET PUSH 0.382"" NYLON NATURAL,9853,0,"0.84000","0","1","PPR","Active","Push Rivet","-","0.382"" (9.70mm)","0.429"" (10.90mm)","0.059"" (1.50mm)","0.189"" (4.80mm)","0.158"" ~ 0.281"" (4.01mm ~ 7.14mm)","Requires Installation Tool","Natural","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1648-ND,SR-2064B,Essentra Components,RIVET SNAP 0.252"" NYLON BLACK,8695,0,"0.85000","0","1","SR","Active","Snap Rivet","0.079"" (2.01mm)","0.252"" (6.40mm)","0.165"" (4.19mm)","0.047"" (1.19mm) 3/64""","0.085"" (2.16mm)","0.173"" ~ 0.197"" (4.39mm ~ 5.00mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SRP.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC2113-ND,SRP-3045,Essentra Components,RIVET SNAP 0.180 POLYSULFONE BLK,1821,0,"0.98000","0","1","SRP","Active","Snap Rivet","0.120"" (3.05mm)","0.180"" (4.57mm)","0.250"" (6.35mm) 1/4""","0.060"" (1.52mm)","0.124"" (3.15mm)","0.059"" ~ 0.098"" (1.50mm ~ 2.49mm)","Heat Resistant","Black","Polysulfone"
