Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Holding Type","Mounting Type","Between Board Height","Length - Overall","Support Hole Diameter","Support Panel Thickness","Mounting Hole Diameter","Mounting Panel Thickness","Features","Material"
http://www.keyelco.com/product-pdf.cfm?p=9632,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_192xB%20Series.jpg,36-1927B-ND,1927B,Keystone Electronics,BRD SPT SNAP LOCK NYLON 1/4"",19767,14600,"0.21000","0","1","-","Active","Snap Lock","Snap Lock","0.250"" (6.35mm) 1/4""","0.873"" (22.17mm)","0.156"" (3.96mm) 5/32""","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","0.070"" (1.78mm)","Winged","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9702,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_8829.jpg,36-8829-ND,8829,Keystone Electronics,BRD SPT SNAP FIT SCREW MNT 1/8"",5414,29700,"0.22000","0","1","-","Active","Snap Fit","Snap Fit","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.187"" (4.75mm) 3/16""","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","-","Stackable","Nylon"
https://katalog.we-online.de/em/datasheet/70291xxxx.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WA-SNSR.jpg,732-9619-ND,702910000,Wurth Electronics Inc.,BOARD SUPRT SCREW MNT NYLON 8MM,4333,0,"0.22000","0","1","WA-SNSR","Active","Snap Lock","Screw Mount","0.315"" (8.00mm)","0.421"" (10.70mm)","0.118"" (3.00mm)","0.063"" (1.60mm)","0.083"" (2.11mm)","-","Stackable","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9679,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_90xy.jpg,36-9019-ND,9019,Keystone Electronics,BRD SPT SNAP LOCK NYLON 3/16"",20599,26500,"0.23000","0","1","-","Active","Snap Lock","Snap Lock","0.188"" (4.78mm) 3/16""","0.467"" (11.87mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9716,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_888x.jpg,36-8880-ND,8880,Keystone Electronics,BRD SPT SNAP FIT/LOCK NYLN 3/16"",11317,0,"0.23000","0","1","-","Active","Snap Fit","Snap Lock","0.188"" (4.78mm) 3/16""","0.477"" (12.12mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","Tension Fit","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9679,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_90xy.jpg,36-9018-ND,9018,Keystone Electronics,BRD SPT SNAP LOCK NYLON 1/8"",9791,600,"0.23000","0","1","-","Active","Snap Lock","Snap Lock","0.125"" (3.18mm) 1/8""","0.406"" (10.30mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9716,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_8879.jpg,36-8879-ND,8879,Keystone Electronics,BRD SPT SNAP FIT/LOCK NYLON 1/8"",18168,0,"0.23000","0","1","-","Active","Snap Fit","Snap Fit","0.125"" (3.18mm) 1/8""","0.415"" (10.55mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","Tension Fit","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9702,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_883x.jpg,36-8830-ND,8830,Keystone Electronics,BRD SPT SNAP FIT SCREW MNT 3/16,5808,14500,"0.23000","0","1","-","Active","Snap Fit","Snap Fit","0.188"" (4.78mm) 3/16""","0.313"" (7.95mm) 5/16""","0.187"" (4.75mm) 3/16""","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","-","Stackable","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9651,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_881x.jpg,36-8815-ND,8815,Keystone Electronics,BRD SPT SNAP LOCK NYLON 3/16"",11722,17300,"0.24000","0","1","-","Active","Snap Lock","Snap Lock","0.188"" (4.78mm) 3/16""","0.746"" (18.96mm)","0.156"" (3.96mm) 5/32""","0.062"" (1.57mm) 1/16""","0.156"" (3.96mm) 5/32""","0.062"" (1.57mm) 1/16""","Winged","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9702,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_883x.jpg,36-8831-ND,8831,Keystone Electronics,BRD SPT SNAP FIT SCREW MNT 1/4"",10948,16800,"0.24000","0","1","-","Active","Snap Fit","Snap Lock","0.250"" (6.35mm) 1/4""","0.375"" (9.53mm) 3/8""","0.187"" (4.75mm) 3/16""","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","-","Stackable","Nylon"
