Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Threaded/Unthreaded","Gender","Screw, Thread Size","Diameter - Inside","Diameter - Outside","Between Board Height","Length - Overall","Features","Material","Plating","Color"
http://www.keyelco.com/product-pdf.cfm?p=5035,//media.digikey.com/Photos/Keystone%20Elect%20Photos/2130.jpg,36-2130-ND,2130,Keystone Electronics,HEX STANDOFF #6-32 SS 1-3/4"",4602,2880,"2.80000","0","1","-","Active","Hex Standoff","Threaded","Male, Female","#6-32","-","0.250"" (6.35mm) 1/4"" Hex","1.750"" (44.45mm) 1 3/4""","2.000"" (50.80mm) 2""","-","Stainless Steel","-","-"
https://cadlinks.rafhdwe.com/dk2d/4500-440-n/,//media.digikey.com/photos/RAF%20Electronic%20Hardware/4500-440-N.JPG,1772-1913-ND,4500-440-N,RAF Electronic Hardware,HEX STANDOFF #4-40 NYLON 3/16"",2751,4552,"2.94000","0","1","-","Active","Hex Standoff","Threaded","Male, Female","#4-40","-","0.188"" (4.78mm) 3/16"" Hex","0.188"" (4.78mm) 3/16""","0.376"" (9.55mm)","-","Nylon","-","-"
https://cadlinks.rafhdwe.com/dk2d/2242-1032-n/,//media.digikey.com/photos/RAF%20Electronic%20Hardware/2313-2520-N.jpg,1772-2017-ND,2242-1032-N,RAF Electronic Hardware,HEX STANDOFF #10-32 NYLON 3/4"",2893,4232,"4.04000","0","1","-","Active","Hex Standoff","Threaded","Female, Female","#10-32","-","0.375"" (9.53mm) 3/8"" Hex","0.750"" (19.05mm) 3/4""","0.750"" (19.05mm) 3/4""","-","Nylon","-","-"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9908-062.jpg,492-1071-ND,9908-062,Bivar Inc.,ROUND SPACER #4 NYLON 1/16"",132668,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.188"" (4.78mm) 3/16""","0.063"" (1.60mm) 1/16""","0.063"" (1.60mm) 1/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9913-125.jpg,492-1042-ND,9913-125,Bivar Inc.,ROUND SPACER #2 NYLON 1/8"",64152,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#2","0.091"" (2.31mm)","0.188"" (4.78mm) 3/16""","0.125"" (3.18mm) 1/8""","0.125"" (3.18mm) 1/8""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9911-125.jpg,492-1087-ND,9911-125,Bivar Inc.,ROUND SPACER #4 NYLON 1/8"",41121,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.125"" (3.18mm) 1/8""","0.125"" (3.18mm) 1/8""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9905-250.JPG,492-1104-ND,9905-250,Bivar Inc.,ROUND SPACER #6 NYLON 1/4"",31794,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#6","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9905-500.jpg,492-1108-ND,9905-500,Bivar Inc.,ROUND SPACER #6 NYLON 1/2"",23582,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#6","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.500"" (12.70mm) 1/2""","0.500"" (12.70mm) 1/2""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9908-187.jpg,492-1073-ND,9908-187,Bivar Inc.,ROUND SPACER #4 NYLON 3/16"",21678,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.188"" (4.78mm) 3/16""","0.188"" (4.78mm) 3/16""","0.188"" (4.78mm) 3/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/9XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/905-200.JPG,492-1765-ND,905-200,Bivar Inc.,ROUND SPACER NYLON 5.08MM,20012,0,"0.10000","0","1","900","Active","Round Spacer","Unthreaded","Female, Female","-","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.200"" (5.08mm)","0.200"" (5.08mm)","-","Nylon","-","Natural"
