Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Material","Hole Diameter","Flange Diameter","Panel Thickness"
http://www.essentracomponents.com.sg/images-line/pdfs/LTP.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20154.jpg,RPC3105-ND,LTP-2,Essentra Components,LIQUID TIGHT PLUG BLK 1.093"" HL,413,0,"1.79000","0","1","LTP","Active","Body Plug","Black","Silicone","1.093"" (27.76mm)","1.540"" (39.12mm)","0.125"" (3.18mm) 1/8"""
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1265373.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_551848.jpg,RPC5540-ND,551847,Essentra Components,"BLANKING PLUG: HOLE DIAMTER, ROU",1000,0,"1.80000","0","1","-","Active","Body Plug","Black","Silicone","-","-","-"
http://www.altechcorp.com/PDFS/PushButtons.pdf,//media.digikey.com/Photos/Altech-Corporation/2BP2.jpg,1920-1682-ND,2BP2,Altech Corporation,BLANKING PLUG 22 MM,66,225,"1.82000","0","1","-","Active","Body Plug","Black","-","0.886"" (22.50mm)","-","-"
-,//media.digikey.com/photos/Essentra%20Components%20Photos/SR3A.JPG,RPC6223-ND,SR3A,Essentra Components,SHEET METAL PLUG: 3.000 IN (76.2,900,0,"1.94000","0","1","SR","Active","Body Plug","Black","-","-","-","-"
http://www.essentracomponents.com.sg/images-line/pdfs/LTP.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20154.jpg,RPC4297-ND,LTP-3,Essentra Components,LIQUID TIGHT PLUG BLK 1.375"" HL,947,0,"1.99000","0","1","LTP","Active","Body Plug","Black","Silicone","1.375"" (34.93mm)","1.820"" (46.23mm)","0.125"" (3.18mm) 1/8"""
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1265374.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_551848.jpg,RPC5541-ND,551848,Essentra Components,"BLANKING PLUG: HOLE DIAMTER, ROU",1000,0,"2.32000","0","1","-","Active","Body Plug","Black","Silicone","-","-","-"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_15155B.jpg,RPC5597-ND,15172B,Essentra Components,BLANKING PLUG: 2.031 IN (51.6 MM,995,0,"2.35000","0","1","-","Active","Body Plug","Black","Thermoplastic Rubber","-","-","0.063"" (1.60mm)"
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1265375.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_5518xx.jpg,RPC5542-ND,551849,Essentra Components,BLANKING PLUG: 22.8 MM (0.898 IN,400,0,"2.84000","0","1","-","Active","Body Plug","Black","Silicone","-","-","-"
http://www.essentracomponents.com/wcsstore7.00.00.1011/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1265376.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_551850.jpg,RPC3297-ND,551850,Essentra Components,"BLANKING PLUG: N/A HOLE DIAMTER,",308,0,"3.68000","0","1","-","Active","Body Plug","Black","Silicone","0.992"" ~ 1.126"" (25.20mm ~ 28.60mm)","1.969"" (50.01mm)","0.039"" ~ 0.079"" (0.99mm ~ 2.01mm)"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1737100000.pdf,//media.digikey.com/photos/Weidmuller/1737100000.JPG,281-5844-ND,1737100000,Weidmüller,CABLE PLUG BLANK M32 PLAST EXE,99,20,"7.42000","0","1","VP","Active","Body Plug","Black","Nylon","-","-","-"
