Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Rotation Angle","Material","Plating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/259920xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_259920xx.jpg,RPC2514-ND,25992041,Essentra Access Solutions,DETENTED LEAF HINGE 52X57 POLYME,100,0,"9.36000","0","1","-","Active","Leaf Hinge","150°","Polyamide","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/259920xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_259920xx.jpg,RPC2515-ND,25992042,Essentra Access Solutions,DETENTED LEAF HINGE 52X57 POLYME,100,0,"9.36000","0","1","-","Active","Leaf Hinge","150°","Polyamide","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/259920xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_259920xx.jpg,RPC2516-ND,25992043,Essentra Access Solutions,DETENTED LEAF HINGE 52X57 POLYME,100,0,"9.36000","0","1","-","Active","Leaf Hinge","150°","Polyamide","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/99563xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_9956340.jpg,RPC2724-ND,9956340,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,100,0,"9.36000","0","1","-","Active","Concealed Hinge","110°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/99563xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_9956341.jpg,RPC2725-ND,9956341,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,100,0,"9.36000","0","1","-","Active","Concealed Hinge","110°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/99563xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_9956330.jpg,RPC2722-ND,9956330,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,99,0,"9.36000","0","1","-","Active","Concealed Hinge","110°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/99563xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_9956331.jpg,RPC2723-ND,9956331,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,99,0,"9.36000","0","1","-","Active","Concealed Hinge","110°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/259920xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_259920xx.jpg,RPC2507-ND,25992010,Essentra Access Solutions,DETENTED LEAF HINGE 52X57 POLYME,95,0,"9.36000","0","1","-","Active","Leaf Hinge","150°","Polyamide","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/09911x_09912x.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_099111.jpg,RPC2392-ND,099111,Essentra Access Solutions,LEAF HINGE 50X50 ZAMAK CHROME FI,100,0,"9.56000","0","1","-","Active","Leaf Hinge","270°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/09911x_09912x.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/x99121.JPG,RPC2401-ND,099121,Essentra Access Solutions,LEAF HINGE 50X50 ZAMAK BLACK POW,100,0,"9.56000","0","1","-","Active","Leaf Hinge","270°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Flat_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_699132001.jpg,RPC2683-ND,699112001,Essentra Access Solutions,LIFT OFF HINGE RH 50X64 ZAMAK ZI,50,0,"9.66000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Flat_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_699132002.jpg,RPC2684-ND,699112002,Essentra Access Solutions,LIFT OFF HINGE LH 50X64 ZAMAK ZI,50,0,"9.66000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/995632x_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/995632x.JPG,RPC2721-ND,9956321,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,100,0,"9.74000","0","1","-","Active","Concealed Hinge","110°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/9001x_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/90011.jpg,RPC2696-ND,90011,Essentra Access Solutions,HEAVY DUTY LEAF HINGE 90X60 ZAMA,40,0,"10.30000","0","1","-","Active","Leaf Hinge","270°","Zamak","Chrome"
