Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4006201.JPG,1758-1050-ND,4006201,Rose+Krieger,"SLOT STONE N 30MM, M5",65,0,"1.88000","0","1","Frameworks®","Active","Slot Stone","M5 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4006202.JPG,1758-1052-ND,4006202,Rose+Krieger,"SLOT STONE N 30MM, M8",35,0,"1.88000","0","1","Frameworks®","Active","Slot Stone","M8 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4016213.JPG,1758-1049-ND,4016213,Rose+Krieger,"SLOT STONE K 40MM, M8",72,0,"2.24000","0","1","Frameworks®","Active","Slot Stone","M8 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4016212.JPG,1758-1048-ND,4016212,Rose+Krieger,"SLOT STONE K 40MM, M6",60,0,"2.24000","0","1","Frameworks®","Active","Slot Stone","M6 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4026208.JPG,1758-1061-ND,4026208,Rose+Krieger,"FIXATION SET TYPE N T-NUT, WASHE",30,0,"2.51000","0","1","Frameworks®","Active","Fixing Set","M8 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_40x6221.jpg,1758-1059-ND,4026221,Rose+Krieger,"SLOT STONE R 40MM, M6",85,0,"2.60000","0","1","Frameworks®","Active","Slot Stone","M6 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/4026222.JPG,1758-1060-ND,4026222,Rose+Krieger,"SLOT STONE R 40MM, M8",80,0,"2.60000","0","1","Frameworks®","Active","Slot Stone","M8 Thread"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/4004101.JPG,1758-1023-ND,4004101,Rose+Krieger,"ANGLE BRACKET 30MM, 2 SIDES",72,0,"4.94000","0","1","Frameworks®","Active","Bracket","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1176_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1176.jpg,1528-2139-ND,1176,Adafruit Industries LLC,COUPLER FLEX SHAFT ALUM 5MM-8MM,28,0,"4.95000","0","1","-","Active","Shaft Coupler","0.197"" (5.00mm) Diameter to 0.315"" (8.00mm) Diameter"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/ROB-12501_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-12501.jpg,1568-1580-ND,ROB-12501,SparkFun Electronics,SERVO COUPLER STD,66,0,"4.99000","0","1","-","Active","Shaft Coupler","0.250"" (6.35mm) Diameter to Servo"
