Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Screw Size","Head Diameter","Mounting Hole Diameter","Head Height","Material","Color"
http://multimedia.3m.com/mws/media/1252517O/e-a-r-p-415-plug-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-415-C8002.jpg",EAR1226-ND,P-415-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1955,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.379"" (9.63mm)","0.250"" (6.35mm) 1/4""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252518O/e-a-r-p-411-plug-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-411.jpg",EAR1222-ND,P-411-C8002,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1910,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252518O/e-a-r-p-411-plug-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-411-C8012.jpg",EAR1223-ND,P-411-C8012,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1867,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252519O/e-a-r-p-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-410-C8012.jpg",EAR1219-ND,P-410-C8012,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1864,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.379"" (9.63mm)","0.250"" (6.35mm) 1/4""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252517O/e-a-r-p-415-plug-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_P-415.jpg",EAR1227-ND,P-415-C8012,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1837,0,"0.27000","0","1","ISODAMP™ C-8000","Active","-","0.379"" (9.63mm)","0.250"" (6.35mm) 1/4""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252184O/e-a-r-g-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-410-V2xxx.jpg",EAR1247-ND,G-410-V2599,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL NAT,45622,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.377"" (9.58mm)","0.250"" (6.35mm) 1/4""","0.230"" (5.84mm)","Thermoplastic","Natural"
http://multimedia.3m.com/mws/media/1252173O/e-a-r-g-411-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-411-V2xxx.jpg",EAR1253-ND,G-411-V2325,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,19655,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252184O/e-a-r-g-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-410-V2xxx.jpg",EAR1243-ND,G-410-V2325,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,9005,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.377"" (9.58mm)","0.250"" (6.35mm) 1/4""","0.230"" (5.84mm)","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252174O/e-a-r-g-503-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-503.jpg",EAR1261-ND,G-503-V2590,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,6230,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.385"" (9.78mm)","0.244"" (6.20mm)","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252173O/e-a-r-g-411-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-411-2.jpg",EAR1121-ND,G-411-2,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,4925,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","0.323"" (8.20mm)","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252179O/e-a-r-g-401-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-401.JPG",EAR1095-ND,G-401-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,4500,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252173O/e-a-r-g-411-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-411-V2xxx.jpg",EAR1255-ND,G-411-V2590,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,3140,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252181O/e-a-r-g-414-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-414-2.jpg",EAR1133-ND,G-414-2,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,2568,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","0.313"" (7.95mm) 5/16""","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252515O/e-a-r-g-512-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-512.jpg",EAR1266-ND,G-512-V2525,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,2548,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.625"" (15.88mm) 5/8""","0.437"" (11.10mm) 7/16""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252171O/e-a-r-g-404-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-404.jpg",EAR1109-ND,G-404-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,2195,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.625"" (15.88mm) 5/8""","0.380"" (9.65mm)","-","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252173O/e-a-r-g-411-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-411-V2xxx.jpg",EAR1254-ND,G-411-V2525,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,2129,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252184O/e-a-r-g-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-410-2.jpg",EAR1115-ND,G-410-2,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,1951,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.377"" (9.58mm)","0.250"" (6.35mm) 1/4""","0.230"" (5.84mm)","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252177O/e-a-r-g-462-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-462-V2325.jpg",EAR1259-ND,G-462-V2325,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1851,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","-","-","-","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252184O/e-a-r-g-410-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-410-V2xxx.jpg",EAR1252-ND,G-410-V2790,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLK,1682,0,"0.34000","0","1","VersaDamp™ V-2000","Active","-","0.377"" (9.58mm)","0.250"" (6.35mm) 1/4""","0.230"" (5.84mm)","Thermoplastic","Black"
http://multimedia.3m.com/mws/media/1252181O/e-a-r-g-414-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-414-1.jpg",EAR1132-ND,G-414-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1486,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.563"" (14.30mm)","0.375"" (9.53mm) 3/8""","0.313"" (7.95mm) 5/16""","Thermoplastic","Blue"
http://multimedia.3m.com/mws/media/1252180O/e-a-r-g-427-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-427-2.jpg",EAR1139-ND,G-427-2,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPLSTC,1484,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.441"" (11.20mm)","0.312"" (7.92mm) 5/16""","-","Thermoplastic","-"
http://multimedia.3m.com/mws/media/1252510O/e-a-r-g-506-grommet-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_G-506-1.jpg",EAR1185-ND,G-506-1,"3M - Aearo Technologies, LLC",SCREW GROMMET THRMPL BLUE,1437,0,"0.34000","0","1","ISODAMP™ C-1000","Active","-","0.460"" (11.68mm)","0.315"" (8.00mm)","-","Thermoplastic","Blue"
