Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Size","Size / Dimension"
-,//media.digikey.com/Photos/3M%20Photos/17069.jpg,3M12112-ND,17069-ES,3M,LARGE WIRE HOOK 1 HOOK 2 STRIPS,21,0,"3.63000","0","1","Command™","Active","Hook","White","Large","-"
-,//media.digikey.com/Photos/3M%20Photos/17068.jpg,3M12111-ND,17068ES,3M,MED WIRE HOOKS 2 HOOKS 4 STRIPS,10,0,"3.63000","0","1","Command™","Active","Hook","White","Medium","3.13"" L x 1.13"" W (79.5mm x 28.7mm)"
-,//media.digikey.com/Photos/3M%20Photos/17004.jpg,3M12107-ND,17004,3M,JUMBO UTILITY HOOK 1HOOK 4STRIPS,4,0,"4.37000","0","1","Command™","Active","Hook","White","Jumbo","4.25"" L x 2.00"" W (107.9mm x 50.8mm)"
-,//media.digikey.com/Photos/3M%20Photos/17051-BN.jpg,3M12073-ND,17051-BN,3M,METALLIC BRUSHED NICKEL MED HOOK,7,0,"4.49000","0","1","Command™","Active","Hook","Nickel","Medium","3.13"" L x 1.25"" W (79.5mm x 31.8mm)"
-,//media.digikey.com/Photos/3M%20Photos/17048.JPG,3M12119-ND,17048-ES,3M,WIRE-BACK STICKY NAIL MTL HANGER,7,0,"4.57000","0","1","Command™","Active","Hanger","Silver","Large","3.00"" L x 2.00"" W (76.2mm x 50.8mm)"
-,//media.digikey.com/Photos/3M%20Photos/17063-BN.JPG,3M12077-ND,17063BN-ES,3M,METALLIC COAT NICKEL LARGE HOOK,10,0,"5.99000","0","1","Command™","Active","Hook","Nickel","Large","4.00"" L x 1.63"" W (101.6mm x 41.4mm)"
-,//media.digikey.com/Photos/3M%20Photos/17083-BN.JPG,3M12081-ND,17083BN-ES,3M,LARGE METALLIC COATED NCKL HOOK,3,0,"5.99000","0","1","Command™","Active","Hook","Nickel","Large","-"
http://multimedia.3m.com/mws/media/658769O/commandtm-instructions.pdf,//media.digikey.com/Photos/3M%20Photos/17006-VP.JPG,3M12095-ND,17006-18ES,3M,MINI HOOKS VALUE PACK,14,0,"8.06000","0","1","Command™","Active","Clips","White","Mini","1.13"" L x 0.88"" W (28.7mm x 22.4mm)"
-,//media.digikey.com/Photos/3M%20Photos/17002-VP-6PK.JPG,3M12115-ND,17002-6ES,3M,SMALL UTILITY HOOKS VALUE PACK,5,0,"8.08000","0","1","Command™","Active","Hook","White","Small","2.38"" L x 0.88"" W (60.5mm x 22.4mm)"
-,//media.digikey.com/Photos/3M%20Photos/17003-VP-3PK.JPG,3M12114-ND,17003-3ES,3M,LARGE UTILITY HOOKS VALUE PACK,13,0,"8.68000","0","1","Command™","Active","Hook","White","Large","3.88"" L x 1.25"" W (98.6mm x 31.8mm)"
-,//media.digikey.com/Photos/3M%20Photos/FC13-BN.JPG,3M12086-ND,FC13-BN-ES,3M,CLASSIC BRUSH NICKEL LARGE HOOK,5,0,"12.38000","0","1","Command™","Active","Hook","Nickel","Large","4.13"" L x 1.63"" W (104.9mm x 41.4mm)"
-,//media.digikey.com/Photos/3M%20Photos/17002.jpg,3M12100-ND,17002,3M,SMALL UTILITY HOOKS,1,0,"3.14000","0","1","Command™","Active","Hook","White","Small","2.38"" L x 0.88"" W (60.5mm x 22.4mm)"
-,//media.digikey.com/Photos/3M%20Photos/17001.jpg,3M12105-ND,17001,3M,MED UTILITY HOOKS 2HOOKS 4STRIPS,13,0,"3.32000","0","1","Command™","Active","Hook","White","Medium","3.00"" L x 0.88"" W (76.2mm x 22.4mm)"
-,//media.digikey.com/Photos/3M%20Photos/17003.jpg,3M12106-ND,17003,3M,LARGE UTILITY HOOK 1HOOK 2STRIPS,14,0,"3.37000","0","1","Command™","Active","Hook","White","Large","3.88"" L x 1.25"" W (98.6mm x 31.8mm)"
-,//media.digikey.com/Photos/3M%20Photos/17081.jpg,3M12098-ND,17081,3M,MED DESIGNER HOOK 2 HOOK 4 STRIP,8,0,"3.62000","0","1","Command™","Active","Hook","White","Medium","-"
-,//media.digikey.com/Photos/3M%20Photos/17081-BN.jpg,3M12082-ND,17081BN-ES,3M,MED METALLIC COATED NICKEL HOOK,3,0,"4.00000","0","1","Command™","Active","Hook","Nickel","Medium","3.13"" L x 1.13"" W (79.5mm x 28.7mm)"
-,//media.digikey.com/Photos/3M%20Photos/17081B.jpg,3M12058-ND,17081B-ES,3M,DESIGN MED HOOKS 2 HOOKS 4 STRIP,5,0,"4.26000","0","1","Command™","Active","Hook","White","Medium","3.13"" L x 1.13"" W (79.5mm x 28.7mm)"
-,//media.digikey.com/Photos/3M%20Photos/17071-BN.jpg,3M12079-ND,17071-BN,3M,MED METALLIC COATED NICKEL HOOK,4,0,"4.40000","0","1","Command™","Active","Hook","Nickel","Medium","3.13"" L x 1.25"" W (79.5mm x 31.8mm)"
-,//media.digikey.com/Photos/3M%20Photos/17026.jpg,3M12109-ND,17026,3M,DECORATING CLIPS 20CLIP 24STRIPS,6,0,"4.63000","0","1","Command™","Active","Clips","White","Small","0.75"" L x 0.50"" W (19.1mm x 12.7mm)"
-,//media.digikey.com/Photos/3M%20Photos/FC11-ORB.JPG,3M12094-ND,FC11-ORB,3M,CLASSIC OIL-RUB BRNZE SMALL HOOK,4,0,"7.49000","0","1","Command™","Active","Hook","Bronze","Small","2.63"" L x 1.00"" W (66.8mm x 25.4mm)"
-,//media.digikey.com/Photos/3M%20Photos/17026-VP.JPG,3M12116-ND,17026-VP,3M,DECORATING CLIPS VALUE PACK,3,0,"7.93000","0","1","Command™","Active","Clips","White","Mini","-"
-,//media.digikey.com/Photos/3M%20Photos/MR01-SN-B.JPG,3M12056-ND,MR01-SN-B,3M,REFLECT METAL NICKEL SMALL HOOK,3,0,"9.42000","0","1","Command™","Active","Hook","Satin Nickel","Small","2.38"" L x 0.88"" W (60.5mm x 22.4mm)"
-,//media.digikey.com/Photos/3M%20Photos/FC12-ORB.JPG,3M12093-ND,FC12-ORB-ES,3M,CLASSIC OIL-RUB BRONZE MED HOOK,4,0,"10.13000","0","1","Command™","Active","Hook","Bronze","Medium","3.25"" L x 1.25"" W (82.6mm x 31.8mm)"
-,//media.digikey.com/Photos/3M%20Photos/FC13-ORB.JPG,3M12091-ND,FC13-ORB-ES,3M,CLASSIC OIL-RUBBED BRNZ LRG HOOK,11,0,"12.38000","0","1","Command™","Active","Hook","Bronze","Large","4.13"" L x 1.63"" W (104.9mm x 41.4mm)"
https://multimedia.3m.com/mws/media/1395977O/tbd.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_MR13-SS-ES.jpg,3M162671-ND,MR13-SS-ES,3M,COMMAND MODERN METAL LARGE H,7,0,"6.51000","0","1","Command™","Active","-","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/17067-VP.JPG,3M12104-ND,17067-9ES,3M,SMALL WIRE HOOKS VALUE PACK,8,0,"8.55000","0","1","Command™","Active","Hook","Silver","Small","1.63"" L x 0.75"" W (41.4mm x 19.0mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/17001-6ES_Ds.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_17001-6ES.jpg,3M162664-ND,17001-6ES,3M,COMMAND MEDIUM UTILITY HOOK,21,0,"8.68000","0","1","Command™","Active","-","-","-","-"
https://multimedia.3m.com/mws/media/1395977O/tbd.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_17204-12ES.jpg,3M162668-ND,17204-12ES,3M,COMMAND PICTURE HANGING STRI,16,0,"9.24000","0","1","Command™","Active","-","-","-","-"
https://multimedia.3m.com/mws/media/1185931O/17047-es-34871659354-command-instructions.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_17047-3ES.jpg,3M162691-ND,17047-3ES,3M,COMMAND UNIVERSAL PICTURE HA,4,0,"9.24000","0","1","Command™","Active","-","-","-","-"
https://multimedia.3m.com/mws/media/1395977O/tbd.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_17206-12ES.jpg,3M162669-ND,17206-12ES,3M,COMMAND LARGE PICTURE HANGIN,9,0,"9.36000","0","1","Command™","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/17081-6ES_Web_Ds.pdf,//media.digikey.com/Photos/3M%20Photos/17081-6ES.JPG,3M156411-ND,17081-6ES,3M,"COMMAND DAMAGE-FREE HANGING, HOL",5,0,"9.40000","0","1","Command™","Active","Hook","White","Medium","3.13"" L x 0.93"" W (79.4mm x 23.6mm)"
-,-,17024CABPK-ND,17024CABPK,3M,COMMAND POSTER STRIPS TRIAL,0,0,"0.52500","0","100","Command™","Active","-","-","-","-"
-,-,17081CABPK-ND,17081CABPK,3M,COMMAND HOOK TRIAL PACK 1708,0,0,"0.89640","0","50","Command™","Active","-","-","-","-"
-,-,17091CLRCABPK-ND,17091CLRCABPK,3M,COMMAND HOOK TRIAL PACK 1709,0,0,"1.08000","0","50","Command™","Active","-","-","-","-"
-,-,17201CABPK-ND,17201CABPK,3M,COMMAND PICTURE HANGING STRI,0,0,"1.08000","0","50","Command™","Active","-","-","-","-"
-,-,17091CLR-S300-ND,17091CLR-S300,3M,COMMAND MEDIUM CLEAR HOOK TR,0,0,"1.70190","0","300","Command™","Active","-","-","-","-"
-,-,17020-ES-ND,17020-ES,3M,COMMAND DECORATING CLIP REFI,0,0,"2.14333","0","6","Command™","Active","-","-","-","-"
-,-,17024ES-ND,17024ES,3M,COMMAND SMALL POSTER STRIPS,0,0,"2.15167","0","6","Command™","Active","-","-","-","-"
-,-,17208-ES-ND,17208-ES,3M,COMMAND FRAME STABILIZER STR,0,0,"2.39333","0","6","Command™","Active","-","-","-","-"
-,-,17087GES-ND,17087GES,3M,COMMAND GRAPHITE DOUBLE HOOK,0,0,"2.49500","0","4","Command™","Active","-","-","-","-"
-,-,17087QES-ND,17087QES,3M,COMMAND QUARTZ DOUBLE HOOK 1,0,0,"2.49500","0","4","Command™","Active","-","-","-","-"
-,-,17087SES-ND,17087SES,3M,COMMAND SLATE DOUBLE HOOK 17,0,0,"2.49500","0","4","Command™","Active","-","-","-","-"
-,-,17024CLR-ES-ND,17024CLR-ES,3M,COMMAND CLEAR SMALL REFILL S,0,0,"2.58833","0","6","Command™","Active","-","-","-","-"
-,-,17021ES-ND,17021ES,3M,COMMAND MEDIUM REFILL STRIPS,0,0,"2.62167","0","6","Command™","Active","-","-","-","-"
-,-,17021P-ES-ND,17021P-ES,3M,COMMAND MEDIUM REFILL STRIPS,0,0,"2.62167","0","6","Command™","Active","-","-","-","-"
-,-,17006ES-ND,17006ES,3M,COMMAND MINI WHITE HOOKS WIT,0,0,"2.98667","0","6","Command™","Active","-","-","-","-"
-,-,17002ES-ND,17002ES,3M,COMMAND SMALL UTILITY HOOKS,0,0,"2.98667","0","6","Command™","Active","-","-","-","-"
-,-,17067-ALT-ND,17067-ALT,3M,COMMAND SMALL WIRE HOOKS 17067-A,0,0,"2.99167","0","36","Command™","Active","Hook","White","Small","1.63"" L x 0.75"" W (41.4mm x 19.0mm)"
-,-,17001CS-ND,17001CS,3M,COMMAND MEDIUM UTILITY HOOKS,0,0,"3.10833","0","12","Command™","Active","-","-","-","-"
-,-,17021-ND,17021,3M,COMMAND MEDIUM REFILL STRIPS,0,0,"3.11167","0","6","Command™","Active","-","-","-","-"
-,-,17021CLR-ES-ND,17021CLR-ES,3M,COMMAND CLEAR MEDIUM REFILL,0,0,"3.15833","0","6","Command™","Active","-","-","-","-"
-,-,17082ES-ND,17082ES,3M,COMMAND SMALL DESIGNER HOOKS,0,0,"3.19167","0","6","Command™","Active","-","-","-","-"
-,-,17201P-ES-ND,17201P-ES,3M,COMMAND MEDIUM PICTURE HANGI,0,0,"3.28333","0","24","Command™","Active","-","-","-","-"
http://multimedia.3m.com/mws/media/876624O/us-command-full-line-catalog-70-0717-0001-0-2013-pdf.pdf,-,17081CS-ND,17081CS,3M,MED DESIGNER HOOK,0,0,"3.35250","0","12","Command™","Active","Hook","White","Medium","-"
-,-,17201ES-ND,17201ES,3M,COMMAND MEDIUM PICTURE HANGI,0,0,"3.36333","0","9","Command™","Active","-","-","-","-"
-,-,17201-ES-ND,17201-ES,3M,COMMAND MEDIUM PICTURE HANGI,0,0,"3.36333","0","9","Command™","Active","-","-","-","-"
-,-,17201OF-ND,17201OF,3M,COMMAND MEDIUM PICTURE HANGI,0,0,"3.36333","0","9","Command™","Active","-","-","-","-"
-,-,17202-ALT-ND,17202-ALT,3M,COMMAND SMALL PICTURE HANGIN,0,0,"3.36333","0","9","Command™","Active","-","-","-","-"
-,-,17202ES-ND,17202ES,3M,COMMAND SMALL PICTURE HANGIN,0,0,"3.36333","0","9","Command™","Active","-","-","-","-"
-,-,17065-ES-ND,17065-ES,3M,COMMAND MEDIUM WIRE TOGGLE H,0,0,"3.38500","0","4","Command™","Active","-","-","-","-"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF4720.jpg,RF4720-ND,RF4720,3M,SCOTCH GENERAL PURPOSE FASTENERS,0,0,"3.42500","0","4","Scotch®","Active","Hanger","White","-","0.87"" L x 0.87"" W (22.2mm x 22.2mm)"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RF4721.jpg,RF4721-ND,RF4721,3M,SCOTCH GENERAL PURPOSE FASTENERS,0,0,"3.42500","0","4","Scotch®","Active","Hanger","Black","-","0.87"" L x 0.87"" W (22.2mm x 22.2mm)"
-,-,17081-ALT-ND,17081-ALT,3M,COMMAND MEDIUM DESIGNER HOOK,0,0,"3.44333","0","6","Command™","Active","-","-","-","-"
-,-,17040ES-ND,17040ES,3M,COMMAND SAWTOOTH PICTURE HAN,0,0,"3.44333","0","6","Command™","Active","-","-","-","-"
-,-,17041-ES-ND,17041-ES,3M,COMMAND WIRE BACK PICTURE HA,0,0,"3.44333","0","6","Command™","Active","-","-","-","-"
-,-,17200-ES-ND,17200-ES,3M,COMMAND ASSORTED REFILL STRI,0,0,"3.45500","0","6","Command™","Active","-","-","-","-"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RFD7090.jpg,RFD7090-ND,RFD7090,3M,EXCELLENT INTERLOCKING TAPE FOR,0,0,"3.52792","0","24","Scotch™","Active","-","Clear","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/17605B.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_17605B.jpg,17605B-ES-ND,17605B-ES,3M,LARGE REFILL STRIPS 4 STRIPS,0,0,"3.54667","0","6","Command™","Active","Strips","-","Large","3.63"" L x 0.75"" W (92.2mm x 19.0mm)"
-,-,17006CLR-ALT-ND,17006CLR-ALT,3M,COMMAND MINI CLEAR HOOKS WIT,0,0,"3.56833","0","6","Command™","Active","-","-","-","-"
-,-,17067CLR-ES-ND,17067CLR-ES,3M,COMMAND SMALL CLR WIRE HOOKS W/C,0,0,"3.58556","0","36","Command™","Active","Hook","Clear","Small","1.63"" L x 0.75"" W (41.4mm x 19.0mm)"
-,-,17067CLR-P-ND,17067CLR-P,3M,COMMAND PERFECTLY PINK SMALL WIR,0,0,"3.58556","0","36","Command™","Active","Hook","Pink","Small","1.63"" L x 0.75"" W (41.4mm x 19.0mm)"
-,//media.digikey.com/Photos/3M%20Photos/17081-GG.jpg,3M12070-ND,17081-GG,3M,MEDIUM GRN GRASS DESIGNER HOOKS,0,0,"3.58750","0","4","Command™","Active","Hook","Green","Medium","3.13"" L x 1.13"" W (79.5mm x 28.7mm)"
-,-,17083ES-ND,17083ES,3M,COMMAND LARGE DESIGNER HOOK,0,0,"3.62500","0","4","Command™","Active","-","-","-","-"
-,-,17210-ES-ND,17210-ES,3M,COMMAND PICTURE CLIPS 17210-,0,0,"3.62500","0","4","Command™","Active","-","-","-","-"
-,-,17086GES-ND,17086GES,3M,COMMAND GRAPHITE TERRACE HOO,0,0,"3.78000","0","4","Command™","Active","-","-","-","-"
-,-,17086QES-ND,17086QES,3M,COMMAND QUARTZ TERRACE HOOK,0,0,"3.78000","0","4","Command™","Active","-","-","-","-"
-,-,17086SES-ND,17086SES,3M,COMMAND SLATE TERRACE HOOK 1,0,0,"3.78000","0","4","Command™","Active","-","-","-","-"
-,-,17083G-AWES-ND,17083G-AWES,3M,COMMAND OUTDOOR LARGE GRAPHI,0,0,"3.81500","0","4","Command™","Active","-","-","-","-"
-,-,17092CLR-ES-ND,17092CLR-ES,3M,COMMAND SMALL CLEAR HOOKS WI,0,0,"3.84167","0","6","Command™","Active","-","-","-","-"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RFLD7020.jpg,RFLD7020-ND,RFLD7020,3M,SCOTCH OUTDOOR FASTENERS ARE GRE,0,0,"3.85000","0","6","Scotch®","Active","Hanger","White","-","0.87"" Dia (22.2mm)"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RFLD7021.jpg,RFLD7021-ND,RFLD7021,3M,SCOTCH GENERAL PURPOSE FASTENERS,0,0,"3.85000","0","6","Scotch®","Active","Hanger","Black","-","0.87"" Dia (22.2mm)"
-,-,17803-ES-ND,17803-ES,3M,COMMAND PARTY CEILING HOOKS,0,0,"3.90000","0","4","Command™","Active","-","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/17083B.jpg,3M12059-ND,17083B,3M,DESIGN LRG HOOK 1 HOOK 2 STRIPS,0,0,"3.94042","0","24","Command™","Active","Hook","White","Large","4.13"" L x 1.50"" W (104.9mm x 38.1mm)"
-,-,17086S-AWES-ND,17086S-AWES,3M,COMMAND OUTDOOR MEDIUM SLATE,0,0,"3.96000","0","4","Command™","Active","-","-","-","-"
http://multimedia.3m.com/mws/media/1308738O/us-scotch-fastening-brochure-2016-price-page-info-removed-pdf.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_RFD7020.jpg,RFD7020-ND,RFD7020,3M,SCOTCH EXTREME FASTENERS ARE GRE,0,0,"3.97500","0","6","Scotch®","Active","Hanger","Clear","-","1.00"" L x 1.00"" W (25.4mm x 25.4mm)"
-,-,17089Q-ES-ND,17089Q-ES,3M,COMMAND QUARTZ SPRING CLIP 1,0,0,"3.99000","0","6","Command™","Active","-","-","-","-"
-,-,17089S-ES-ND,17089S-ES,3M,COMMAND SLATE SPRING CLIP 17,0,0,"3.99000","0","6","Command™","Active","-","-","-","-"
-,-,17026H-AWES-ND,17026H-AWES,3M,COMMAND DECORATING CLIPS WIT,0,0,"4.01475","0","3024","Command™","Active","-","-","-","-"
-,-,17066CLRUV-ES-ND,17066CLRUV-ES,3M,COMMAND WINDOW HOOK 17066CLR,0,0,"4.08167","0","6","Command™","Active","-","-","-","-"
-,-,17091CLR-GES-ND,17091CLR-GES,3M,COMMAND GLAMOROUS GREEN CLEA,0,0,"4.12667","0","6","Command™","Active","-","-","-","-"
-,-,17091CLR-ES-ND,17091CLR-ES,3M,COMMAND MEDIUM CLEAR HOOKS W,0,0,"4.12667","0","6","Command™","Active","-","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/17062-BN.jpg,3M12076-ND,17062-BN,3M,METALLIC COAT NICKEL SMALL HOOK,0,0,"4.14000","0","4","Command™","Active","Hook","Nickel","Small","2.38"" L x 1.00"" W (60.5mm x 25.4mm)"
