Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shape","Color","Size / Dimension","Thickness","Material","Hardness","Form","Mounting Type"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/photos/3M%20Photos/SJ-5012%20(GRAY).jpg,SJ5012-8-ND,SJ-5012 (GRAY),3M,BUMPER CYLINDRICAL 0.5"" DIA GRY,24807,0,"0.10286","0","56","Bumpon™, SJ5000","Active","Bumper","Cylindrical, Tapered","Gray","0.500"" Dia (12.70mm)","0.138"" (3.50mm)","Polyurethane","72 Shore M","Sheet","Adhesive, Rubber"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_SJ-5306-CLEAR-3000.jpg,SJ-5306-CLEAR-3000/CASE-ND,SJ-5306-CLEAR-3000/CASE,3M,BUMPER CYLIN 0.375"" DIA CLR,69624,0,"0.10458","0","96","Bumpon™, SJ5300","Active","Bumper","Cylindrical, Dome","Clear","0.375"" Dia (9.53mm)","0.150"" (3.81mm)","Polyurethane","75 Shore M","Sheet","Adhesive, Acrylic"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_SJ61A6.jpg,SJ61A6-ND,SJ61A6,3M,BUMPER CYLIN 0.312"" DIA BLK,8320,0,"0.10479","0","144","Bumpon™, SJ6100","Active","Bumper","Cylindrical, Tapered","Black","0.312"" Dia (7.92mm)","0.215"" (5.46mm)","Polyurethane","72 Shore M","Sheet","Adhesive, Rubber"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_SJ61A1.jpg,SJ5746-0-ND,SJ61A1,3M,BUMPER CYLIN 0.312"" DIA BLK,89286,0,"0.10979","0","144","Bumpon™, SJ6100","Active","Bumper","Cylindrical, Tapered","Black","0.312"" Dia (7.92mm)","0.200"" (5.08mm)","Polyurethane","72 Shore M","Sheet","Adhesive, Rubber"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_SJ-5018-BLACK.jpg,3M156248-ND,SJ-5018-BLACK,3M,BUMPER SQUARE 0.5""L X 0.5""W BLK,13360,0,"0.15025","0","80","Bumpon™, SJ5000","Active","Bumper","Square, Tapered","Black","0.500"" L x 0.500"" W (12.70mm x 12.70mm)","0.230"" (5.84mm)","Polyurethane","72 Shore M","Sheet","Adhesive, Rubber"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/photos/3M%20Photos/SJ-5518%20(BLACK).jpg,SJ5518-0-ND,SJ-5518 (BLACK),3M,BUMPER SQUARE 0.5""L X 0.5""W BLK,29920,0,"0.15906","0","64","Bumpon™, SJ5500","Active","Bumper","Square, Tapered","Black","0.500"" L x 0.500"" W (12.70mm x 12.70mm)","0.230"" (5.84mm)","Polyurethane","72 Shore M","Sheet","Adhesive, Rubber"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_SJ61A8.jpg,SJ5745-0-ND,SJ61A8,3M,BUMPER CYLIN 0.375"" DIA BLK,7056,0,"0.16681","0","144","Bumpon™, SJ6100","Active","Bumper","Cylindrical, Tapered","Black","0.375"" Dia (9.53mm)","0.135"" (3.43mm)","Polyurethane","72 Shore M","Sheet","Adhesive, Rubber"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/photos/3M%20Photos/SJ61A3.JPG,SJ5749-0-ND,SJ61A3,3M,BUMPER CYLIN 0.375"" DIA BLK,25008,0,"0.20135","0","96","Bumpon™, SJ6100","Active","Bumper","Cylindrical, Tapered","Black","0.375"" Dia (9.53mm)","0.250"" (6.35mm) 1/4""","Polyurethane","72 Shore M","Sheet","Adhesive, Rubber"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/photos/3M%20Photos/SJ61A4.JPG,SJ5750-0-ND,SJ61A4,3M,BUMPER CYLIN 0.375"" DIA BLK,30871,0,"0.21042","0","48","Bumpon™, SJ6100","Active","Bumper","Cylindrical, Tapered","Black","0.375"" Dia (9.53mm)","0.311"" (7.90mm)","Polyurethane","72 Shore M","Sheet","Adhesive, Rubber"
https://multimedia.3m.com/mws/media/117314O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_SJ-5023-BLACK.jpg,SJ-5023-BLACK-ND,SJ-5023-BLACK,3M,BUMPER SQU 0.81""L X 0.81""W BLK,59796,0,"0.24611","0","36","Bumpon™, SJ5000","Active","Bumper","Square, Tapered","Black","0.810"" L x 0.810"" W (20.57mm x 20.57mm)","0.300"" (7.62mm)","Polyurethane","72 Shore M","Sheet","Adhesive, Rubber"
