Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Type","Shaft Size","Diameter","Height","Indicator","Material","Color","Features"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3baa8cd0f68856d468c76/1471396521494/OED_PNB_fv3_v.png,//media.digikey.com/photos/Kilo%20International%20Photos/OEDL-75%20BLK.jpg,226-4102-ND,OEDL-75-4-5,Kilo International,KNOB KNURLED 0.250"" METAL,336,0,"6.55000","0","1","OED","Active","Cylindrical","Knurled, Diamond","0.250"" (6.35mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","Line on Top","Metal","Black Matte","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/photos/Kilo%20International%20Photos/OEJL-75%20CLR.jpg,226-2086-ND,OEJL-75-1-6,Kilo International,KNOB KNURLED 0.125"" METAL,219,0,"6.55000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.125"" (3.18mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","Line on Top","Metal","Clear Gloss","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/Photos/Kilo%20International%20Photos/MFG_OEJNI-75-BLK.jpg,226-4239-ND,OEJNI-75-4-7,Kilo International,KNOB KNURLED 0.236"" METAL,214,0,"6.55000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.236"" (6.00mm)","0.750"" (19.05mm)","0.625"" (15.88mm)","-","Metal","Black Matte","6-32 Set Screw"
http://www.keyelco.com/product-pdf.cfm?p=1626,//media.digikey.com/photos/Keystone%20Elect%20Photos/8554.jpg,36-8554-ND,8554,Keystone Electronics,KNOB KNURLED 0.125"" PLAST,259,1057,"6.62000","0","1","-","Active","Cylindrical","Knurled, Straight","0.125"" (3.18mm)","0.505"" (12.83mm)","0.660"" (16.76mm)","Line on Top","Plastic","Black","4-40 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/Photos/Kilo%20International%20Photos/OEJNI-90-CLR.jpg,226-4240-ND,OEJNI-90-1-5,Kilo International,KNOB KNURLED 0.250"" METAL,294,0,"6.64000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.250"" (6.35mm)","0.925"" (23.50mm)","0.625"" (15.88mm)","-","Metal","Clear Gloss","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/Photos/Kilo%20International%20Photos/OEJNI-90-BLK.jpg,226-4251-ND,OEJNI-90-4-7,Kilo International,KNOB KNURLED 0.236"" METAL,259,0,"6.64000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.236"" (6.00mm)","0.925"" (23.50mm)","0.625"" (15.88mm)","-","Metal","Black Matte","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/photos/Kilo%20International%20Photos/OEJL-90%20CLR.jpg,226-3091-ND,OEJL-90-3-5,Kilo International,KNOB KNURLED 0.250"" METAL,165,0,"6.64000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.250"" (6.35mm)","0.925"" (23.50mm)","0.625"" (15.88mm)","Line on Top","Metal","Clear Matte","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb009de4bb23fd59bfd2/1471396609443/OEJ_PNB_fv3_v.png,//media.digikey.com/photos/Kilo%20International%20Photos/OEJL-90%20CLR.jpg,226-2091-ND,OEJL-90-1-5,Kilo International,KNOB KNURLED 0.250"" METAL,142,0,"6.64000","0","1","OEJ","Active","Cylindrical","Knurled, Diamond","0.250"" (6.35mm)","0.925"" (23.50mm)","0.625"" (15.88mm)","Line on Top","Metal","Clear Gloss","6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3baa8cd0f68856d468c76/1471396521494/OED_PNB_fv3_v.png,//media.digikey.com/photos/Kilo%20International%20Photos/OEDL-90%20BLK.jpg,226-4107-ND,OEDL-90-4-7,Kilo International,KNOB KNURLED 0.236"" METAL,137,0,"6.64000","0","1","OED","Active","Cylindrical","Knurled, Diamond","0.236"" (6.00mm)","0.925"" (23.50mm)","0.625"" (15.88mm)","Line on Top","Metal","Black Matte","6-32 Set Screw"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1437622-1&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/KLN500B1^8.JPG,450-1699-ND,KLN500B1/8,TE Connectivity ALCOSWITCH Switches,KNOB KNURLED 0.126"" METAL,1207,0,"6.84000","0","1","KLN","Active","Cylindrical","Knurled, Straight","0.126"" (3.20mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black","6-32 Set Screw (2)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=4-1437622-6&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/KN500B1%208.JPG,450-1707-ND,KN500B1/8,TE Connectivity ALCOSWITCH Switches,KNOB KNURLED 0.126"" METAL,259,0,"6.84000","0","1","KN","Active","Cylindrical","Knurled, Straight","0.126"" (3.20mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Side","Metal","Black","6-32 Set Screw (2)"
http://www.keyelco.com/product-pdf.cfm?p=1628,//media.digikey.com/photos/Keystone%20Elect%20Photos/8556.jpg,36-8556-ND,8556,Keystone Electronics,KNOB KNURLED 0.250"" PLAST,118,145,"7.09000","0","1","-","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.905"" (23.00mm)","1.010"" (25.65mm)","Line on Top","Plastic","Black","8-32 Set Screw (2)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1437625-1&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/PKS1132B101^4.JPG,450-1750-ND,PKS1132B101/4,TE Connectivity ALCOSWITCH Switches,KNOB KNURLED W/SKRT 0.250"" PLAST,306,0,"7.79000","0","1","PKS","Active","Cylindrical with Skirt","Knurled, Straight","0.250"" (6.35mm)","0.551"" (14.00mm), 1.180"" (29.97mm) Skirt","0.748"" (19.00mm)","Numbers on Skirt","Plastic with Aluminum Skirt","Black, Natural","0~10 Numbers, 6-32 Set Screw"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-50%20BLK.jpg,226-4010-ND,JD-50-4-6,Kilo International,KNOB KNURLED 0.125"" METAL,550,0,"8.10000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.125"" (3.18mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black Matte","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-50%20BLK.jpg,226-4033-ND,JD-50-4-5,Kilo International,KNOB KNURLED 0.250"" METAL,393,0,"8.10000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.250"" (6.35mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Black Matte","6-32 Set Screw (2)"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3ba689de4bb23fd59ba3c/1471396458004/JD_PNB_fv3-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/JD-50%20CLR.jpg,226-3013-ND,JD-50-3-7,Kilo International,KNOB KNURLED 0.236"" METAL,327,0,"8.10000","0","1","JD","Active","Cylindrical","Knurled, Straight","0.236"" (6.00mm)","0.500"" (12.70mm)","0.625"" (15.88mm)","Line on Top and Side","Metal","Clear Matte","6-32 Set Screw (2)"
