Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Size / Dimension","Thickness","Density","Material","Material Flammability Rating","Color"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42SC.jpg",EAR1396-ND,CF42SC/PSA 0.8MM A4,"3M - Aearo Technologies, LLC",CF-42SC/PSA 0.8MM X A4,88,0,"5.42000","0","1","CONFOR™ SC","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.031"" (0.79mm)","101 kg/m³","Polyurethane","UL94 HF-1","Black"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42SC.jpg",EAR1408-ND,CF47SC/PSA 1MM A4,"3M - Aearo Technologies, LLC",CF-47SC/PSA 1.0MM X A4,72,0,"5.49000","0","1","CONFOR™ SC","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.039"" (1.00mm)","101 kg/m³","Polyurethane","UL94 HF-1","Black"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42SC.jpg",EAR1397-ND,CF42SC/PSA 1.2MM A4,"3M - Aearo Technologies, LLC",CF-42SC/PSA 1.2MM X A4,96,0,"5.55000","0","1","CONFOR™ SC","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.047"" (1.20mm)","101 kg/m³","Polyurethane","UL94 HF-1","Black"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42SC.jpg",EAR1407-ND,CF47SC/PSA 1.2MM A4,"3M - Aearo Technologies, LLC",CF-47SC/PSA 1.2MM X A4,95,0,"5.55000","0","1","CONFOR™ SC","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.047"" (1.20mm)","101 kg/m³","Polyurethane","UL94 HF-1","Black"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,-,EAR1409-ND,CFNT-EGS/PSA 12MM A4,"3M - Aearo Technologies, LLC",CFNT-EGS/PSA 12MM X A4,40,0,"9.06000","0","1","CONFOR™ EG","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.472"" (12.00mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,-,EAR1410-ND,CFNT-EGS/PSA 15MM A4,"3M - Aearo Technologies, LLC",CFNT-EGS/PSA 15MM X A4,100,0,"11.02000","0","1","CONFOR™ EG","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.591"" (15.00mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1426623O/confor-eg-mss50.pdf,-,EAR1411-ND,CFNT-EGS/PSA 19MM A4,"3M - Aearo Technologies, LLC",CFNT-EGS/PSA 19MM X A4,100,0,"14.17000","0","1","CONFOR™ EG","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.748"" (19.00mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://www.taica.co.jp/wp-content/themes/taica/gel_en/imgs/catalog/pro_1702.pdf,//media.digikey.com/Photos/Taica-North-America/NP-GEL-GREEN.JPG,1880-1108-ND,NP-GEL-GREEN,Taica North America Corporation,"SILICONE FOAM SHEET, T3.0 X 450",10,0,"174.53000","0","1","-","Active","78.74"" L x 17.72"" W x 0.12"" H (2000.0mm x 450.0mm x 3.0mm)","-","-","-","-","Green"
http://multimedia.3m.com/mws/media/1341217O/e-a-r-confor-cftf-product-bulletin.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF930.jpg",EAR1046-ND,CF93006,"3M - Aearo Technologies, LLC",CONFOR CFTF .06 MMT X 6""X 10 YAR,17,0,"77.54000","0","1","CONFOR™ TF","Obsolete","6.00"" W x 30.00' L (152.4mm x 9.1m)","0.002"" (0.06mm)","-","Polyurethane","-","Black"
http://multimedia.3m.com/mws/media/1341217O/e-a-r-confor-cftf-product-bulletin.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF930.jpg",EAR1049-ND,CF93013,"3M - Aearo Technologies, LLC",CONFOR CFTF .13 MMT X 6""X 10 YAR,17,0,"77.54000","0","1","CONFOR™ TF","Obsolete","6.00"" W x 30.00' L (152.4mm x 9.1m)","0.005"" (0.13mm)","-","Polyurethane","-","Black"
http://multimedia.3m.com/mws/media/1341217O/e-a-r-confor-cftf-product-bulletin.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF930.jpg",EAR1051-ND,CF93020,"3M - Aearo Technologies, LLC",CONFOR CFTF .20 MMT X 6""X 10 YAR,14,0,"77.54000","0","1","CONFOR™ TF","Obsolete","6.00"" W x 30.00' L (152.4mm x 9.1m)","0.008"" (0.20mm)","-","Polyurethane","-","Black"
http://multimedia.3m.com/mws/media/1383351O/e-a-r-confor-ring-pad-print.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/CFNT-EGS-0.75-RING-PAD.JPG",EAR1321-ND,CFNT-EGS 0.75 RING PAD,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 0.75 RING PAD,80,0,"0.80000","0","1","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.750"" (19.05mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF45EG.jpg",EAR1024-ND,CF45EG 3MM,"3M - Aearo Technologies, LLC",CONFOR CF45EG 3.0MMT X 5"" X 7"",86,0,"0.81000","0","1","CONFOR™ EG","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.118"" (3.00mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Blue"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF42SC.jpg",EAR1012-ND,CF42SC 0.6MM,"3M - Aearo Technologies, LLC",CONFOR CF42SC 0.6MMT X 5"" X 7"",19,0,"1.67000","0","1","CONFOR™ SC","Active","5.00"" W x 7.00"" L (127.0mm x 177.8mm)","0.024"" (0.60mm)","101 kg/m³","Polyurethane","UL94 HF-1","Black"
http://multimedia.3m.com/mws/media/1278449O/e-a-r-electronics-materials-brochure.pdf,"//media.digikey.com/Photos/Aearo-Technologies,-LLC/MFG_CF47SC.jpg",EAR1035-ND,CF47SC 0.8MM A4,"3M - Aearo Technologies, LLC",CONFOR CF47SC 0.8MMT X A4,4,0,"4.65000","0","1","CONFOR™ SC","Active","8.27"" W x 11.69"" L (210.0mm x 297.0mm)","0.031"" (0.79mm)","101 kg/m³","Polyurethane","UL94 HF-1","Black"
