Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Inner Diameter","Outer Diameter","Width","Material","Static Load Rating","Dynamic Load Rating","Features"
https://www.mechatronics.com/bearing-group/pdf/B45.pdf,-,1995-1044-ND,B45,Mechatronics Bearing Group,BEARING 1/4""ID 7/16""OD 5/16""W,100,0,"6.05000","0","1","-","Active","Roller Bearing","0.250"" (6.35mm) 1/4""","0.437"" (11.10mm)","0.312"" (7.93mm)","-","-","-","-"
https://www.mechatronics.com/bearing-group/pdf/B65.pdf,-,1995-1045-ND,B65,Mechatronics Bearing Group,BEARING 3/8""ID 9/16""OD 5/16""W,98,0,"6.64000","0","1","-","Active","Roller Bearing","0.375"" (9.53mm) 3/8""","0.563"" (14.30mm) 9/16""","0.312"" (7.93mm)","-","-","-","-"
https://www.mechatronics.com/bearing-group/pdf/B36.pdf,//media.digikey.com/Photos/Mechatronics%20Fan%20Group/B36.JPG,1995-1047-ND,B36,Mechatronics Bearing Group,BEARING 3/16""ID 11/32""OD 3/8""W,100,0,"9.26000","0","1","-","Active","Roller Bearing","0.188"" (4.78mm) 3/16""","0.344"" (8.74mm) 11/32""","0.375"" (9.53mm) 3/8""","-","-","-","-"
https://www.mechatronics.com/bearing-group/pdf/B24.pdf,-,1995-1046-ND,B24,Mechatronics Bearing Group,BEARING 1/8""ID 1/4""OD 1/4""W,99,0,"13.42000","0","1","-","Active","Roller Bearing","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/87384_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_87384.JPG,1890-1086-ND,87384,"Makeblock Co., LTD.",PLANE BEARING TURNTABLE D34X24MM,19,0,"19.99000","0","1","*","Active","-","-","-","-","-","-","-","-"
https://www.mechatronics.com/bearing-group/pdf/SAA10XL0.pdf,-,1995-1058-ND,SAA10XL0,Mechatronics Bearing Group,BEARINGX-TYPE1""IDX1.38""ODX0.19""W,10,0,"76.53000","0","1","SAA","Active","Thin Section Bearing","1.000"" (25.40mm) 1""","1.375"" (34.93mm)","1.875"" (47.63mm)","-","-","-","-"
https://www.mechatronics.com/bearing-group/pdf/SAA15XL0.pdf,//media.digikey.com/Photos/Mechatronics%20Fan%20Group/SAA15XL0.jpg,1995-1059-ND,SAA15XL0,Mechatronics Bearing Group,BEARINGX-TYPE1.5""ID1.88""OD0.25""W,10,0,"93.33000","0","1","SAA","Active","Thin Section Bearing","1.500"" (38.10mm)","1.875"" (47.63mm)","1.875"" (47.63mm)","-","-","-","-"
http://www.makeblock.com.ph/catalogue.pdf,//media.digikey.com/Photos/Makeblock/MFG_87301.jpg,1890-1103-ND,87301,"Makeblock Co., LTD.",FEMALE ROD END BEARING 3PC,20,0,"7.99000","0","1","*","Active","-","-","-","-","-","-","-","-"
http://www.makeblock.com.ph/catalogue.pdf,//media.digikey.com/Photos/Makeblock/87302.jpg,1890-1104-ND,87302,"Makeblock Co., LTD.",MALE ROD END BEARING 4MM 3PC,20,0,"7.99000","0","1","*","Active","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/87334_Web.pdf,-,87334-ND,87334,"Makeblock Co., LTD.",F688ZZ 8X16X5 FLANGE BEARING 4PC,0,0,"6.99000","0","1","*","Active","-","-","-","-","-","-","-","-"
http://www.makeblock.com.ph/catalogue.pdf,-,87370-ND,87370,"Makeblock Co., LTD.",V-SLOT BEARING 4PC,0,0,"24.99000","0","1","*","Active","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/87332_Web.pdf,-,87332-ND,87332,"Makeblock Co., LTD.",FLANGE BEARING 22*6*7MM (PAIR),0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-","-","-","-","-"
