Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Thread Size","Thickness","Width","Material","Plating"
http://www.keyelco.com/product-pdf.cfm?p=2196,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4687.jpg,36-4687-ND,4687,Keystone Electronics,HEX NUT 0.197"" NYLON M2.5,16015,7200,"0.15000","0","1","-","Active","Hex","M2.5x0.45","0.071"" (1.80mm)","0.197"" (5.00mm)","Nylon","-"
http://www.keyelco.com/product-pdf.cfm?p=2204,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4707.jpg,36-4707-ND,4707,Keystone Electronics,HEX NUT 0.197"" STEEL M2.5,13474,3900,"0.15000","0","1","-","Active","Hex","M2.5x0.45","0.079"" (2.00mm)","0.197"" (5.00mm)","Steel","Zinc"
http://www.keyelco.com/product-pdf.cfm?p=2206,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4709.jpg,36-4709-ND,4709,Keystone Electronics,HEX NUT 0.275"" STEEL M4,6279,200,"0.15000","0","1","-","Active","Hex","M4x0.7","0.126"" (3.20mm)","0.275"" (7.00mm)","Steel","Zinc"
http://www.keyelco.com/product-pdf.cfm?p=2198,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4689.jpg,36-4689-ND,4689,Keystone Electronics,HEX NUT 0.275"" NYLON M4,3376,1700,"0.15000","0","1","-","Active","Hex","M4x0.7","0.118"" (3.00mm)","0.275"" (7.00mm)","Nylon","-"
-,//media.digikey.com/Photos/Keystone%20Elect%20Photos/7248-3.jpg,36-7248-3-ND,7248-3,Keystone Electronics,HEX NUT 0.184"" STN STEEL 4-40,7836,6300,"0.16000","0","1","-","Active","Hex","#4-40","0.062"" (1.57mm) 1/16""","0.184"" (4.67mm)","Stainless Steel","-"
http://www.keyelco.com/product-pdf.cfm?p=1913,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_960y.jpg,36-9606-ND,9606,Keystone Electronics,HEX NUT 5/16"" NYLON 6-32,8846,23000,"0.19000","0","1","-","Active","Hex","#6-32","-","0.312"" (7.92mm) 5/16""","Nylon","-"
http://www.keyelco.com/product-pdf.cfm?p=1914,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_960y.jpg,36-9607-ND,9607,Keystone Electronics,HEX NUT 5/16"" NYLON 8-32,2931,7400,"0.19000","0","1","-","Active","Hex","#8-32","-","0.312"" (7.92mm) 5/16""","Nylon","-"
http://www.essentracomponents.com.sg/images-line/pdfs/HN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20157.jpg,RPC4123-ND,HN-4-40-01,Essentra Components,HEX NUT 0.245"" NYLON 4-40,5484,0,"0.21000","0","1","HN","Active","Hex","#4-40","0.093"" (2.36mm)","0.245"" (6.22mm)","Nylon","-"
http://www.keyelco.com/product-pdf.cfm?p=1862,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1449.jpg,36-1449-ND,1449,Keystone Electronics,HEX NUT 5/16"" BRASS 1/4-32,3405,1200,"0.22000","0","1","-","Active","Hex","1/4""-32","0.078"" (1.98mm)","0.312"" (7.92mm) 5/16""","Brass","Nickel"
http://www.essentracomponents.com.sg/images-line/pdfs/HN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20157.jpg,RPC3082-ND,HN-M3-79,Essentra Components,HEX NUT 0.220"" POLYCARBONATE M3,13002,0,"0.23000","0","1","HN","Active","Hex","M3","0.100"" (2.54mm)","0.220"" (5.59mm)","Polycarbonate","-"
http://www.keyelco.com/product-pdf.cfm?p=1861,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1448.jpg,36-1448-ND,1448,Keystone Electronics,HEX NUT 3/8"" BRASS 1/4-32,6322,177200,"0.25000","0","1","-","Active","Hex","1/4""-32","0.093"" (2.36mm)","0.375"" (9.53mm) 3/8""","Brass","Nickel"
http://www.keyelco.com/product-pdf.cfm?p=1593,//media.digikey.com/Photos/Keystone%20Elect%20Photos/1456.jpg,36-1456-ND,1456,Keystone Electronics,HEX NUT 1/2"" BRASS 3/8-32,12379,11200,"0.26000","0","1","-","Active","Hex","3/8""-32","0.093"" (2.36mm)","0.500"" (12.70mm) 1/2""","Brass","Nickel"
http://www.essentracomponents.com.sg/images-line/pdfs/HN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20157.jpg,RPC1742-ND,HN-6-32-01,Essentra Components,HEX NUT 0.305"" NYLON 6-32,9644,0,"0.26000","0","1","HN","Active","Hex","#6-32","0.110"" (2.79mm)","0.305"" (7.75mm)","Nylon","-"
http://www.keyelco.com/product-pdf.cfm?p=1600,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1472.jpg,36-1472-ND,1472,Keystone Electronics,HEX NUT 3/8"" BRASS 5/16-32,3630,23100,"0.34000","0","1","-","Active","Hex","5/16""-32","0.090"" (2.29mm)","0.375"" (9.53mm) 3/8""","Brass","Nickel"
http://www.essentracomponents.com.sg/images-line/pdfs/HN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20157.jpg,RPC4124-ND,HN-8-32-01,Essentra Components,HEX NUT 0.338"" NYLON 8-32,1052,0,"0.35000","0","1","HN","Active","Hex","#8-32","0.125"" (3.18mm) 1/8""","0.338"" (8.59mm)","Nylon","-"
http://www.essentracomponents.com.sg/images-line/pdfs/CGLN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_CGLN-M12-BK.jpg,RPC1905-ND,CGLN-PG13.5-BK,Essentra Components,LOCK NUT 1.062"" NYLON PG13.5,2591,0,"0.40000","0","1","CGLN","Active","Locknut","PG13.5","0.236"" (6.00mm)","1.062"" (26.97mm) 1 1/16""","Nylon","-"
http://www.essentracomponents.com.sg/images-line/pdfs/CGLN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_CGLN-M12-BK.jpg,RPC1307-ND,CGLN-M12-BK,Essentra Components,LOCK NUT 0.669"" NYLON M12,7465,0,"0.42000","0","1","CGLN","Active","Locknut","M12","0.197"" (5.00mm)","0.669"" (17.00mm)","Nylon","-"
http://www.essentracomponents.com.sg/images-line/pdfs/CGLN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_CGLN-M12-BK.jpg,RPC1901-ND,CGLN-M16-BK,Essentra Components,LOCK NUT 0.866"" NYLON M16,5154,0,"0.42000","0","1","CGLN","Active","Locknut","M16","0.197"" (5.00mm)","0.866"" (22.00mm)","Nylon","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5205821&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/5205821-2.jpg,A35230-ND,5205821-2,TE Connectivity AMP Connectors,HEX NUT 0.184"" STEEL 4-40,58702,0,"0.44000","0","1","AMPLIMITE","Active","Hex","#4-40","0.062"" (1.57mm) 1/16""","0.184"" (4.67mm)","Steel","Zinc, Yellow Chromate"
http://www.essentracomponents.com.sg/images-line/pdfs/CGLN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_CGLN-M12-BK.jpg,RPC1907-ND,CGLN-PG9-BK,Essentra Components,LOCK NUT 0.866"" NYLON PG9,7695,0,"0.47000","0","1","CGLN","Active","Locknut","PG9","0.197"" (5.00mm)","0.866"" (22.00mm)","Nylon","-"
http://www.switchcraft.com/Drawings/Jack_Mounting_Hardware.pdf,//media.digikey.com/Photos/Switchcraft%20Photos/T2160.jpg,SC1505-ND,T2160,Switchcraft Inc.,KNURLED NUT 13/32"" COPPER ALLOY,11824,0,"0.48000","0","1","-","Active","Knurled","5/16""-32","0.062"" (1.57mm) 1/16""","0.406"" (10.31mm) 13/32""","Copper Alloy","Nickel"
http://www.essentracomponents.com.sg/images-line/pdfs/CGLN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_CGLN-M12-BK.jpg,RPC1902-ND,CGLN-M25-BK,Essentra Components,LOCK NUT 1.260"" NYLON M25,1970,0,"0.56000","0","1","CGLN","Active","Locknut","M25","0.236"" (6.00mm)","1.260"" (32.00mm)","Nylon","-"
http://www.essentracomponents.com.sg/images-line/pdfs/CGLN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_CGLN-xxx.jpg,RPC3640-ND,CGLN-PG7-BK,Essentra Components,LOCK NUT 0.748"" NYLON PG7,3150,0,"0.58000","0","1","CGLN","Active","Locknut","PG7","0.197"" (5.00mm)","0.748"" (19.00mm)","Nylon","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=330249&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_1-330249-1.jpg,A112038-ND,1-330249-1,TE Connectivity AMP Connectors,JAM NUT 0.496"" 3/8-32,6704,0,"0.62000","0","1","-","Active","Jam","3/8""-32","0.125"" (3.18mm) 1/8""","0.496"" (12.60mm)","-","Nickel"
http://www.altechcorp.com/PDFS/LTSR_Locknuts.pdf,//media.digikey.com/Photos/Altech-Corporation/7211-496.jpg,1920-1111-ND,7211 496,Altech Corporation,LOCKNUT NYLON 1/2"" NPT BLK,1825,26250,"0.64000","0","1","-","Active","Locknut","NPT-1/2","0.236"" (6.00mm)","1.063"" (27.00mm)","Polyamide","-"
http://www.altechcorp.com/PDFS/LTSR_Locknuts.pdf,-,1920-1108-ND,7211 486,Altech Corporation,LOCKNUT NYLON 1/2"" NPT GRY,1647,10000,"0.64000","0","1","-","Active","Locknut","NPT-1/2","0.236"" (6.00mm)","1.063"" (27.00mm)","Polyamide","-"
//media.digikey.com/PDF/Data%20Sheets/BUD%20Industries%20PDFs/Accessories%20Hardware.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/295.jpg,377-1405-ND,295,Bud Industries,CLIP NUT 10-32,4658,42434,"0.68000","0","1","-","Active","Clip","#10-32","-","-","-","Zinc"
-,//media.digikey.com/photos/CK%20Comp%20Photos/1790901a47.JPG,CKN9541-ND,1790901A47,C&K,HEX NUT 9/16"" M12,2956,0,"0.72000","0","1","YM","Active","Hex","M12x1.25","0.157"" (4.00mm)","0.562"" (14.27mm) 9/16""","-","Zinc, Clear Chromate"
http://www.essentracomponents.com.sg/images-line/pdfs/CGLN.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_CGLN-M12-BK.jpg,RPC1903-ND,CGLN-NPT-3/4-BK,Essentra Components,LOCK NUT 1.417"" NYLON NPT-3/4,1460,0,"0.82000","0","1","CGLN","Active","Locknut","NPT-3/4","0.276"" (7.00mm)","1.417"" (36.00mm)","Nylon","-"
http://www.essentracomponents.com.sg/images-line/pdfs/CGLN.pdf,//media.digikey.com/Photos/Richco%20Photos/CGLN-NPT-1%5E2-BK.JPG,RP843-ND,CGLN-NPT-1/2-BK,Essentra Components,LOCK NUT 1.062"" NYLON NPT-1/2,1102,0,"0.90000","0","1","CGLN","Active","Locknut","NPT-1/2","0.236"" (6.00mm)","1.062"" (26.97mm) 1 1/16""","Nylon","-"
https://cadlinks.rafhdwe.com/dk2d/7212-ss/,//media.digikey.com/Photos/RAF%20Electronic%20Hardware/721x-SS.JPG,1772-1661-ND,7212-SS,RAF Electronic Hardware,3/8HD X 9/32 X 6-32 THD,1502,8566,"1.44000","0","1","-","Active","Thumb","#6-32","0.281"" (7.14mm) 9/32""","0.375"" (9.53mm) 3/8""","Stainless Steel","-"
-,//media.digikey.com/photos/Honeywell%20Photos/01051301%20FOR%20575%20SERIES.jpg,01051301-ND,D01051301,Honeywell Sensing and Productivity Solutions,JAM NUT 3/8-32,2255,0,"1.65000","0","1","-","Active","Jam","3/8""-32","-","-","-","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1504071.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1504071.jpg,277-2671-ND,1504071,Phoenix Contact,HEX NUT BRASS M8,4551,1951,"2.11000","0","1","-","Active","Hex","M8x0.5","0.087"" (2.20mm)","-","Brass","Nickel"
-,//media.digikey.com/photos/APM%20Hexseal%20Photos/6-32%20AJ%206.JPG,335-1047-ND,6-32 AJ 6,APM Hexseal,HEX SEAL NUT 5/16"" STEEL 6-32,430,0,"2.38000","0","1","SEELNUT®","Active","Hex (Self Sealing)","#6-32","0.141"" (3.58mm) 9/64""","0.312"" (7.92mm) 5/16""","Steel","-"
http://www.keyelco.com/product-pdf.cfm?p=1602,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1701.jpg,36-1701-ND,1701,Keystone Electronics,SHAFT LOCK NUT 1/2"" BRASS 3/8-32,2209,12734,"2.50000","0","1","-","Active","Shaft Lock","3/8""-32","0.500"" (12.70mm) 1/2""","0.500"" (12.70mm) 1/2""","Brass","Nickel"
http://www.fasnetdirect.com/refguide/Nutshexmachine.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/HNZ-440.jpg,H216-ND,HNZ 440,B&F Fastener Supply,HEX NUT 1/4"" 4-40,137200,0,"0.02090","0","100","-","Active","Hex","#4-40","0.094"" (2.39mm) 3/32""","0.250"" (6.35mm) 1/4""","-","Zinc"
http://www.fasnetdirect.com/refguide/Nutshexmachine.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/HNZ-632.jpg,H220-ND,HNZ 632,B&F Fastener Supply,HEX NUT 5/16"" 6-32,7406,0,"0.03390","0","100","-","Active","Hex","#6-32","0.109"" (2.77mm) 7/64""","0.312"" (7.92mm) 5/16""","-","Zinc"
http://www.fasnetdirect.com/refguide/Nutshexmachine.pdf,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/HNZ-832.jpg,H224-ND,HNZ 832,B&F Fastener Supply,HEX NUT 11/32"" 8-32,13000,0,"0.03770","0","100","-","Active","Hex","#8-32","0.125"" (3.18mm) 1/8""","0.344"" (8.74mm) 11/32""","-","Zinc"
-,//media.digikey.com/Photos/B%20&%20F%20Fastener%20Supply/MHNZ-003.jpg,H762-ND,MHNZ 003,B&F Fastener Supply,HEX NUT 0.217"" M3,41000,0,"0.04220","0","100","-","Active","Hex","M3","-","0.217"" (5.51mm)","-","Zinc"
