Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Panel Cutout Dimensions","Mounting Type","Material"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_All_Metal_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812120000.jpg,RPC2713-ND,90812120000,Essentra Access Solutions,SWING HANDLE LATCH METAL SEALED,25,0,"29.38000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Metal_Handle_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812200700.jpg,RPC2716-ND,90812200000,Essentra Access Solutions,SWING HANDLE LATCH HYBRID SEALED,25,0,"29.38000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Metal_Handle_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812200700.jpg,RPC2717-ND,90812200700,Essentra Access Solutions,SWING HANDLE LATCH HYBRID SEALED,25,0,"29.38000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Metal_Handle_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_90812202000.jpg,RPC2719-ND,90812202000,Essentra Access Solutions,SWING HANDLE LATCH HYBRID SEALED,25,0,"29.38000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/T_Handle_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_2401110000.jpg,RPC2498-ND,2401110000,Essentra Access Solutions,T-HANDLE COMPRESSION CAM LATCH 2,50,0,"32.13000","0","1","-","Active","T-Handle Compression Latch","Square (Rounded Corners) - 20.20mm","Panel Mount","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_008-1-2-0(3,7)-00.jpg",RPC2297-ND,008120300,Essentra Access Solutions,SWING HANDLE LATCH SPRING LOADED,75,0,"32.18000","0","1","-","Active","Swinghandle","Rectangular - 150.00mm x 25.00mm","Screw Holes, Back","Plastic, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_008-1-2-0(3,7)-00.jpg",RPC2298-ND,008120700,Essentra Access Solutions,SWING HANDLE LATCH SPRING LOADED,75,0,"32.18000","0","1","-","Active","Swinghandle","Rectangular - 150.00mm x 25.00mm","Screw Holes, Back","Plastic, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_008-2-2-0(3,7)-00.jpg",RPC2300-ND,008220300,Essentra Access Solutions,SWING HANDLE LATCH SPRING LOADED,75,0,"32.18000","0","1","-","Active","Swinghandle","Rectangular - 150.00mm x 25.00mm","Screw Holes, Back","Plastic, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_DS.pdf,"//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_008-2-2-0(3,7)-00.jpg",RPC2301-ND,008220700,Essentra Access Solutions,SWING HANDLE LATCH SPRING LOADED,50,0,"32.18000","0","1","-","Active","Swinghandle","Rectangular - 150.00mm x 25.00mm","Screw Holes, Back","Plastic, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Swing_Handle_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_008-2-2-15-00.jpg,RPC2302-ND,008221500,Essentra Access Solutions,SWING HANDLE LATCH SPRING LOADED,25,0,"32.18000","0","1","-","Active","Swinghandle","Rectangular - 150.00mm x 25.00mm","Screw Holes, Back","Plastic, Black Coating"
